Ticker,Asset_Type,Snapshot_Date,Price,Price_Date,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,ATR_14,BB_PctB,BB_Width,VolRel10,VolRel20,Stoch_K,Stoch_D,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
ABBV,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BRL,0.1919,16939797838.0,3117983374.0,0.1984131960331247,1.0338728517528826,5865285316.0,27844057426.0,17037000019.0,649988683.0,3899644231.0,4469987087.0,3918156118.0,702958088.0,15714596792.0,51.90317004830318,26.387487794600077,18.40626082919817,34.62429346668795,2026.0,2026-06-30,BRL,False,0.1830124652491472,0.1119802091431911,0.2660428752668058,14.011164859901172,11.529189851055069,2.56,6.89,2.39,0.0381515925690623,0.9622010912472148,-330780505.6520004,currency=BRL verify_fx_handling
ABNB,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,13159000000.0,2691000000.0,4.475675675675675,4.475675675675675,2738000000.0,22208000000.0,8199000000.0,2067000000.0,11014000000.0,2738000000.0,3363000000.0,672000000.0,601250000.0,82.90143627935254,20.80705220761456,20.44988220989437,20.80705220761456,2026.0,2026-06-30,USD,False,0.3282107574094401,0.1211725504322766,-2.928995310718562,40.943538647343,38.329015915581984,13.44,36.97,7.69,0.2521039151115989,1.3771704886804894,5148000000.0,
ADBE,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,25198000000.0,7229000000.0,17.50363196125908,17.50363196125908,9849000000.0,29496000000.0,11623000000.0,6648000000.0,6595000000.0,9090000000.0,9111000000.0,1882000000.0,413000000.0,89.40392094610684,36.07429161044527,28.6887848241924,39.08643543138344,2026.0,2026-05-31,USD,False,0.6219564656284953,0.2450840791971792,0.6177062207423957,15.033451376400606,10.683112273861273,9.35,11.04,4.32,0.5719693710745934,0.9963725490196078,-37000000.0,
AMD,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,41305000000.0,6434000000.0,3.947844761466482,3.947844761466482,9515000000.0,76926000000.0,62999000000.0,3847000000.0,10552000000.0,6488000000.0,7544000000.0,1098000000.0,1629750000.0,53.204212565064765,15.707541459871685,15.576806681999756,23.03595206391478,2026.0,2026-06-30,USD,False,0.1021286052159558,0.0836388217247744,0.0984775768753206,122.69732709045694,31.48245574656705,12.53,82.26,18.95,0.0610644613406562,2.850026441036489,17492000000.0,
AMT,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,,,0.0,0.0,,818042000000.0,411065000000.0,152987000000.0,123029000000.0,,,21416000000.0,10723750000.0,,,,,2026.0,2026-06-30,USD,False,0.0,0.0,0.0,,,6.77,,,0.3721722841886319,1.0508153482718283,11078000000.0,eps_negative (loss)
ARRY,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,EUR,1.1583,40920898482.0,12322776489.0,32.00851178606924,27.633330206765056,15408798929.0,58572803204.0,22717397076.0,5086110626.0,15431154695.0,14494644995.0,14612215477.0,2568133155.0,384984362.0,52.73313990517303,35.42113084707381,30.11365083858184,37.655084565848135,2026.0,2026-06-30,EUR,False,0.5424378703052182,0.2103839293130247,0.9656348422501432,56.32814209077642,37.38795432687542,30.55,44.38,16.71,0.2238861524969151,1.26179633117512,7357943000.213997,currency=EUR verify_fx_handling
ASTS,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,84935000.0,-487246000.0,-1.7886219148957676,-1.7886219148957676,-316394000.0,5014387000.0,2392325000.0,2239510000.0,2335683000.0,-374162000.0,-642065000.0,4899000.0,272414196.0,,-440.5274621769588,-573.6692765055631,-372.51309825160416,2026.0,2026-03-31,USD,False,-0.2036704879144765,-0.0971696041809297,-0.1641950888835072,,,7.64,,213.98,0.9361228094008966,16.352578087585805,2308168000.0,eps_negative (loss)
BA,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABA,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,145403469428.0,14673347689.0,6.321993833991149,6.321993833991149,7764167381.0,276849583182.0,163286698079.0,40844073940.0,45943312794.0,8398252104.0,18333748062.0,4266608779.0,2321000000.0,39.76685116261327,5.775826489514664,10.091470132344284,5.339740111533888,2026.0,2026-03-31,USD,True,0.089862480295811,0.0530011550677708,0.0407353437331439,20.270503794385608,24.476463212702264,1.82,37.65,2.01,0.2501371784740782,1.2820561799167922,19481116346.50235,
BAX,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDU,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,18278498950.0,198619785.0,0.5844444253369321,0.5844444253369321,-987482911.0,64233189372.0,41433229414.0,13882818980.0,16484140377.0,1286872641.0,233302163.0,89900808.0,339843750.0,42.06653179867373,7.040362803133675,1.0866307223328031,-5.402428908824618,2026.0,2026-03-31,USD,True,0.0047937316975397,0.0030921675712532,0.0203695449734156,155.4809936763679,,0.75,,1.55,0.3350648543796552,1.7603790195533315,9387352343.906414,
BKNG,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,28241000000.0,7209000000.0,9.096601708215363,9.096601708215363,9999000000.0,29264000000.0,-5578000000.0,19293000000.0,17203000000.0,9741000000.0,9291000000.0,2082000000.0,792493750.0,,34.49240465989165,25.526716476045465,35.405970043553694,2026.0,2026-06-30,USD,False,-1.2923987092147724,0.2463436303991252,-2.166903806732173,22.89316457726453,17.611166312548505,,16.71,5.92,-3.458766583004661,1.3333333333333333,5566000000.0,roe=-1.29 out_of_range (buyback_distortion?)
BMY,stock,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,49187000000.0,9282000000.0,4.554465161923455,4.554465161923455,14457000000.0,90038000000.0,18506000000.0,47139000000.0,10673000000.0,13842000000.0,11910000000.0,2634000000.0,2038000000.0,70.1567487344217,28.14158212535833,18.87083985605953,29.391912497204547,2026.0,2026-06-30,USD,False,0.5015670593321085,0.1030898065261334,0.196112955878981,14.502251669898728,,7.27,11.83,3.48,2.547227926078029,1.2550711021907162,5973000000.0,
