Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,327.87,328.9995,323.34,325.89,38704301,,,,315.9053,305.9619,300.8407,297.7993,76.1667,8.6482,7.311,1.3373,False,8.1092,317.7160752630743,,7.927524806546374,323.45000000000005,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,,,48211785.2,,0.8028,,77.9714,,1.98,1.1295,2.55,,,3.1607,,,,9.9847,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,321.73,323.3,319.35,321.66,40813752,,,,316.4533,306.5775,301.2529,298.0367,62.9807,8.0215,7.4531,0.5684,False,7.452,317.90929489674767,,7.668086860253911,323.45000000000005,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,,,47480711.4,,0.8596,,52.3758,71.5053,0.07,1.57,2.31,,,1.6453,,,,5.2067,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-24,321.79,334.37,321.62,333.02,47444447,,,,318.0311,307.6145,301.882,298.3848,67.6982,8.3452,7.6315,0.7137,True,7.8485,318.5788622105498,,7.280769213267383,323.45000000000005,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,,,48811924.0,,0.972,,92.9492,74.4322,11.23,1.35,0.17,,,4.713,,,,14.9889,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,334.54,339.57,334.02,336.91,49556669,,,,319.8291,308.7633,302.5756,298.7681,72.0922,8.814,7.868,0.946,True,7.9356,319.60347396803024,,7.200817292762732,328.445,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,,,49446066.8,,1.0022,,91.8204,79.0485,2.37,2.66,0.52,,,5.3406,,,,17.0809,,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,340.03,342.89,335.6,340.08,51701108,,,,321.7578,309.9914,303.3183,299.1792,72.2974,9.3338,8.1612,1.1726,True,7.9013,320.70541751256417,,8.136071271984349,331.12,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,,,50989032.7,,1.014,,91.909,92.2262,0.05,2.81,4.43,,,5.6944,,,,18.3222,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,333.1,334.75,329.59,333.43,73461410,322.1625,,,322.8694,310.9106,303.9145,299.52,63.515,9.1042,8.3498,0.7544,False,8.0528,321.5714920596084,,7.096067448121095,331.12,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,0.7433,0.1438,52246699.3,50403177.75,1.406,1.4575,69.4642,84.3979,0.33,1.32,3.51,82.382,,3.2709,,,342.89,10.5606,353.4506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,304.81,310.69,300.0,308.91,132278962,322.889,,,321.5399,310.8321,304.0134,299.6134,46.3283,6.8645,8.0527,-1.1882,False,10.102,319.8270758012931,,4.949497449241136,321.445,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,0.1542,0.1252,59198926.4,54508914.25,2.2345,2.4267,20.7741,60.7158,4.1,1.78,4.81,36.7166,,-3.928,,,342.89,-12.6299,330.2601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-03,309.58,311.8,302.56,303.42,74842081,322.6285,,,319.8142,310.5415,304.0017,299.6513,42.3505,4.5936,7.3609,-2.7673,False,10.1813,318.97096262466215,,4.910953882635218,321.445,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,0.0449,0.1308,60345996.5,54480987.0,1.2402,1.3737,7.9739,32.7374,6.16,2.22,0.86,26.4922,,-5.1262,,,342.89,-16.3942,326.4958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,302.725,310.42,301.32,309.38,67884321,322.4645,,,318.8205,310.4959,304.1082,299.7481,47.0944,3.2375,6.5362,-3.2987,False,10.4456,318.3397219448686,,4.786701176502767,321.445,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,0.1954,0.1332,61794590.5,55195704.2,1.0985,1.2299,21.8699,16.8726,6.655,1.04,1.405,37.592,,-2.9611,,,342.89,-9.4405,333.4495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,309.36,311.71,305.67,311.0,49191444,322.4815,,,318.0757,310.5157,304.2447,299.86,40.0937,2.2673,5.6824,-3.4151,False,9.8863,318.01185334131503,,5.05749285629134,321.445,,,,,314.07666666666665,317.50333333333333,323.70666666666665,327.1333333333333,307.87333333333333,304.44666666666666,298.24333333333334,332.76796,326.50602,321.445,316.38398,309.17846,0.2322,0.1329,62587849.5,55530776.3,0.786,0.8858,25.647,18.4969,1.64,0.71,3.69,40.609,,-2.2245,,,342.89,-7.0757,335.8143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
