Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,3.13,3.17,3.12,3.14,13522492,,,,3.0806,3.0912,3.099,3.104,53.4884,-0.003,-0.0111,0.008,True,0.0683,3.067369990279624,,941.4225941422595,3.0875,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,,,20723330.9,,0.6525,,82.3529,,0.01,0.03,0.01,,,1.9295,,,,0.0594,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-23,3.11,3.15,3.08,3.09,19580122,,,,3.0815,3.0912,3.0988,3.1039,48.9362,-0.002,-0.0093,0.0073,False,0.0672,3.0696336847274184,,850.1594048884167,3.0875,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,,,19801140.8,,0.9888,,52.9412,66.6667,0.02,0.04,0.01,,,0.2772,,,,0.0085,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,3.1,3.11,3.05,3.06,16440706,,,,3.0794,3.09,3.098,3.1034,48.9362,-0.0036,-0.0081,0.0046,False,0.0658,3.069804376804618,,868.6210640608036,3.0875,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,,,18590638.9,,0.8844,,35.2941,56.8627,0.04,0.01,0.01,,,-0.6305,,,,-0.0194,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,3.05,3.08,3.03,3.07,9237599,,,,3.0785,3.0892,3.0975,3.1031,58.5366,-0.004,-0.0073,0.0033,False,0.0601,3.069556636539139,,832.3424494649224,3.0875,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,,,17396825.7,,0.531,,41.1765,43.1373,0.02,0.01,0.02,,,-0.2767,,,,-0.0085,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,3.12,3.17,3.11,3.13,15170120,,,,3.0834,3.0908,3.0981,3.1034,62.2222,0.0006,-0.0057,0.0063,True,0.064,3.0722304821760984,,892.9568032146442,3.0875,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,,,17100450.8,,0.8871,,75.7576,50.7427,0.01,0.04,0.01,,,1.5106,,,,0.0466,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,2.98,3.12,2.97,3.12,59900897,3.0735,,,3.0869,3.0919,3.0986,3.1035,59.0909,0.0033,-0.0039,0.0072,True,0.0715,3.071927276556593,,699.3705664901588,3.0700000000000003,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,0.8036,0.0498,20070070.2,22032553.9,2.9846,2.7187,75.0,63.978,0.14,0.0,0.01,75.0,,1.0721,,,3.17,0.0331,3.2031,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,3.1,3.16,3.085,3.11,57167519,3.0735,,,3.0891,3.0926,3.0988,3.1036,54.7619,0.0046,-0.0022,0.0068,False,0.0726,3.077256364598877,,688.9763779527556,3.0700000000000003,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,0.7383,0.0498,24116292.1,23911738.85,2.3705,2.3908,70.0,73.5859,0.01,0.05,0.015,70.0,,0.6764,,,3.17,0.0209,3.1909,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-03,3.12,3.13,3.04,3.05,40800117,3.071,,,3.0854,3.091,3.0978,3.1031,48.9362,0.0008,-0.0016,0.0024,False,0.074,3.076959196805652,,579.1505791505788,3.0700000000000003,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,0.3622,0.0496,26650677.0,25013432.85,1.5309,1.6311,40.0,61.6667,0.07,0.01,0.01,40.0,,-1.1467,,,3.17,-0.0354,3.1346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,3.08,3.08,3.02,3.04,33113494,3.0695,,,3.0811,3.089,3.0967,3.1024,44.4444,-0.003,-0.0019,-0.0011,False,0.0726,3.0752047189207854,,492.1259842519683,3.0700000000000003,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,0.3096,0.0505,27885987.9,24948578.05,1.1875,1.3273,35.0,48.3333,0.04,0.0,0.02,35.0,,-1.3326,,,3.17,-0.0411,3.1289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,3.06,3.08,3.03,3.03,51329734,3.071,,,3.0762,3.0867,3.0953,3.1017,50.0,-0.0067,-0.0029,-0.0039,False,0.0704,3.0728536675527947,,507.0993914807299,3.0700000000000003,,,,,2.81,2.87,2.91,2.97,2.77,2.71,2.67,3.07088,3.00956,2.96,2.91044,2.83988,0.2184,0.0474,31626280.0,26471646.5,1.623,1.939,30.0,35.0,0.03,0.02,0.0,30.0,,-1.5017,,,3.17,-0.0462,3.1238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
