Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,526.875,561.47,526.6,552.33,24694952,,,,532.0995,535.9975,538.1308,539.4184,52.036,-2.8628,-3.6027,0.74,True,38.6875,529.866846537761,,1.2924085399402239,517.205,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,,,25547196.3,,0.9666,,80.8141,,25.455,9.14,0.275,,,3.802,,,,20.2305,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,544.74,556.49,525.0,539.69,27060506,,,,532.8224,536.1423,538.1617,539.4211,54.0385,-1.9083,-3.2638,1.3556,True,37.9617,530.5407213322858,,1.3171155019978755,517.205,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,,,25563166.1,,1.0586,,69.7254,74.8077,5.05,11.75,14.69,,,1.2889,,,,6.8676,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,546.92,549.0,518.0,521.95,27137737,,,,531.7869,535.5857,537.8407,539.2473,44.0813,-2.5539,-3.1219,0.568,False,36.2703,530.486986961105,,1.1816038460417448,517.205,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,,,26206486.8,,1.0355,,54.1626,68.2341,24.97,2.08,3.95,,,-1.8498,,,,-9.8369,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,527.505,528.0,476.93,494.95,31711695,,,,528.2787,533.9922,536.9914,538.8065,45.6876,-5.1844,-3.5344,-1.65,False,36.4225,528.4767114371164,,1.1766680838980026,510.84000000000003,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,,,27088542.9,,1.1707,,30.4764,51.4548,32.555,0.495,18.02,,,-6.3089,,,,-33.3287,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-28,467.0,472.75,442.27,454.62,36013514,,,,521.2635,530.8796,535.3603,537.9688,38.9609,-10.4035,-4.9082,-5.4953,False,38.4117,523.4716870323873,,1.115730234281034,501.87,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,,,28576205.8,,1.2603,,9.361,31.3333,12.38,5.75,12.35,,,-12.785,,,,-66.6435,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-30,460.0,498.2,457.68,485.39,36779028,522.7082,,,517.847,529.0956,534.3707,537.4456,39.2716,-11.9194,-6.3104,-5.609,False,38.5178,520.615589693183,,1.1126577053215077,501.87,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,0.1554,0.2072,29477297.8,27717483.3,1.2477,1.3269,32.684,24.1738,25.39,12.81,2.32,32.684,,-6.2677,,,574.2,-32.457,541.743,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,510.275,515.62,475.76,476.15,26516323,519.4718,,,513.8759,527.0193,533.2179,536.8357,35.6041,-13.7083,-7.79,-5.9183,False,39.9221,519.1804141905194,,1.0735192501682738,501.87,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,0.1215,0.2203,29431167.0,27626960.65,0.901,0.9598,25.6803,22.5751,34.125,5.345,0.39,25.6803,,-7.3414,,,574.2,-37.7259,536.4741,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,461.79,490.9464,455.3,484.64,24244924,517.8127,,,511.0915,525.3574,532.2559,536.3164,40.749,-14.2764,-9.0873,-5.1891,True,40.2561,517.4888581653298,,1.0646116349986106,501.87,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,0.2204,0.2291,28648034.8,27427760.35,0.8463,0.884,32.1155,30.1599,22.85,6.3064,6.49,32.1155,,-5.1755,,,574.2,-26.4515,547.7485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,504.0,530.13,502.2,518.58,47444074,516.1392,,,511.8047,525.0916,531.9851,536.1399,44.8891,-11.8513,-9.6401,-2.2112,True,40.6618,517.4511345317942,,1.0539891909895165,501.87,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,0.5214,0.2212,31057210.1,28265755.05,1.5276,1.6785,64.0185,40.6048,14.58,11.55,1.8,57.8413,,1.3238,,,574.2,6.7753,580.9753,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,484.495,502.0,478.2,482.05,49461041,514.4362,,,508.9709,523.4037,530.9963,535.6017,42.3214,-12.7304,-10.2581,-2.4722,False,40.0233,515.3350346320206,,1.0708055920323494,499.38,,,,,468.4183,476.5666,483.6782,491.8265,461.3067,453.1584,446.04679999999996,529.53408,512.85796,499.38,485.90204,466.71308,0.226,0.2298,33106379.4,29280467.05,1.494,1.6892,33.3725,43.1688,2.445,17.505,3.85,30.1524,,-5.2893,,,574.2,-26.9209,547.2791,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,,,,,,,
