Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,248.265,248.45,242.45,244.85,33895438,,,,246.0571,244.0713,243.0243,242.4009,54.2556,1.6011,1.6118,-0.0107,False,6.3959,246.41851961718814,,6.700728704246587,250.26624999999999,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,,,36225363.2,,0.9357,,33.2787,,3.415,0.185,2.4,,,-0.4906,,,,-1.2071,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,236.26,238.3499,232.0516,233.66,47415516,,,,244.8764,243.663,242.8389,242.314,40.4616,0.4137,1.3722,-0.9585,False,6.9072,245.52433609873717,,5.170582693646079,245.06705,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,,,37157746.0,,1.2761,,6.1788,31.3415,2.6,2.0899,1.6084,,,-4.5804,,,,-11.2164,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,234.38,234.95,231.34,232.11,34966198,,,,243.6606,243.2099,242.6265,242.2124,37.2595,-0.645,0.9688,-1.6138,False,6.7965,244.84717542972652,,5.254811042249733,244.71125,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,,,37488966.0,,0.9327,,2.8793,14.1123,2.27,0.57,0.77,,,-4.7404,,,,-11.5506,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,235.665,235.89,230.99,231.39,34937144,,,,242.4919,242.7464,242.404,242.1048,34.2065,-1.5245,0.4701,-1.9947,False,6.7015,244.23673931806476,,5.329302959148765,244.53625,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,,,37523019.8,,0.9311,,1.4764,3.5115,4.275,0.225,0.4,,,-4.5783,,,,-11.1019,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,232.85,233.11,228.1,230.86,44413932,,,,241.3841,242.2803,242.1754,241.9929,35.6177,-2.2386,-0.0716,-2.1669,False,6.6693,243.41969526760747,,5.354987474684298,243.09125,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,,,38958647.1,,1.14,,9.2054,4.5204,1.99,0.26,2.76,,,-4.3599,,,,-10.5241,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,233.35,239.8236,231.06,235.5,100943778,243.165,,,240.8238,242.0144,242.0432,241.9283,37.3409,-2.4023,-0.5378,-1.8645,True,6.6489,242.46026958236607,,5.371463562676925,240.495,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,0.2213,0.1131,44536226.9,41866743.4,2.2666,2.4111,24.6811,11.7876,2.15,4.3236,2.29,24.6811,,-2.2106,,,258.0825,-5.3238,252.7587,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-31,265.0,273.23,262.01,271.58,128909006,244.659,,,243.7529,243.1738,242.6281,242.2233,66.4082,0.3749,-0.3552,0.7302,True,8.871,245.99299648406867,,4.025943177837989,250.66500000000002,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,1.2203,0.1528,52903543.9,45620701.15,2.4367,2.8257,96.3439,43.4101,6.58,1.65,2.99,96.3439,,11.4161,,,273.23,27.8271,301.0571,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,278.29,287.2,278.0,284.02,90350166,246.7265,,,247.5879,244.7756,243.4477,242.6392,70.2975,3.5389,0.4236,3.1153,True,9.596,249.1637645017143,,4.4661299867132636,257.65,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,1.2277,0.2077,57585657.9,47723302.6,1.569,1.8932,94.6193,71.8814,5.73,3.18,0.29,94.6193,,14.7148,,,287.2,36.4321,323.6321,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,276.06,281.07,275.82,277.42,69652591,248.3895,,,250.429,246.0558,244.1204,242.9853,65.4517,5.451,1.4291,4.0219,True,9.8418,250.95352874700694,,4.354626246058156,257.65,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,1.0003,0.2336,61313318.0,49203730.45,1.136,1.4156,83.4518,91.4717,1.36,3.65,0.24,83.4518,,10.7779,,,287.2,26.991,314.191,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,281.59,282.79,270.73,272.65,44974331,249.723,,,252.5453,247.0987,244.6854,243.2804,59.3946,6.5065,2.4446,4.0619,True,10.061,251.89187768564568,,3.5497623434111096,257.65,,,,,261.15666666666664,262.7933333333333,265.47666666666663,267.1133333333333,258.4733333333333,256.83666666666664,254.1533333333333,273.25239999999997,264.6238,257.65,250.6762,240.7474,0.8706,0.2478,63045810.0,49423466.85,0.7134,0.91,75.3807,84.4839,8.94,1.2,1.92,75.3807,,7.9608,,,287.2,20.1047,307.3047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
