Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,1767.65,1817.2,1767.04,1801.86,1005228,,,,1794.81,1815.5009,1827.3541,1834.6501,46.3925,-14.986,-16.3286,1.3426,True,79.9796,1791.5957942432608,,0.7144675845610341,1778.4250000000002,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,,,1998422.8,,0.503,,59.6005,,34.21,15.34,0.61,,,0.3928,,,,7.05,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,1782.12,1823.575,1780.2375,1803.0,1105072,,,,1795.59,1815.0107,1826.8719,1834.3351,53.3803,-12.5012,-15.5631,3.0619,True,75.1912,1791.9690083329665,,0.8549627834700354,1778.4250000000002,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,,,1954192.5,,0.5655,,60.2906,53.6128,20.88,20.575,1.8825,,,0.4127,,,,7.41,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-07-24,1789.88,1797.87,1739.88,1757.09,1314092,,,,1791.9234,1812.7393,1825.49,1833.5665,43.0397,-14.0744,-15.2654,1.191,False,72.6084,1790.8904179931403,,0.787000793100049,1778.4250000000002,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,,,1963758.6,,0.6692,,34.5651,51.4854,32.79,7.99,17.21,,,-1.9439,,,,-34.8334,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,1739.19,1746.7,1613.34,1655.26,3326534,,,,1778.9078,1806.5636,1822.1191,1831.7923,41.0203,-23.2697,-16.8662,-6.4034,False,75.1791,1779.9585490225822,,0.7600896677781075,1733.395,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,,,2154689.7,,1.5439,,17.083,37.3129,83.93,7.51,41.92,,,-6.9508,,,,-123.6478,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-28,1580.5,1599.88,1553.58,1582.95,3000318,,,,1760.2452,1797.7945,1817.3831,1829.3163,33.5174,-35.9771,-20.6884,-15.2887,False,78.7791,1764.5817272343784,,0.6346861032938939,1703.5149999999999,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,,,2203254.1,,1.3618,,9.6248,20.4243,2.45,16.93,26.92,,,-10.0722,,,,-177.2952,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,1645.07,1676.78,1626.44,1651.44,2171491,1759.823,,,1749.8828,1792.0551,1814.0971,1827.5464,37.1849,-40.0595,-24.5626,-15.4969,False,79.047,1758.656198369023,,0.6325354170134314,1688.73,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,0.0822,0.1474,2001953.2,2071039.95,1.0847,1.0485,32.6341,19.7806,6.37,25.34,18.63,25.1297,,-5.6257,,,1943.0,-98.4428,1844.5572,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-31,1683.38,1692.15,1624.71,1629.0,1599514,1749.121,,,1738.3701,1785.6608,1810.4318,1825.5708,36.2421,-44.5915,-28.5684,-16.0231,False,80.3984,1754.5650045230361,,0.7107463245086475,1688.73,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,0.0582,0.1555,1904677.9,2021782.1,0.8398,0.7911,25.1509,22.4699,54.38,8.77,4.29,19.3673,,-6.2915,,,1868.6,-109.3701,1759.2299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,1609.69,1655.1975,1582.0,1642.52,1435740,1742.781,,,1729.2415,1780.0474,1807.1068,1823.7494,42.4615,-46.5556,-32.1658,-14.3897,True,79.9668,1750.4313951258207,,0.7145823935830499,1688.73,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,0.1509,0.1648,1827488.9,1958519.9,0.7856,0.7331,29.6595,29.1482,32.83,12.6775,27.69,22.8391,,-5.015,,,1868.6,-86.7215,1781.8785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,1700.04,1717.56,1686.01,1711.89,1525459,1737.122,,,1727.589,1777.3746,1805.2214,1822.6364,44.4443,-42.03,-34.1387,-7.8913,True,80.1675,1748.929273428215,,0.7127933033069153,1688.5774999999999,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,0.4091,0.1598,1816284.6,1937544.4,0.8399,0.7873,52.7929,35.8678,11.85,5.67,14.03,40.6528,,-0.9087,,,1858.73,-15.699,1843.031,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,1700.42,1729.06,1671.75,1678.22,1219185,1733.669,,,1722.8872,1773.4861,1802.7065,1821.1994,37.9309,-40.6913,-35.4492,-5.2421,True,77.5218,1747.4848892621387,,0.6449799825855402,1688.5774999999999,,,,,1755.7166666666665,1770.413333333333,1790.5166666666664,1805.213333333333,1735.613333333333,1720.9166666666665,1700.813333333333,1815.4562799999999,1765.41186,1724.965,1684.51814,1626.9327799999999,0.3036,0.1628,1770263.3,1905306.8,0.6887,0.6399,41.5647,41.339,22.2,28.64,6.47,32.0066,,-2.5926,,,1858.73,-44.6672,1814.0628,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
