Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,62.745,63.9151,61.2254,61.95,10880515,,,,70.7339,78.0699,81.6741,83.7727,23.479,-6.7424,-5.3771,-1.3653,True,6.0888,67.42802123184924,,2.346228203539989,63.705,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,,,18671047.2,,0.5827,,23.1015,,0.795,1.1701,0.7246,,,-12.4182,,,,-8.7839,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,59.97,62.83,57.66,59.18,11924636,,,,69.6335,77.3292,81.2286,83.528,22.5861,-6.812,-5.6641,-1.1479,True,5.83,67.092104010939,,2.4503918176516426,62.935,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,,,18795948.9,,0.6344,,16.7526,21.9547,0.79,2.86,1.52,,,-15.0122,,0.0,,-10.4535,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-24,59.45,59.455,55.73,56.2,11058142,,,,68.3542,76.5006,80.733,83.256,23.3304,-7.0266,-5.9366,-1.09,True,5.5146,66.69669240841924,,2.5905192177668166,62.75,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,,,19161402.3,,0.5771,,10.725,16.8597,3.25,0.005,0.47,,,-17.7811,,-5.0355,,-12.1542,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-27,56.43,59.5,56.1501,58.29,8308303,,,,67.3957,75.7864,80.2886,83.0076,30.81,-6.9479,-6.1389,-0.8091,True,5.2867,66.44431755063492,,4.053259834221673,61.855,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,,,18693348.2,,0.4445,,20.13,15.8692,1.86,1.21,0.2799,,,-13.5108,,-1.5039,,-9.1057,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,56.29,57.99,53.36,56.55,13006070,,,,66.3627,75.0321,79.8185,82.7444,28.3427,-6.9459,-6.3003,-0.6457,True,5.2982,65.99001756623935,,4.044511193858814,58.98,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,,,19046055.5,,0.6829,,14.5045,15.1198,0.26,1.44,2.93,,,-14.7865,,0.0,,-9.8127,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-30,55.05,58.51,54.4,58.44,12810132,66.756,,,65.6082,74.3814,79.3952,82.5025,32.1709,-6.7144,-6.3831,-0.3313,True,5.3232,65.62659473677923,,5.367355208884047,58.995,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,0.291,0.5961,18823169.5,15638642.8,0.6806,0.8191,24.6265,19.7537,3.39,0.07,0.65,13.2779,,-10.9258,,3.3422,91.815,-7.1682,84.6468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,60.65,61.2,56.24,58.98,9727199,65.4,,,64.9769,73.7774,78.9909,82.2685,33.4335,-6.4135,-6.3892,-0.0243,True,5.4789,65.42089307417433,,6.518513883130868,58.995,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,0.3211,0.5488,14516422.3,15214038.7,0.6701,0.6394,29.4118,22.8476,1.67,0.55,2.74,14.681,,-9.2293,,0.0,90.6436,-5.9969,84.6467,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-08-03,56.81,65.12,55.74,63.52,12543966,64.3195,,,64.8382,73.3752,78.6846,82.0819,45.1759,-5.7424,-6.2598,0.5174,True,5.6782,65.27259820861075,,7.547682484093258,59.24,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,0.474,0.4776,12742188.0,15041547.8,0.9844,0.834,54.087,36.0418,6.71,1.6,1.07,26.4778,,-2.033,,7.6975,88.25,-1.3182,86.9318,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,68.5,71.27,66.87,70.31,20385556,63.803,,,65.3593,73.255,78.5187,81.9648,51.5641,-4.6096,-5.9298,1.3202,True,5.9039,65.51410364946548,,8.468978133098462,62.315,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,0.7384,0.4278,13198592.9,15454393.3,1.5445,1.3191,94.6488,59.3825,1.81,0.96,1.63,44.1211,,7.5746,,19.2099,80.09,4.9507,85.0407,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,,,,,,,,
2026-08-05,67.88,70.38,66.45,68.38,12146262,63.5115,,,65.647,73.0638,78.318,81.8296,52.1998,-3.8235,-5.5085,1.6851,True,5.771,65.60957603093078,,8.66394536268513,62.315,,,,,64.72,66.55,68.03999999999999,69.86999999999999,63.230000000000004,61.400000000000006,59.91000000000001,69.95408,66.78296,64.22,61.657039999999995,58.00808,0.6881,0.4076,12279078.1,15407054.0,0.9892,0.7884,83.8907,77.5422,0.5,2.0,1.43,39.1061,,4.1632,,15.9376,77.9699,2.733,80.7029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
