Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,116.225,116.83,115.14,116.56,7071350,,,,109.6909,104.0381,101.3063,99.7287,76.2808,5.2689,4.1546,1.1143,False,4.1682,110.39605804024094,,11.995544512038387,116.5425,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,,,12022168.4,,0.5882,,80.1425,,0.335,0.27,1.085,,,6.2622,,,,6.8691,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,115.76,116.41,113.1,114.06,8480637,,,,110.107,104.4312,101.5588,99.8713,74.9027,4.9506,4.3138,0.6368,False,4.2154,110.56243544665405,,11.861391171735999,116.5425,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,,,11459169.8,,0.7401,,69.4134,78.3287,1.7,0.65,0.96,,,3.5901,,,,3.953,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-24,112.79,113.33,111.6637,112.14,6928297,,,,110.3007,104.7335,101.7683,99.9933,69.6928,4.4916,4.3494,0.1423,False,4.2515,110.62031759356202,,10.080424990717608,116.5425,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,,,10535783.2,,0.6576,,60.2902,69.9487,0.65,0.54,0.4763,,,1.6676,,,,1.8393,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,114.12,115.02,112.61,115.0,9206657,,,,110.7482,105.1361,102.0303,100.1427,71.7492,4.309,4.3413,-0.0323,False,4.2894,110.76622169814051,,9.991457304005076,116.75935000000001,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,,,10504187.1,,0.8765,,57.6982,62.4673,0.88,0.02,1.51,,,3.8392,,,,4.2518,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,114.71,115.99,113.55,115.19,6400755,,,,111.1712,105.5303,102.2909,100.2924,61.0459,4.132,4.2994,-0.1674,False,3.6294,110.88009847272644,,11.808396951071906,116.75935000000001,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,,,10318658.8,,0.6203,,48.7505,55.5796,0.48,0.8,1.16,,,3.6149,,,,4.0188,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,114.0,116.33,112.94,116.32,7755868,111.2515,,,111.6616,105.9535,102.5687,100.4519,59.5643,4.0364,4.2468,-0.2104,False,3.6344,111.01920587271074,,9.826792947507238,116.75935000000001,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.6683,0.2707,9076275.2,12033412.0,0.8545,0.6445,47.9059,51.4515,2.32,0.01,1.06,79.2425,,4.1719,,,121.855,4.6584,126.5134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,120.11,122.585,119.22,122.25,16991694,112.4645,,,112.67,106.5925,102.9585,100.6688,65.5877,4.3885,4.2752,0.1133,True,3.7647,111.70059241718566,,9.486531970561394,117.12434999999999,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.8385,0.2571,9813681.9,12288567.75,1.7314,1.3827,97.0498,64.5687,2.14,0.335,0.89,98.7771,,8.5027,,,122.585,9.58,132.165,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,126.6,129.5,126.04,127.3,14580364,114.0225,,,114.0633,107.4046,103.4405,100.9337,70.2849,5.0172,4.4236,0.5936,True,4.1126,112.55283051896414,,10.420954455218554,120.58185,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.9829,0.2411,10144454.9,12429376.6,1.4373,1.1731,87.9584,77.638,0.7,2.2,0.56,93.5879,,11.6047,,,129.5,13.2367,142.7367,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,126.06,129.62,125.785,128.99,10721113,115.5765,,,115.4849,108.2511,103.9464,101.2129,71.6437,5.5874,4.6563,0.9311,True,4.2351,113.14309638651737,,10.11952849743554,120.64185,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,1.0124,0.2265,9745151.6,12518025.95,1.1001,0.8565,96.4915,93.8332,2.93,0.63,0.275,98.1702,,11.6942,,,129.62,13.5051,143.1251,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,130.65,130.99,128.22,128.53,9530622,117.096,,,116.7273,109.0463,104.4332,101.4847,66.131,5.9338,4.9118,1.022,True,3.7972,113.66781851182236,,11.286405712426141,121.32685000000001,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.9959,0.1969,9766735.7,12484349.25,0.9758,0.7634,87.2712,90.5737,2.12,0.34,0.31,93.1285,,10.1113,,,130.99,11.8027,142.7927,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,126.78,127.21,125.56,126.81,4882362,117.9875,,,117.6876,109.743,104.8763,101.7367,63.2688,6.0004,5.1295,0.8708,False,3.8294,113.878938072385,,11.191670412767452,121.32685000000001,,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.8789,0.1974,9547836.9,10785002.65,0.5114,0.4527,78.3714,87.3781,0.03,0.4,1.22,88.324,,7.7514,,,130.99,9.1224,140.1124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-07,127.61,128.62,126.07,128.41,6046136,118.851,,,118.7088,110.475,105.3423,102.0021,69.6491,6.1118,5.326,0.7858,False,3.758,114.15434468314854,,13.305126465227046,121.80000000000001,113.09,,,,127.67666666666666,133.47333333333333,136.41666666666669,142.21333333333334,124.73333333333332,118.93666666666665,115.99333333333331,127.6361132,124.58379339999999,122.11685,119.64990660000001,116.1376482,0.8964,0.2029,9304386.8,10381778.3,0.6498,0.5824,86.6503,84.0977,0.8,0.21,1.54,92.7933,,8.1723,,,130.99,9.7012,140.6912,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
