Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,107.25,108.25,106.55,107.52,1221976,,,,112.9251,115.3582,116.5206,117.1941,35.1228,-2.3875,-1.6306,-0.7569,False,4.478,113.17430487642042,,7.97551198799207,112.805,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,,,2192364.1,,0.5574,,9.8829,,0.27,0.73,0.7,,,-4.7864,,,,-5.4051,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,107.4,108.21,105.51,107.39,1128327,,,,112.3979,115.0457,116.3398,117.0966,40.3147,-2.5245,-1.8094,-0.7151,True,4.183,112.98771766491348,,8.53797434850987,110.96000000000001,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,,,2158400.4,,0.5228,,13.1285,12.6547,0.01,0.81,1.88,,,-4.4555,,,,-5.0079,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,106.27,106.71,105.2,105.34,1282886,,,,111.7258,114.6651,116.122,116.9796,35.6212,-2.7666,-2.0008,-0.7657,False,4.1801,112.74590578856511,,8.543810095024261,110.805,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,,,2155748.4,,0.5951,,0.9569,7.9894,0.93,0.44,0.14,,,-5.7156,,,,-6.3858,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,106.4,107.03,104.84,105.29,2316409,,,,111.1128,114.2974,115.9075,116.8633,38.3641,-2.9287,-2.1864,-0.7423,True,4.0701,112.34617632952174,,8.774716181805104,110.625,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,,,2108325.6,,1.0987,,3.002,5.6958,1.11,0.63,0.45,,,-5.2405,,,,-5.8228,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,103.915,105.155,102.62,104.92,1914732,,,,110.523,113.9297,115.6899,116.7445,23.6076,-3.0519,-2.3595,-0.6924,True,3.708,111.98170735221342,,7.705362354296417,109.515,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,,,1905842.1,,1.0047,,13.6742,5.8777,1.005,0.235,1.295,,,-5.0696,,0.0,,-5.603,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-07-30,104.31,107.92,102.94,107.48,2291326,111.0505,,,110.2332,113.6768,115.5273,116.6523,31.0826,-2.9094,-2.4695,-0.4399,True,3.8714,111.68237239491317,,9.225092250922513,107.63,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.2972,0.1586,1854053.4,2246038.7,1.2358,1.0202,28.8942,15.1901,3.17,0.44,1.37,28.1576,,-2.4976,,2.44,119.88,-2.7532,117.1268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,109.99,111.205,107.77,111.11,2868704,110.709,,,110.3167,113.5761,115.4399,116.5971,39.3426,-2.475,-2.4706,-0.0044,True,3.9668,111.58308383452945,,9.00333123255605,107.63,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.5245,0.1479,1870645.6,2180538.95,1.5335,1.3156,61.5664,34.7116,1.12,0.095,2.22,49.1889,,0.7191,,0.0,119.83,0.7933,120.6233,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-08-03,111.28,113.94,110.83,113.06,2361518,110.697,,,110.578,113.5559,115.3927,116.5619,49.4092,-1.9509,-2.3666,0.4157,True,3.7868,111.63143942470056,,11.317551636329345,108.28,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.6446,0.1477,1863987.2,2140599.65,1.2669,1.1032,75.707,55.3892,1.78,0.88,0.45,60.4867,,2.2446,,1.755,119.83,2.482,122.312,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,,,,
2026-08-04,111.79,113.38,111.55,112.58,2022628,110.6065,,,110.7687,113.5176,115.337,116.5223,55.7576,-1.5564,-2.2046,0.6482,True,3.4018,111.66524035508311,,12.5984251968504,108.28,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.6227,0.1454,1879211.7,2162451.45,1.0763,0.9353,72.2263,69.8332,0.79,0.8,0.24,57.7057,,1.6353,,1.323,119.83,1.8113,121.6413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,114.41,114.4469,111.04,111.11,1662262,110.5575,,,110.8012,113.4232,115.2533,116.4685,49.244,-1.3468,-2.033,0.6862,True,3.3323,111.68171993835116,,12.861212512244952,108.53345,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.5345,0.145,1907076.8,2150289.1,0.8716,0.773,61.5664,69.8332,3.3,0.0369,0.07,49.1889,,0.2787,,0.0,119.83,0.3088,120.1388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-08-06,108.86,109.75,107.62,109.33,1523538,110.143,,,110.6611,113.2627,115.136,116.3974,42.9948,-1.3092,-1.8883,0.579,False,3.2294,111.60516466148565,,11.059035342465155,108.53345,,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.4443,0.1326,1937233.0,2064798.55,0.7865,0.7379,56.7351,63.5092,0.47,0.42,1.24,38.876,,-1.2028,,-1.602,119.44,-1.3311,118.1089,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,110.0,110.43,108.44,109.71,1658152,109.753,,,110.5705,113.1233,115.0286,116.3309,56.2659,-1.2346,-1.7575,0.523,False,2.9544,111.54471899106456,,14.506103443023653,108.53345,111.25,,,,92.47666666666665,93.6533333333333,95.33666666666664,96.51333333333329,90.7933333333333,89.61666666666665,87.9333333333333,108.5830316,104.9553842,102.02345,99.0915158,94.9172366,0.4967,0.1171,1990215.5,2074307.95,0.8332,0.7994,59.9481,59.4165,0.29,0.43,1.27,41.0776,,-0.7782,,-1.26,119.44,-0.8605,118.5795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
