Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,177.97,180.37,176.39,177.86,4850497,,,,180.2261,181.2625,181.8566,182.2215,43.7402,-0.7556,-0.7641,0.0085,False,5.8393,180.3371309976527,,6.116207951070341,178.5425,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,,,5188856.7,,0.9348,,41.9444,,0.11,2.4,1.47,,,-1.3129,,,,-2.3661,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,174.065,175.8,171.02,172.83,4667784,,,,179.5217,180.9318,181.6779,182.128,35.7956,-1.2531,-0.8619,-0.3912,False,5.9893,179.98939873725777,,4.7704233750745395,178.47,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,,,5194334.6,,0.8986,,14.0,35.4815,1.235,1.735,1.81,,,-3.7275,,,,-6.6917,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,174.6,180.3,174.5,177.46,5012049,,,,179.3254,180.7957,181.5943,182.0816,45.7891,-1.2592,-0.9414,-0.3179,True,6.0714,179.86137914042823,,5.882352941176473,178.47,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,,,5297995.0,,0.946,,39.7222,31.8889,2.86,2.84,0.1,,,-1.0402,,,,-1.8654,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,180.672,187.34,180.59,186.79,5664995,,,,180.0363,181.0308,181.6972,182.1284,54.7638,-0.5054,-0.8542,0.3488,True,6.2479,180.13035999860486,,5.7162455699096855,179.18,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,,,5357095.2,,1.0575,,96.7704,50.1642,6.118,0.55,0.082,,,3.7513,,,,6.7537,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,189.475,199.98,188.48,199.31,9062314,,,,181.8719,181.7476,182.046,182.2994,72.4757,1.0897,-0.4654,1.5551,True,6.5329,181.3714261860974,,6.560244915810191,185.5,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,,,5722432.6,,1.5836,,97.7418,78.0782,9.835,0.67,0.995,,,9.5881,,,,17.4381,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,197.0,199.9,190.15,193.24,7597024,181.223,,,182.9546,182.1983,182.2676,182.4083,64.6446,1.8428,-0.0038,1.8466,True,6.8479,182.17851994885862,,6.258475018253886,185.5,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.9655,0.1425,5802171.6,6145896.75,1.3093,1.2361,76.7265,90.4129,3.76,2.9,3.09,77.2835,,5.6219,,,199.98,10.2854,210.2654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,191.605,194.9599,190.805,192.9,4598415,181.736,,,183.9017,182.6179,182.4782,182.5127,62.5151,2.3847,0.4739,1.9108,True,6.8218,182.56472935050687,,5.235333475036359,185.5,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.901,0.1532,5674624.0,6020760.65,0.8103,0.7638,75.5525,83.3403,1.295,2.0599,0.8,76.1375,,4.893,,,199.98,8.9983,208.9783,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,198.218,199.4299,191.0664,192.71,7054614,182.1435,,,184.7406,183.0137,182.6808,182.6141,65.215,2.767,0.9325,1.8344,False,6.9813,183.18528016028816,,6.138836980759135,185.5,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.8588,0.1617,5660573.7,5664036.1,1.2463,1.2455,74.8964,75.7251,5.508,1.2119,1.6436,75.4971,,4.3138,,,199.98,7.9694,207.9494,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,192.83,195.15,190.37,194.27,9350622,182.8055,,,185.6482,183.4551,182.9103,182.7301,67.2837,3.1593,1.3779,1.7814,False,6.9149,183.84005383487124,,6.197810369376793,185.5,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.8658,0.1715,6189768.6,5763464.05,1.5107,1.6224,80.2831,76.9107,1.44,0.88,2.46,80.755,,4.6442,,,199.98,8.6218,208.6018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,207.735,211.47,202.13,207.02,10651567,184.059,,,187.6836,184.3793,183.3877,182.9718,69.859,4.4479,1.9919,2.456,True,7.5513,185.42726684726023,,5.67545570574987,191.245,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,1.1032,0.2068,6850988.1,6027567.85,1.5547,1.7671,88.9988,81.3928,0.715,3.735,4.89,89.1885,,10.3027,,,211.47,19.3364,230.8064,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,207.45,211.82,205.82,207.39,6866282,185.714,,,189.5604,185.2816,183.863,183.2148,69.13,5.4362,2.6808,2.7555,True,7.5563,186.40192446312793,,5.671700265992344,193.16,,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,1.0136,0.2272,7052566.6,6120711.65,0.9736,1.1218,89.1422,86.1414,0.06,4.37,1.57,89.3279,,9.4058,,,211.82,17.8296,229.6496,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-07,207.245,215.69,207.155,214.42,7207028,187.659,,,191.928,186.4243,184.4681,183.5253,75.7228,6.7094,3.4865,3.2229,True,7.7481,187.51386601990808,,6.4531959881808065,198.14,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,1.0551,0.2569,7306491.0,6250412.8,0.9864,1.153,97.1569,91.7659,7.175,1.27,0.09,97.2014,,11.719,,,215.69,22.492,238.182,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-10,213.93,215.45,209.21,212.88,4705342,189.3835,,,193.9234,187.4618,185.0307,183.8173,76.5528,7.5076,4.2907,3.2169,False,7.846,188.19243434244436,,6.372709769872984,202.08499999999998,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.9491,0.2762,7275820.3,6286907.65,0.6467,0.7484,93.7094,93.3362,1.05,1.52,3.67,93.8078,,9.7753,,,215.69,18.9566,234.6466,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-11,210.0,214.36,208.77,212.87,3496008,191.237,,,195.7278,188.4582,185.582,184.1064,76.6015,8.0466,5.0419,3.0047,False,7.9981,188.66307312834405,45.73295770860894,6.251485676734444,202.92000000000002,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.8957,0.2858,7058921.6,6208008.4,0.4953,0.5631,93.687,94.8511,2.87,1.49,1.23,93.7858,,8.7582,,,215.69,17.1422,232.8322,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-12,209.565,212.87,208.0,212.26,3997297,193.1075,,,197.3023,189.3916,186.1103,184.3866,77.7509,8.3286,5.6992,2.6294,False,8.0617,189.15775361473723,50.20867026604856,6.202188711639099,203.03,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.8454,0.2872,6552419.9,6137426.25,0.61,0.6513,92.3215,93.2393,2.695,0.61,1.565,92.4416,,7.5811,,,215.69,14.9577,230.6477,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-13,212.995,214.38,208.53,213.34,3682965,194.6345,,,198.8297,190.3307,186.6495,184.6747,84.9044,8.5407,6.2675,2.2732,False,7.991,189.61532142770173,54.97124255368576,7.1509413458963715,203.03,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.826,0.2948,6161014.0,5981592.8,0.5978,0.6157,94.2947,93.4344,0.345,1.04,4.465,94.8215,,7.2978,,,215.69,14.5103,230.2003,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-14,212.56,214.93,211.71,212.06,4105459,196.007,,,200.0898,191.1829,187.1526,184.9471,81.6386,8.5075,6.7155,1.792,False,7.6874,190.1220939573769,60.75616457886958,7.4333288705485145,203.03,193.0,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.7741,0.2988,6111718.4,5893171.2,0.6717,0.6966,89.6581,92.0914,0.5,2.37,0.35,92.0009,,5.9824,,,215.69,11.9702,227.6602,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-17,210.83,213.49,204.02,204.76,5953977,197.161,,,200.5345,191.7153,187.5013,185.1443,67.0655,7.8022,6.9329,0.8693,False,7.6581,190.65147624294372,65.00973448143479,6.529035652200251,208.91,193.35500000000002,,,,210.79333333333332,212.07666666666665,214.28333333333333,215.56666666666666,208.58666666666664,207.3033333333333,205.09666666666664,205.7056,199.0772,193.72,188.3628,180.7356,0.6323,0.2914,6001654.7,5831114.2,0.9921,1.0211,59.8309,81.2613,6.07,2.66,0.74,75.9145,,2.1071,,,215.69,4.2255,219.9155,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
