Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,43.77,43.77,42.69,42.97,11181963,,,,43.7156,43.4961,43.3208,43.2029,49.5495,0.0441,0.1992,-0.1552,False,1.5118,44.06424877929777,,28.347885247760548,43.855000000000004,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,,,15581741.4,,0.7176,,18.4652,,0.8,0.0,0.28,,,-1.7055,,,,-0.7456,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,42.725,43.69,42.5,43.58,16534761,,,,43.7027,43.4994,43.3259,43.2066,40.8451,0.0301,0.1654,-0.1353,True,1.4011,44.01440328848757,,25.489916189155597,43.825,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,,,15995190.7,,1.0337,,33.0935,25.0999,0.855,0.11,0.225,,,-0.2807,,,,-0.1227,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,43.97,44.71,43.72,44.25,20688112,,,,43.7548,43.5288,43.3442,43.217,47.9769,0.0723,0.1468,-0.0745,True,1.3772,44.029620338532496,,31.119363505285126,43.825,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,,,16859694.7,,1.2271,,49.1607,33.5731,0.28,0.46,0.25,,,1.1318,,,,0.4952,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,44.6,46.32,44.59,45.51,20039219,,,,43.9219,43.6065,43.3871,43.2398,51.1401,0.205,0.1584,0.0466,True,1.3986,44.123363459193264,,30.64257479341799,44.260000000000005,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,,,17547468.8,,1.142,,80.3398,54.198,0.91,0.81,0.01,,,3.6156,,,,1.5881,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,46.42,47.155,45.81,46.06,26888000,,,,44.1256,43.7027,43.4401,43.2679,56.7422,0.3505,0.1968,0.1537,True,1.4239,44.301141533498615,,35.114297036854964,44.8275,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,,,18227941.7,,1.4751,,77.9011,69.1339,0.36,0.735,0.25,,,4.3839,,,,1.9344,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,45.27,46.195,44.55,46.0,25889601,44.3485,,,44.3041,43.7928,43.4907,43.2951,55.5191,0.4557,0.2486,0.2071,True,1.4693,44.392875410826235,,29.168834073087368,44.8275,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9007,0.0929,19364058.4,18069815.5,1.337,1.4328,76.6902,78.3104,0.73,0.195,0.72,76.6902,,3.8279,,,47.155,1.6959,48.8509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,45.84,46.8,44.43,46.73,18687383,44.532,,,44.5351,43.908,43.5549,43.3292,60.1449,0.5912,0.3171,0.2741,True,1.5468,44.47123654067334,,27.707354917362807,44.8275,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.994,0.0999,19355043.8,17728412.1,0.9655,1.0541,91.4228,82.0047,0.89,0.07,1.41,91.4228,,4.9284,,,47.155,2.1949,49.3499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,47.82,48.92,47.5,48.43,20368256,44.6965,,,44.9061,44.0853,43.6514,43.38,66.8149,0.8263,0.419,0.4073,True,1.6268,44.66513187209468,,30.73545554335893,45.71,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,1.1618,0.1262,19840085.5,17429072.15,1.0266,1.1686,92.7083,86.9405,0.61,0.49,0.32,92.7083,,7.8473,,,48.92,3.5239,52.4439,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,48.11,49.21,47.98,49.09,21563595,44.921,,,45.3045,44.2816,43.7591,43.4368,82.6923,1.0536,0.5459,0.5077,True,1.5454,44.87436605586816,,36.97712040674829,45.855000000000004,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,1.1067,0.153,20683527.6,17651328.35,1.0425,1.2216,98.2882,94.1398,0.98,0.12,0.13,98.2882,,8.3556,,,49.21,3.7855,52.9955,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,49.47,49.4863,47.1,47.74,16474717,45.043,,,45.5365,44.4172,43.8379,43.4796,71.719,1.1121,0.6591,0.4529,False,1.6151,44.99588719206401,,30.957972341262966,45.99315,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.8686,0.1625,19831560.7,17825027.6,0.8307,0.9242,75.0039,88.6668,1.73,0.0163,0.64,76.0331,,4.839,,,49.4863,2.2035,51.6898,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,49.23,50.16,48.875,49.3,21397115,45.2675,,,45.8949,44.6087,43.9461,43.5375,71.6667,1.2696,0.7812,0.4884,True,1.6158,45.202890435395865,,30.944287021523948,46.94,,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9893,0.182,20853075.9,18217408.65,1.0261,1.1745,88.7728,87.355,0.07,0.86,0.355,89.196,,7.4193,,,50.16,3.4051,53.5651,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-07,49.5,50.12,49.06,49.31,11444621,45.4835,,,46.2202,44.7931,44.0523,43.595,75.8317,1.3794,0.9009,0.4785,False,1.5851,45.307149518035025,,31.5438933275653,47.295,46.18,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9256,0.1977,20344061.9,18169626.3,0.5626,0.6299,88.9034,84.2267,0.19,0.62,0.25,89.3216,,6.685,,,50.16,3.0898,53.2498,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-10,49.54,50.82,49.54,50.46,18991392,45.768,,,46.624,45.0153,44.1792,43.6633,80.108,1.5414,1.029,0.5124,True,1.6297,45.499501638485036,,35.062652577324094,47.625,46.510000000000005,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9695,0.2184,20174389.9,18517042.3,0.9414,1.0256,95.6731,91.1164,0.92,0.36,0.0,95.8237,,8.2276,,,50.82,3.836,54.656,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-11,50.27,51.5,50.13,51.19,13447249,46.095,,,47.0588,45.2574,44.318,43.7382,85.524,1.709,1.165,0.544,True,1.664,45.64472593429122,27.101456919291163,38.63274425552555,47.965,46.85,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9617,0.2394,19515192.9,18531330.85,0.6891,0.7256,96.5556,93.7107,0.92,0.31,0.14,96.6667,,8.7788,,,51.5,4.1312,55.6312,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-12,50.5,51.74,50.02,51.42,20667914,46.5345,,,47.4742,45.4991,44.4587,43.8146,87.4889,1.8392,1.2998,0.5394,False,1.7097,45.85813972366592,30.25802794181547,41.777551250611005,48.085,46.97,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.9247,0.2472,18893184.3,18560563.0,1.0939,1.1135,96.5368,96.2551,0.92,0.32,0.48,96.6457,,8.3115,,,51.74,3.9458,55.6858,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-13,51.57,52.335,51.22,51.69,15639258,46.967,,,47.8757,45.7419,44.6019,43.893,87.0997,1.9418,1.4282,0.5136,False,1.7044,46.028704512342465,33.964161326118564,46.099751480430655,49.7175,47.2675,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.8974,0.253,17868150.0,18616104.2,0.8753,0.8401,92.5131,95.2018,0.12,0.645,0.35,93.6359,,7.9671,,,52.335,3.8143,56.1493,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-14,52.83,52.9894,51.698,51.83,16280095,47.3275,,,48.2523,45.9806,44.745,43.972,86.4423,2.0112,1.5448,0.4664,False,1.7165,46.20848272818323,38.24495465390447,45.77477976088919,50.044700000000006,47.5947,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.8624,0.2625,17627421.2,18491232.5,0.9236,0.8804,86.4547,91.8348,1.0,0.1594,0.132,89.2543,,7.4146,,,52.9894,3.5777,56.5671,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-17,51.71,52.065,51.24,51.43,18149583,47.6975,,,48.5549,46.1943,44.8774,44.0462,81.0273,2.0108,1.638,0.3727,False,1.6275,46.37812464111121,41.1565562377844,43.88717485089333,50.044700000000006,47.5947,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.7978,0.2627,17405553.9,18622819.7,1.0427,0.9746,81.7814,86.9164,0.28,0.355,0.19,85.5469,,5.9213,,,52.9894,2.8751,55.8645,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-18,52.38,52.53,50.45,50.47,11719934,48.0325,,,48.7373,46.362,44.9881,44.1101,72.1608,1.9109,1.6926,0.2183,False,1.6586,46.473524586872195,41.42928260989038,38.758521491600185,50.9322,47.5947,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.6999,0.2538,16421187.8,18552357.7,0.7137,0.6317,70.5657,79.6006,1.91,0.15,0.02,76.6493,,3.5552,,,52.9894,1.7327,54.7221,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-19,50.8,52.56,50.66,52.01,16830582,48.4735,,,49.049,46.5835,45.1272,44.1887,76.2905,1.9337,1.7408,0.1929,False,1.6904,46.62059824752065,44.25114171184983,42.255247045301864,51.0247,47.5947,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.8,0.2432,16456774.3,18144167.5,1.0227,0.9276,88.5576,80.3016,1.21,0.55,0.14,90.9226,,6.0368,,,52.9894,2.961,55.9504,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-20,51.64,51.8,49.36,49.37,20371593,48.7935,,,49.0796,46.6928,45.2112,44.2402,59.8951,1.719,1.7365,-0.0174,False,1.7104,46.73679866351565,45.235422022936746,37.58503614427644,51.1747,47.5947,,,,50.17666666666667,50.99333333333334,52.61666666666667,53.43333333333334,48.55333333333334,47.73666666666667,46.113333333333344,50.513901600000004,48.982449200000005,47.7447,46.5069508,44.7447316,0.5544,0.2173,16354222.1,18603649.0,1.2456,1.095,38.5438,65.889,2.27,0.16,0.01,66.4541,,0.5918,,,52.9894,0.2904,53.2798,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
