Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,86.86,87.34,85.0,85.68,2191480,,,,82.0438,80.6911,80.177,79.9108,64.0335,1.6334,0.8383,0.7951,False,2.9505,81.88861517135403,,14.525592338524724,83.34190000000001,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,,,1565367.0,,1.4,,81.9659,,1.18,0.48,0.68,,,4.4321,,,,3.6362,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,84.51,85.33,83.81,84.46,1466716,,,,82.2739,80.8389,80.2618,79.9561,61.8492,1.6135,0.9934,0.6201,False,2.8552,82.05526741464774,,15.009979760293108,83.7425,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,,,1601016.4,,0.9161,,72.0552,82.4262,0.05,0.82,0.65,,,2.6571,,,,2.1861,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-24,83.33,85.4,82.92,84.72,1734639,,,,82.5069,80.9911,80.3501,80.0035,69.3333,1.6002,1.1147,0.4855,False,2.8345,82.2141877896675,,15.119670300469414,83.7425,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,,,1544911.4,,1.1228,,74.1673,76.0628,1.39,0.68,0.41,,,2.6824,,,,2.2131,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,86.1,87.41,85.26,87.03,1541602,,,,82.9376,81.228,80.4824,80.0734,71.3957,1.7559,1.243,0.5129,True,2.8731,82.4668862355852,,17.402803168951,83.7425,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,,,1506372.9,,1.0234,,92.9326,79.7184,0.93,0.38,0.84,,,4.9343,,,,4.0924,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,87.67,89.22,86.28,89.01,1564824,,,,83.5159,81.5331,80.6513,80.1623,77.4136,2.0158,1.3975,0.6182,True,2.9256,82.78428311461492,,19.532010584884823,84.81,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,,,1565346.6,,0.9997,,98.3399,88.4799,1.34,0.21,1.39,,,6.5784,,,,5.4941,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,101.5,102.64,98.34,101.31,2367181,83.4195,,,85.2106,82.3087,81.0604,80.3727,84.5875,3.1776,1.7535,1.4241,True,3.7463,84.18038861482485,,15.25308538934596,92.7569975,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,1.2973,0.269,1673796.3,1524228.15,1.4143,1.553,94.4249,95.2325,0.19,1.14,2.97,95.0832,,18.8936,,,102.64,16.0994,118.7394,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,101.83,103.33,100.6023,101.42,1974742,84.5085,,,86.7544,83.0582,81.4635,80.5822,82.3285,4.0604,2.2149,1.8455,True,3.5312,85.25135388127721,,16.18250466941114,93.125,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,1.1198,0.3229,1744733.6,1565305.85,1.1318,1.2616,91.9562,94.907,0.41,1.5,0.8177,93.1146,,16.9048,,,103.33,14.6656,117.9956,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,102.32,105.18,101.5101,104.89,1640534,85.794,,,88.4816,83.9143,81.9274,80.824,86.3896,4.9826,2.7685,2.2142,True,3.5319,86.14661239954175,,16.179231913211353,94.05000000000001,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,1.0914,0.3763,1741729.7,1576813.8,0.9419,1.0404,98.867,95.0827,2.57,0.29,0.8099,99.0199,,18.5445,,,105.18,16.4084,121.5884,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-04,104.89,106.44,103.75,105.83,2093177,87.241,,,90.1338,84.7738,82.4007,81.0728,91.0178,5.7234,3.3594,2.3639,True,3.5572,87.25663753470496,,18.071888163927277,94.68,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,1.0199,0.4099,1808191.2,1616473.95,1.1576,1.2949,97.7285,96.1839,0.94,0.61,1.14,98.0227,,17.4143,,,106.44,15.6962,122.1362,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,106.89,107.9515,105.03,105.31,1484757,88.6195,,,91.5792,85.5791,82.8544,81.314,90.0,6.197,3.927,2.2701,False,3.562,87.9990807654231,,20.053098599782352,95.43575,,,,,105.2,107.98,109.43,112.21000000000001,103.75,100.97,99.52,110.07256,104.88372,100.69,96.49628,90.52556,0.939,0.429,1805965.2,1649480.95,0.8221,0.9001,90.4125,95.6693,1.58,1.0615,0.28,91.8375,,14.9934,,,107.9515,13.7308,121.6823,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
