Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,28.385,28.6,27.7801,28.47,12382841,,,,30.3276,31.1202,31.4687,31.6623,30.3695,-0.8325,-0.5345,-0.2979,True,1.3958,30.41255052760735,,20.470200505613956,29.54005,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,,,7931266.3,,1.5613,,10.763,,0.085,0.13,0.6049,,,-6.1252,,0.0,,-1.8576,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-23,28.09,28.88,27.07,27.17,9758442,,,,30.0269,30.9652,31.3836,31.6176,15.4556,-0.9775,-0.6231,-0.3544,False,1.3872,30.211486367074393,,15.447514494917769,29.02,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,,,8139480.0,,1.1989,,1.4045,5.2035,0.92,0.79,0.1,,,-9.5144,,-4.5662,,-2.8569,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,27.3,27.54,26.54,27.12,9148239,,,,29.75,30.8145,31.2992,31.5729,15.5814,-1.084,-0.7153,-0.3687,False,1.3422,30.006685124819292,,10.643166554913417,28.755,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,,,8519974.9,,1.0737,,7.8062,6.6579,0.18,0.24,0.58,,,-8.8405,,-4.7418,,-2.63,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,27.52,28.84,27.52,28.79,6928709,,,,29.6586,30.7351,31.2495,31.5452,33.7066,-1.0218,-0.7766,-0.2452,True,1.294,29.93037977193825,,16.559581373782873,28.755,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,,,8418151.8,,0.8231,,44.2043,17.805,1.27,0.05,0.0,,,-2.9287,,1.124,,-0.8686,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,29.175,29.51,28.4274,29.45,6556963,,,,29.6387,30.6847,31.2138,31.5243,43.2273,-0.9088,-0.803,-0.1058,True,1.2773,29.8962559581458,,22.368237103313287,28.689999999999998,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,,,8458057.9,,0.7752,,61.1345,37.715,0.275,0.06,0.7476,,,-0.6368,,3.4422,,-0.1887,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,28.452,29.38,28.29,29.35,4507541,29.9215,,,29.6112,30.6323,31.1769,31.5027,43.1257,-0.8179,-0.806,-0.0119,True,1.2909,29.870952164919412,,22.133075114123663,28.445,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,0.4142,0.2226,8352615.9,7923436.95,0.5397,0.5689,59.0336,54.7908,0.898,0.03,0.162,36.732,,-0.8822,,3.091,34.19,-0.2612,33.9288,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,29.44,29.543,28.54,29.21,5418394,29.7885,,,29.573,30.5766,31.138,31.4799,41.8903,-0.7485,-0.7945,0.046,True,1.2975,29.845385999795152,,22.019762737056503,28.0415,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,0.41,0.2157,8254409.7,7660788.15,0.6564,0.7073,60.2709,60.1463,0.23,0.103,0.67,34.902,,-1.2276,,2.5992,34.19,-0.363,33.827,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,29.7,29.76,27.92,28.23,12845153,29.542,,,29.4451,30.4845,31.0804,31.4475,40.8884,-0.7638,-0.7884,0.0246,False,1.3268,29.757534565744823,,21.53374067992786,28.15,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,0.2707,0.1937,8625180.8,7835907.2,1.4893,1.6393,38.149,52.4845,1.47,0.06,0.31,22.0915,,-4.1267,,-0.843,34.19,-1.2151,32.9749,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,28.06,29.735,27.9,29.54,9350742,29.367,,,29.4542,30.4475,31.0499,31.4286,46.9325,-0.6626,-0.7632,0.1006,True,1.375,29.722399441383228,,20.778681073218873,28.15,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,0.5369,0.1595,8871085.0,7838498.05,1.0541,1.1929,67.7201,55.38,1.48,0.195,0.16,39.2157,,0.2914,,3.7583,33.97,0.0858,34.0558,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,30.12,30.2,29.09,29.15,12631303,29.2395,,,29.4252,30.3966,31.0123,31.4059,44.7525,-0.6068,-0.7319,0.1251,True,1.3922,29.706991288505,,20.522818809163432,28.369999999999997,,,,,32.586666666666666,33.20333333333333,33.86666666666667,34.483333333333334,31.923333333333332,31.306666666666665,30.64333333333333,30.96198,29.54651,28.4025,27.258490000000002,25.62973,0.4784,0.1415,8952832.7,8101943.35,1.4109,1.559,60.6977,55.5222,0.97,0.08,0.06,34.1176,,-0.9352,,2.3885,31.63,-0.2752,31.3548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
