Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,33.37,33.37,31.8825,32.2,20322204,,,,34.3832,34.7164,34.8497,34.9225,37.9102,-0.418,-0.1472,-0.2708,False,1.4013,34.574756724749804,,35.68224451512924,34.48625,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,,,17579591.8,,1.156,,6.097,,1.17,0.0,0.3175,,,-6.3495,,,,-2.1832,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,31.74,32.24,31.4705,32.01,18714214,,,,34.1571,34.6102,34.7935,34.8935,35.1494,-0.5525,-0.2283,-0.3242,False,1.4144,34.39291497802115,,30.29981668610902,34.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,,,17886623.3,,1.0463,,9.6005,12.8145,0.27,0.23,0.2695,,,-6.2861,,,,-2.1471,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,32.45,32.45,31.575,31.79,12102706,,,,33.9317,34.4996,34.734,34.8626,39.2542,-0.6691,-0.3164,-0.3527,False,1.3616,34.28928741652308,,36.72208203713123,34.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,,,17800881.5,,0.6799,,5.6856,7.1277,0.66,0.0,0.215,,,-6.3118,,,,-2.1417,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,32.9,33.375,32.51,33.2,13238396,,,,33.862,34.4487,34.7036,34.846,44.8798,-0.6404,-0.3812,-0.2591,True,1.3752,34.23362735483303,,36.35966985419769,34.12025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,,,17056151.7,,0.7762,,30.7768,15.3543,0.3,0.175,0.39,,,-1.955,,,,-0.662,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,33.805,34.16,33.095,33.51,13816596,,,,33.8285,34.4119,34.68,34.8328,50.3766,-0.5858,-0.4221,-0.1637,True,1.3548,34.205208448973536,,42.178298211112896,33.4678,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,,,16681327.7,,0.8283,,36.2933,24.2519,0.295,0.355,0.415,,,-0.9415,,,,-0.3185,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,36.64,39.09,36.25,38.52,35567210,34.3005,,,34.2753,34.573,34.7561,34.8694,63.5546,-0.1367,-0.3651,0.2283,True,1.638,34.58686520871766,,34.885597045189904,35.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,1.1403,0.1921,18229034.3,17464690.65,1.9511,2.0365,92.5192,53.1964,1.88,0.57,0.39,92.5192,,12.3841,,,39.09,4.2447,43.3347,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,37.97,38.45,37.18,37.22,14346231,34.4115,,,34.5558,34.6768,34.8048,34.8928,56.5189,0.1129,-0.2695,0.3824,True,1.6494,34.706396135844805,,30.31339722242669,35.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,0.8973,0.2054,17896406.3,17331664.15,0.8016,0.8277,75.4577,68.0901,0.75,0.48,0.04,75.4577,,7.71,,,39.09,2.6642,41.7542,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,38.35,38.35,36.87,37.46,15257651,34.515,,,34.8323,34.7859,34.8574,34.9184,52.9707,0.3264,-0.1503,0.4767,True,1.6252,34.8213065521025,,26.371192109739294,35.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,0.8907,0.2184,17436788.3,17340368.75,0.875,0.8799,78.6075,82.1948,0.89,0.0,0.59,78.6075,,7.5437,,,39.09,2.6277,41.7177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,37.46,37.65,33.785,33.82,51687865,34.507,,,34.7359,34.748,34.8369,34.9074,42.5043,0.1996,-0.0803,0.2799,False,1.838,34.852960542859435,,19.4309830911585,35.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,0.409,0.2188,20634413.5,19072777.15,2.5049,2.71,30.8354,61.6335,3.64,0.19,0.035,30.8354,,-2.6368,,,39.09,-0.9159,38.1741,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-05,34.65,35.2275,34.02,34.5,26623693,34.5145,,,34.7135,34.7383,34.8302,34.9034,49.601,0.1522,-0.0338,0.186,False,1.78,34.837211389896204,,20.064527520505937,35.28025,,,,,34.89693333333333,35.83306666666666,36.37613333333333,37.31226666666666,34.35386666666666,33.41773333333333,32.87466666666666,37.291798,36.179351000000004,35.28025,34.381149,33.101073,0.4981,0.2187,22167676.6,19631671.25,1.201,1.3562,39.7598,49.7342,0.15,0.5775,0.48,39.7598,,-0.6149,,,39.09,-0.2135,38.8765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
