Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,67.24,67.57,65.56,65.89,4505851,,,,67.0861,67.6667,67.9675,68.1471,42.7219,-0.5103,-0.4125,-0.0978,False,2.4734,66.75060180447177,,23.103358650763845,66.2775,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,,,3831041.2,,1.1761,,43.7043,,1.35,0.33,0.33,,,-1.7829,,,,-1.1961,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,63.95,64.9,62.86,63.74,4751567,,,,66.7674,67.5127,67.8838,68.1033,38.9009,-0.713,-0.4726,-0.2404,False,2.5298,66.53980909852524,,19.764519863342457,66.1075,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,,,3847410.8,,1.235,,13.5489,42.8591,0.21,0.95,0.88,,,-4.5343,,,,-3.0274,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,64.19,64.6,62.97,63.41,2808630,,,,66.4476,67.3518,67.7952,68.0566,42.2717,-0.89,-0.5561,-0.3339,False,2.4448,66.42184856826933,,20.451690186110376,66.1075,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,,,3909563.3,,0.7184,,8.4681,21.9071,0.78,0.41,0.44,,,-4.5715,,,,-3.0376,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,63.83,64.76,62.5312,64.08,6875838,,,,66.2222,67.2235,67.7216,68.017,44.2308,-0.9651,-0.6379,-0.3272,True,2.4386,66.18202231683152,,17.574280626113026,65.2656,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,,,4318942.8,,1.592,,22.697,14.9047,0.25,0.68,1.2988,,,-3.2348,,,,-2.1422,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,59.505,64.92,56.67,63.91,12245701,,,,66.002,67.0935,67.6461,67.9761,40.5806,-1.0265,-0.7156,-0.3109,True,2.8179,65.57473503256975,,12.674014215174337,62.335,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,,,5207261.8,,2.3517,,57.0753,29.4135,4.405,1.01,2.835,,,-3.1695,,,,-2.092,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,61.4,62.0352,59.83,60.84,7344169,65.9835,,,65.5103,66.8483,67.5114,67.9051,32.6132,-1.3078,-0.8341,-0.4737,False,2.9845,65.21360724819623,,11.966646562700438,62.1525,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,-0.1217,0.1254,5500524.3,4751685.65,1.3352,1.5456,32.8735,37.5486,0.56,0.6352,1.01,32.8735,,-7.1292,,,69.355,-4.6703,64.6847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,61.05,62.55,60.485,62.22,3912749,65.677,,,65.197,66.6668,67.4066,67.8485,37.5304,-1.4032,-0.9479,-0.4553,True,3.0338,65.07670791622779,,11.772240116027195,62.1525,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,0.0984,0.1311,5367729.9,4655603.45,0.7289,0.8404,43.7525,44.5671,1.17,0.33,0.565,43.7525,,-4.5661,,,69.355,-2.977,66.378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,61.84,63.79,61.22,63.76,6862631,65.472,,,65.0601,66.5528,67.3344,67.8079,39.3009,-1.3391,-1.0262,-0.313,True,3.1213,64.93704302781236,,11.44196179300118,62.1525,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,0.2989,0.13,5575848.1,4805083.95,1.2308,1.4282,55.8928,44.1729,1.92,0.03,0.62,55.8928,,-1.9983,,,69.355,-1.3001,68.0549,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,64.3,64.755,63.48,64.07,6024853,65.373,,,64.9658,66.4554,67.2697,67.7707,38.9549,-1.2489,-1.0707,-0.1782,True,3.1224,64.89203862659434,,11.438035586016316,62.12,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,0.3482,0.1313,5867188.0,4870238.95,1.0269,1.2371,65.3133,54.9862,0.23,0.455,0.59,58.3366,,-1.3789,,0.0,69.355,-0.8958,68.4592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-05,64.21,68.379,63.8,66.99,7032155,65.4165,,,65.1586,66.4764,67.2642,67.7629,50.8692,-0.9311,-1.0428,0.1117,True,3.0552,64.98063876087599,,14.027606329255972,62.5245,,,,,64.16000000000001,64.85000000000002,65.56000000000002,66.25000000000003,63.45000000000002,62.760000000000005,62.05000000000001,65.61567600000001,63.906162,62.5245,61.142838000000005,59.175726000000004,0.6813,0.1327,6236414.4,5013349.05,1.1276,1.4027,88.1373,69.7811,2.78,1.389,0.41,81.3559,,2.8107,,4.5575,69.355,1.8314,71.1864,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
