Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,172.25,174.958,166.0,166.12,6938884,,,,162.3783,160.8803,160.1539,159.7242,54.8601,1.5549,0.7985,0.7564,False,9.5497,163.60760995606478,,4.487779775670849,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,,,7032718.3,,0.9867,,46.835,,6.13,2.708,0.12,,,2.3043,,,,3.7417,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-23,163.115,165.74,158.88,161.16,5590593,,,,162.2623,160.8913,160.1738,159.7385,46.8921,1.2573,0.8902,0.3671,False,9.0776,163.52496195586826,,3.9343312895793736,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,,,7116207.5,,0.7856,,29.6783,53.4953,1.955,2.625,2.28,,,-0.6793,,,,-1.1023,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,161.075,161.08,153.8,158.29,5361790,,,,161.884,160.7893,160.1365,159.7241,42.3311,0.781,0.8684,-0.0874,False,8.7769,163.26370370784736,,4.06912962944878,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,,,7038992.5,,0.7617,,19.751,32.0881,2.785,0.005,4.49,,,-2.2201,,,,-3.594,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,163.32,167.87,160.42,167.49,6829142,,,,162.4179,161.0521,160.2821,159.8014,52.7328,1.1328,0.9213,0.2115,True,8.8608,163.3719917061174,,4.836708684229832,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,,,7180100.0,,0.9511,,51.5738,33.6677,4.17,0.38,2.9,,,3.1229,,,,5.0721,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,162.48,168.17,158.58,167.9,5097447,,,,162.94,161.3206,160.433,159.882,56.1812,1.4282,1.0226,0.4055,True,9.0237,163.4308038300547,,4.749416811194061,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,,,6952508.5,,0.7332,,52.992,41.4389,5.42,0.27,3.9,,,3.0441,,,,4.96,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,161.18,164.78,159.31,163.58,7807626,162.924,,,163.001,161.4092,160.4953,159.9188,53.5458,1.2987,1.0779,0.2209,False,9.1887,163.3816330867811,,4.6641283443743635,167.03500000000003,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,0.5338,0.1193,6977057.8,6940037.5,1.119,1.125,38.0491,47.5383,2.4,1.2,1.87,49.1049,,0.3552,,,181.49,0.579,182.069,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,153.1,153.68,139.11,146.26,20831543,162.275,,,161.4066,160.8151,160.2134,159.7829,42.8171,-0.1991,0.8225,-1.0216,False,10.2551,161.15905524654733,,3.482587757728908,160.3,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,-0.1577,0.1501,8428312.1,7381998.45,2.4716,2.8219,16.8712,35.9708,6.84,0.58,7.15,16.8712,,-9.3841,,,181.49,-15.1466,166.3434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-03,144.145,152.43,141.03,146.5,9133022,161.326,,,159.9869,160.2537,159.9418,159.6507,43.8034,-1.3513,0.3877,-1.739,False,10.5565,160.37405343880462,,3.38314678661952,160.3,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,-0.0313,0.173,8693564.9,7353959.75,1.0505,1.2419,17.4375,24.1193,2.355,5.93,3.115,17.4375,,-8.43,,,181.49,-13.4869,168.0031,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-04,147.4,152.9,145.6,150.73,7275409,160.419,,,159.1053,159.8803,159.7594,159.5619,43.8674,-1.9011,-0.0701,-1.8311,False,10.7197,159.93470716156583,,3.3316364198501565,157.034,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,0.1599,0.1776,8851547.5,7393091.5,0.8219,0.9841,27.4186,20.5757,3.33,2.17,1.8,27.4186,,-5.264,,,181.49,-8.3753,173.1147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,150.8,153.99,147.61,149.89,6808835,159.738,,,158.2276,159.4885,159.564,159.4657,39.5587,-2.3772,-0.5315,-1.8457,False,10.5919,159.58325944244342,,3.3718533864197937,153.64,,,,,171.08,176.05,179.75,184.72,167.38000000000002,162.41000000000003,158.71000000000004,166.36188,161.15406000000002,156.945,152.73594,146.74338,0.1697,0.1867,8167429.1,7490062.45,0.8337,0.909,25.4365,23.4309,0.91,3.19,2.28,25.4365,,-5.2694,,,181.49,-8.3376,173.1524,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
