Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,169.47,169.57,162.21,163.0,12188485,,,,167.0125,165.2854,164.3788,163.8385,49.7632,1.4147,1.4015,0.0132,False,7.0369,167.4101123046311,,8.120467129871644,168.45,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,,,12370123.0,,0.9853,,34.4063,,6.47,0.1,0.79,,,-2.4025,,,,-4.0125,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,165.05,165.88,155.145,156.93,12772116,,,,166.0523,164.9577,164.2313,163.7697,41.1321,0.4346,1.2081,-0.7735,False,7.4315,166.878964660074,,6.728084466294701,165.28750000000002,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,,,12261474.1,,1.0416,,8.7996,38.2894,8.12,0.83,1.785,,,-5.4936,,,,-9.1223,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,160.38,164.45,159.55,163.66,10896374,,,,165.8244,164.9068,164.22,163.7686,48.2854,0.1986,1.0062,-0.8076,False,7.5864,166.64957393536477,,5.649206851358071,165.28750000000002,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,,,12518960.4,,0.8704,,41.9768,28.3943,3.28,0.79,0.83,,,-1.3052,,,,-2.1644,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,168.0,176.9488,167.14,173.6,17312519,,,,166.565,165.2478,164.4057,163.8665,53.1825,0.8043,0.9658,-0.1615,True,8.0549,167.1090964141652,,5.320639469922425,166.0469,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,,,12848144.6,,1.3475,,84.6412,45.1392,5.6,3.3488,0.86,,,4.2236,,,,7.035,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,176.905,184.54,176.905,181.5,17157414,,,,167.9873,165.8851,164.7442,164.0419,60.8022,1.9,1.1527,0.7473,True,8.4977,168.1010698449368,,5.883915392658892,169.8425,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,,,13213607.4,,1.2985,,89.6581,72.092,4.595,3.04,0.0,,,8.0439,,,,13.5127,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,180.99,182.5078,175.9,180.71,12182740,168.4695,,,169.199,166.4665,165.0604,164.2078,63.8437,2.6737,1.4569,1.2168,True,8.2483,168.66181717946446,,6.061855170156277,169.8425,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,1.0026,0.1446,13099701.2,12606304.65,0.93,0.9664,86.9706,87.09,0.28,1.5178,4.81,86.9706,,6.8032,,,184.54,11.511,196.051,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,177.695,184.45,177.0253,184.02,9686432,169.509,,,170.6105,167.1548,165.4358,164.4049,65.1626,3.5135,1.8682,1.6453,True,8.5015,169.14907354793354,,5.881320003461581,169.8425,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,1.0279,0.1621,12863189.0,12382394.05,0.753,0.7823,98.231,91.6199,6.325,0.43,0.6697,98.231,,7.8597,,,184.54,13.4095,197.9495,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,188.99,193.7,185.9,185.95,12893582,170.501,,,172.0714,167.8919,165.842,164.6193,61.8237,4.2854,2.3516,1.9337,True,8.5186,170.05810921789416,,5.869484466409364,174.4225,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,0.9995,0.1814,13134016.9,12502413.2,0.9817,1.0313,79.8988,88.3668,3.04,4.71,0.05,79.8988,,8.0656,,,193.7,13.8786,207.5786,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,183.09,191.285,183.0,190.99,9319612,171.768,,,173.8732,168.7977,166.34,164.8817,68.3996,5.2433,2.93,2.3133,True,8.4047,170.6607739918388,,5.9490472600813025,174.4225,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,1.0408,0.2069,12723618.7,12438617.35,0.7325,0.7492,92.9711,90.367,7.9,0.295,0.09,92.9711,,9.8444,,,193.7,17.1168,210.8168,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,193.28,194.94,190.425,192.98,9562564,172.941,,,175.6929,169.746,166.8675,165.1613,69.9539,6.0928,3.5625,2.5303,True,8.2815,171.38128112440776,,6.03755879072873,175.04250000000002,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,0.9987,0.2324,12397183.8,12263848.25,0.7713,0.7797,95.0748,89.3149,0.3,1.66,2.555,95.0748,,9.8394,,,194.94,17.2871,212.2271,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,,,,,,,,
2026-08-06,183.44,187.02,183.0,186.77,13288354,173.9505,,,176.7479,170.4136,167.2617,165.3763,60.7344,6.1936,4.0887,2.1048,False,8.4472,171.9968349090773,,5.0735281060773305,177.245,,,,,205.43650000000002,207.87300000000005,210.31600000000003,212.75250000000005,202.99350000000004,200.55700000000002,198.11400000000003,195.48802,187.77849,181.5475,175.31651,166.44527,0.8087,0.2387,12507170.7,12438646.85,1.0625,1.0683,79.4698,89.1719,3.33,0.25,0.44,79.4698,,5.6703,,,194.94,10.0221,204.9621,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
