Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,135.785,136.84,134.3,136.2,504370,,,,130.7059,127.4628,125.9588,125.1034,69.6504,3.1972,2.3173,0.8798,False,4.7302,129.66262785156442,,13.590567542100555,133.785,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,,,900562.4,,0.5601,,79.5938,,0.415,0.64,1.485,,,4.2034,,,,5.4941,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-23,135.37,136.0,131.48,132.47,639739,,,,130.8739,127.6592,126.0877,125.1767,60.8185,2.9305,2.44,0.4905,False,4.6748,129.8201598784741,,12.223556627154016,133.795,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,,,863068.3,,0.7412,,61.5571,72.0986,2.9,0.63,0.99,,,1.2195,,,,1.5961,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,132.21,137.68,131.69,134.72,794746,,,,131.2402,127.9361,126.2586,125.2716,62.7787,2.8676,2.5255,0.3421,False,4.7345,130.06805716378366,,13.578265120152555,133.795,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,,,792205.8,,1.0032,,72.4371,71.196,2.51,2.96,0.52,,,2.6514,,,,3.4798,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,135.33,135.8,132.99,134.54,1204360,,,,131.5545,128.195,126.4226,125.3639,64.7215,2.7713,2.5747,0.1967,False,4.6316,130.38100097155726,,12.337606257633885,135.8,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,,,835142.7,,1.4421,,71.5667,68.5203,0.79,0.47,1.55,,,2.2694,,,,2.9855,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,135.17,137.97,134.21,135.94,976209,,,,131.9722,128.4988,126.6111,125.4691,70.3191,2.776,2.6149,0.1611,False,4.5566,130.69110772691008,,14.10826368031301,135.95,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,,,852944.1,,1.1445,,76.1194,73.3744,0.77,2.03,0.96,,,3.0066,,,,3.9678,,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,124.8,127.015,113.0,123.66,3007032,131.0685,,,131.1805,128.309,126.5527,125.4511,45.7486,1.7684,2.4456,-0.6772,False,5.7445,129.32401208957515,,9.947477319751707,126.71,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.145,0.1592,1034649.7,1041071.6,2.9063,2.8884,38.8767,62.1876,1.14,2.215,10.66,38.8767,,-5.733,,,140.42,-7.5205,132.8995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,
2026-07-31,122.13,129.09,120.0,128.01,1673975,131.2605,,,130.8786,128.2973,126.5815,125.4766,43.9636,1.3058,2.2177,-0.9118,False,5.9295,129.05433456661916,,9.637114455189822,125.79,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.338,0.1529,1087770.3,1057912.1,1.5389,1.5823,54.7411,56.5791,5.88,1.08,2.13,54.7411,,-2.1918,,,140.42,-2.8686,137.5514,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,132.41,136.39,131.11,134.89,1053422,131.741,,,131.2606,128.5558,126.746,125.5702,55.0261,1.4774,2.0696,-0.5922,True,6.2016,129.28138694498426,,9.21421200058971,125.485,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.6616,0.1479,1127893.0,1064529.6,0.934,0.9896,79.8322,57.8167,2.48,1.5,1.3,79.8322,,2.765,,,140.42,3.6294,144.0494,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,133.87,141.28,132.755,141.19,1063049,132.5115,,,132.2063,129.0513,127.0321,125.7257,60.0886,2.0975,2.0752,0.0223,True,6.4727,129.67560274725616,,9.931867389706612,127.14,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.926,0.1537,1149779.6,1074220.25,0.9246,0.9896,99.6818,78.085,7.32,0.09,1.115,99.6818,,6.7952,,,141.28,8.9837,150.2637,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,139.86,140.78,135.325,137.32,1087749,133.15,,,132.6933,129.3755,127.2358,125.841,53.8477,2.2507,2.1103,0.1404,True,6.583,130.0198244576442,,8.680329505308022,127.14,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.7156,0.1453,1200465.1,1079540.45,0.9061,1.0076,85.9972,88.5037,2.54,0.92,1.995,85.9972,,3.4868,,,141.28,4.6267,145.9067,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,136.77,138.6199,133.775,134.18,744315,133.737,,,132.8349,129.5639,127.3733,125.924,45.1666,2.0947,2.1072,-0.0125,False,6.5182,130.17477714674436,,7.670829370071493,127.14,,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.5268,0.1235,1224459.6,1062511.0,0.6079,0.7005,74.8939,86.8576,2.59,1.8499,0.405,74.8939,,1.0126,,,141.28,1.3451,142.6251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,134.2,139.11,133.0163,136.62,779697,134.2115,,,133.1954,129.8407,127.5564,126.0304,49.4858,2.1432,2.1144,0.0288,True,6.6806,130.34873887929285,,6.41515687731547,127.14,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.6558,0.1152,1238455.4,1050761.85,0.6296,0.742,83.5219,81.471,2.42,2.49,1.1837,83.5219,,2.5711,,,141.28,3.4246,144.7046,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-10,139.61,140.1,135.15,138.19,1106554,134.482,,,133.671,130.1681,127.767,126.1514,52.8329,2.282,2.1479,0.1341,True,6.6406,130.64029978929076,,7.529423913020096,127.14,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.7347,0.1175,1269636.2,1030921.0,0.8716,1.0734,89.0736,82.4965,1.42,0.49,3.04,89.0736,,3.3806,,,141.28,4.519,145.799,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-11,135.85,137.46,131.48,131.71,1014634,134.5445,,,133.4843,130.2285,127.845,126.2067,46.8005,1.8478,2.0879,-0.2401,False,6.9442,130.7409063038084,22.015662338091893,7.200268261423225,127.14,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.3179,0.1157,1250663.6,1042903.15,0.8113,0.9729,66.1598,79.5851,4.14,1.61,0.23,66.1598,,-1.3292,,,141.28,-1.7743,139.5057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-12,130.99,132.99,128.88,130.61,757477,134.5165,,,133.2105,130.2435,127.8998,126.2505,45.0063,1.3988,1.9501,-0.5512,False,7.0563,130.7430643280705,21.19751249289044,6.073575291076094,130.64,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.2508,0.1165,1228790.4,1040867.25,0.6164,0.7277,62.2702,72.5012,0.38,2.0,1.73,62.2702,,-1.9522,,,141.28,-2.6005,138.6795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-13,131.4,132.8,130.99,132.56,767865,134.476,,,133.1486,130.3343,127.9921,126.3133,50.083,1.1867,1.7974,-0.6107,False,6.8756,130.7772313311642,21.068504679504798,6.233209292468411,135.07999999999998,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.3783,0.1171,1004873.7,1019761.7,0.7641,0.753,69.1655,65.8652,1.16,0.24,0.41,69.1655,,-0.4421,,,141.28,-0.5886,140.6914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-14,131.63,133.6247,130.24,131.72,756533,134.1165,,,133.0125,130.3887,128.0659,126.3671,47.158,0.9399,1.6259,-0.686,False,6.6895,130.80316939654872,20.856105467059546,6.406608202807588,135.07999999999998,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.3438,0.1144,913129.5,1000449.9,0.8285,0.7562,66.1952,65.8769,0.09,1.9047,1.39,66.1952,,-0.9717,,,141.28,-1.2925,139.9875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-17,131.08,131.24,128.06,129.97,1064878,133.7585,,,132.7228,130.3723,128.1036,126.403,45.7958,0.5963,1.42,-0.8237,False,6.7502,130.76908117768653,21.12359576216502,6.348984638631666,134.42000000000002,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.2555,0.1159,914275.1,1021084.05,1.1647,1.0429,60.0071,65.1226,1.11,0.16,1.91,60.0071,,-2.0741,,,141.28,-2.7528,138.5272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-18,130.59,132.48,128.52,128.66,746264,133.422,,,132.3358,130.3051,128.1146,126.4254,43.2916,0.2158,1.1791,-0.9634,False,6.7645,130.74938749819415,20.017759091577652,6.335576479383507,134.07999999999998,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.2035,0.1204,882596.6,1016188.1,0.8455,0.7344,55.3748,60.5257,1.93,1.89,0.14,55.3748,,-2.7777,,,141.28,-3.6758,137.6042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-19,128.86,130.19,124.78,125.73,1102137,132.9445,,,131.7067,130.1257,128.0674,126.4185,52.3046,-0.3185,0.8796,-1.1981,False,5.5124,130.62655730934438,19.128431852201278,7.77470964698931,132.44,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.0841,0.1305,884035.4,1042250.25,1.2467,1.0575,26.9267,47.4362,3.13,1.33,0.95,45.0141,,-4.5379,,,141.28,-5.9767,135.3033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-20,124.175,124.175,121.72,123.09,1070354,132.289,,,130.8861,129.8498,127.9688,126.3854,44.3056,-0.9441,0.5149,-1.459,False,5.1495,130.39717255651107,17.446530213054572,6.93545724776089,130.91,127.14,,,,122.995,124.27000000000001,125.45,126.72500000000001,121.81500000000001,120.54,119.36000000000001,134.60592,130.47704,127.14,123.80296,119.05192,0.0195,0.1447,916639.3,1070549.45,1.1677,0.9998,7.0041,29.7685,1.085,0.0,1.37,35.6789,,-5.9564,,,141.28,-7.7961,133.4839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
