Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,110.23,110.68,107.87,108.08,9534931,,,,106.1074,105.3537,105.0822,104.9456,59.274,0.9525,0.4456,0.507,False,2.6908,105.96745616290846,,23.890739683845883,106.54,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,,,8807855.7,,1.0825,,70.7865,,2.15,0.45,0.21,,,1.859,,,,1.9726,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,107.27,107.5499,106.0,106.89,5823295,,,,106.182,105.414,105.118,104.965,55.7928,0.8904,0.5345,0.3559,False,2.6958,106.00770563214017,,21.196825775340148,107.12,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,,,8542767.7,,0.6817,,57.4157,75.992,0.38,0.2799,0.89,,,0.6668,,,,0.708,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,107.65,108.39,106.91,107.74,5369993,,,,106.3304,105.5052,105.1699,104.9926,66.706,0.8994,0.6075,0.2919,False,2.5458,106.07800261714486,,25.251462480535338,107.12,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,,,8144141.2,,0.6594,,64.7334,64.3119,0.09,0.65,0.74,,,1.3257,,,,1.4096,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-27,107.41,107.88,105.36,107.07,7857442,,,,106.4008,105.5665,105.2075,105.0133,58.9193,0.8427,0.6545,0.1882,False,2.5515,106.11809968599609,,25.194910628053144,107.12,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,,,8203450.2,,0.9578,,56.6965,59.6152,0.34,0.47,1.71,,,0.6289,,,,0.6692,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,107.97,109.59,107.08,109.34,6681660,,,,106.6807,105.7145,105.2894,105.0563,63.9222,0.9698,0.7176,0.2522,True,2.593,106.23793545298892,,24.792363951902814,108.02000000000001,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,,,7732054.4,,0.8642,,83.9261,68.452,1.37,0.25,0.89,,,2.4927,,,,2.6593,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,105.0,105.48,103.01,105.22,7738050,106.094,,,106.5416,105.6951,105.288,105.0579,56.0401,0.7296,0.72,0.0096,False,2.8446,106.15190535645807,,22.598870056497173,106.845,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,0.3962,0.0794,7811923.4,7501193.45,0.9905,1.0316,34.058,58.2268,0.22,0.26,1.99,38.6517,,-1.2405,,,110.68,-1.3216,109.3584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,105.49,105.77,104.31,104.43,7079255,106.075,,,106.3405,105.6455,105.271,105.0517,50.7216,0.4702,0.67,-0.1999,False,2.7304,106.09263912524742,,23.544800523217784,106.845,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,0.306,0.0799,7317397.5,7479736.2,0.9675,0.9465,18.5137,45.4993,1.06,0.28,0.12,29.7753,,-1.7966,,,110.68,-1.9105,108.7695,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,105.36,105.69,104.25,105.37,5376794,106.1075,,,106.2481,105.6347,105.273,105.0549,48.5745,0.3365,0.6033,-0.2668,False,2.6729,106.05990096590068,,21.37894174238374,106.845,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,0.4123,0.0793,7194366.9,7472438.0,0.7474,0.7196,30.7692,27.7803,0.01,0.32,1.11,40.3371,,-0.8264,,,110.68,-0.8781,109.8019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-04,105.0,105.0,103.27,104.42,7224073,106.2245,,,106.074,105.5871,105.2561,105.0485,45.4309,0.1521,0.5131,-0.3609,False,2.6921,105.98200451760539,,18.572565667285748,106.845,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,0.2655,0.0725,7253982.8,7548147.55,0.9959,0.9571,18.3833,22.5554,0.58,0.0,1.15,29.6629,,-1.5593,,,110.68,-1.654,109.026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,93.72,100.55,93.5,99.12,18513250,105.964,,,105.4117,105.3335,105.1346,104.9895,36.0231,-0.4168,0.3271,-0.7439,False,3.1593,105.16967274879455,,15.82636219760343,101.545,,,,,93.70666666666666,94.20333333333333,94.75666666666667,95.25333333333334,93.15333333333332,92.65666666666665,92.10333333333331,105.67712,103.25644,101.30000000000001,99.34356000000001,96.55812,-0.1928,0.0932,8119874.3,8225446.2,2.28,2.2507,32.7125,27.2883,5.4,1.43,0.22,32.7125,,-5.9687,,,110.68,-6.2917,104.3883,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
