Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,589.9,609.37,589.9,607.33,990148,,,,603.645,614.4807,620.2653,623.7264,41.5445,-8.6349,-8.5999,-0.035,True,18.4676,602.927798517186,,2.320668414387833,595.685,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,,,937717.2,,1.0559,,49.3764,,17.43,2.04,0.0,,,0.6105,,3.4845,,3.685,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,610.0,615.95,606.74,610.02,1695257,,,,604.2521,614.3057,620.0624,623.59,45.1663,-7.057,-8.2913,1.2343,True,17.4204,603.6997703182351,,2.4601637977056483,596.2,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,,,1023142.0,,1.6569,,54.8082,40.2873,0.02,5.93,3.26,,,0.9545,,3.9429,,5.7679,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,,,,,,,,
2026-07-24,612.21,629.34,611.285,628.16,960353,,,,606.5291,614.8491,620.2228,623.6355,47.0632,-4.2933,-7.4917,3.1984,True,17.3704,604.6993107262947,,2.8784528069438124,602.895,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,,,1040960.0,,0.9226,,88.4075,64.1974,15.95,1.18,0.925,,,3.5663,,7.0338,,21.6309,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,627.71,628.03,612.38,625.02,876498,,,,608.2901,615.2479,620.3178,623.6493,61.6295,-2.3295,-6.4593,4.1297,True,15.4447,605.47432660397,,3.2373505153399513,602.895,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,,,1028980.0,,0.8518,,91.8321,78.3493,2.69,0.32,12.64,,,2.7503,,6.4988,,16.7299,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,630.22,643.99,628.0,639.84,1360025,,,,611.2949,616.2123,620.7043,623.8104,71.55,0.4178,-5.0839,5.5016,True,15.8826,607.562661978086,,3.5978308677698188,612.005,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,,,1069884.6,,1.2712,,93.8555,91.365,9.62,4.15,2.22,,,4.6696,,9.024,,28.5451,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,600.67,604.77,590.06,599.47,1368788,605.135,,,610.1687,615.5557,620.2839,623.5682,52.4061,-0.6549,-4.1981,3.5432,False,18.3933,606.9760509138854,,2.7183811496577532,612.005,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,0.4221,0.1201,1105394.1,1104000.5,1.2383,1.2398,34.0835,73.257,1.2,4.1,9.41,34.0835,,-1.7534,,2.1452,643.99,-10.6987,633.2913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,
2026-07-31,600.06,602.99,590.6308,592.67,1123900,603.387,,,608.5021,614.6583,619.7371,623.2607,52.116,-2.0304,-3.7645,1.7342,False,18.3647,606.4168215893686,,2.7226114043968597,612.005,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,0.3475,0.1165,1137001.0,1078344.7,0.9885,1.0422,24.0154,50.6515,7.39,2.93,2.0392,24.0154,,-2.6018,,0.9866,643.99,-15.8321,628.1579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,602.91,616.23,600.55,605.06,1053175,602.5765,,,608.1743,614.2819,619.4464,623.0796,56.5405,-2.0964,-3.4309,1.3345,False,19.6319,606.4542983893475,,2.910719853765432,612.005,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,0.5364,0.1133,1148474.8,1066555.35,0.917,0.9875,42.3601,33.4863,2.15,11.17,2.36,42.3601,,-0.5121,,3.0977,643.99,-3.1143,640.8757,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-04,610.66,622.0,597.23,617.37,966320,601.683,,,609.0501,614.403,619.4053,623.0228,60.3335,-1.1423,-2.9732,1.8309,True,19.874,606.6744188045097,,2.875254909318052,616.9449999999999,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,0.7502,0.1042,1134514.3,1060784.45,0.8517,0.9109,60.5863,42.3206,6.71,4.63,13.43,60.5863,,1.366,,5.1953,643.99,8.3199,652.3099,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,619.0,624.73,611.62,612.0,814687,602.1025,,,609.331,614.3087,619.2587,622.9131,57.0454,-0.8102,-2.5406,1.7304,False,19.8299,606.9698504584143,,3.241850707732028,617.025,,,,,615.4716666666667,644.4683333333334,667.9966666666667,696.9933333333333,591.9433333333334,562.9466666666667,539.4183333333334,628.72552,619.28224,611.65,604.01776,593.15152,0.6562,0.1052,1120915.1,1029861.35,0.7268,0.7911,49.9922,50.9795,7.0,5.73,0.38,52.6355,,0.438,,4.2803,643.99,2.669,646.659,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
