Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,103.8,104.49,101.24,102.47,1925349,,,,104.0166,102.4741,101.5568,100.9874,54.1928,0.9987,1.3128,-0.3141,False,3.6254,105.10091904929975,,13.791744655698931,106.00999999999999,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,,,1843387.9,,1.0445,,20.326,,1.33,0.69,1.23,,,-1.4869,,,,-1.5466,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,100.8,102.254,94.72,96.23,4733492,,,,103.2751,102.2293,101.4513,100.9401,34.562,0.258,1.1018,-0.8438,False,3.7596,104.05056349272478,,11.399259048161857,102.75,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,,,2196417.7,,2.1551,,9.4022,21.515,4.57,1.454,1.51,,,-6.8216,,,,-7.0451,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-24,94.005,97.11,91.8,96.04,5138291,,,,102.586,101.9866,101.3442,100.8914,31.9053,-0.3403,0.8134,-1.1537,False,3.8471,102.83521570112306,,11.139992573338276,101.05,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,,,2534706.7,,2.0272,,22.3393,17.3558,2.035,1.07,2.205,,,-6.381,,,,-6.546,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,98.69,100.0,97.7,97.73,3053417,,,,102.1235,101.8196,101.2726,100.8599,35.0305,-0.6704,0.5166,-1.187,False,3.9629,102.51366330717272,,10.814708002883915,101.05,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,,,2626068.8,,1.1627,,31.2434,20.995,0.96,1.31,0.03,,,-4.3022,,,,-4.3935,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,99.13,104.24,99.13,103.92,3095259,,,,102.2946,101.902,101.325,100.8903,52.8127,-0.4276,0.3278,-0.7554,True,4.0186,102.50784182344843,,12.442232492001418,101.05,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,,,2745355.4,,1.1275,,63.8567,39.1465,4.79,0.32,0.0,,,1.5889,,,,1.6254,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,101.73,102.165,98.02,99.69,2131170,103.456,,,102.0466,101.8153,101.2926,100.8784,42.9497,-0.5699,0.1483,-0.7182,True,4.2114,102.39128102076101,,10.176390773405695,101.05,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,0.2483,0.1446,2791225.6,2330730.35,0.7635,0.9144,41.5701,45.5567,2.04,0.435,1.67,41.5701,,-2.3093,,,110.78,-2.3566,108.4234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,98.75,99.73,96.815,96.88,2324182,103.2835,,,101.5545,101.6217,101.2053,100.8386,36.3989,-0.8991,-0.0612,-0.8379,False,4.2125,102.17362944540102,,8.478168715557437,99.09625,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,0.0963,0.1536,2863929.9,2346001.5,0.8115,0.9907,26.765,44.0639,1.87,0.98,0.065,26.765,,-4.603,,,110.78,-4.6745,106.1055,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,99.43,101.15,97.89,99.5,2186230,103.024,,,101.3588,101.5385,101.1715,100.8253,37.9009,-0.9377,-0.2365,-0.7012,True,4.1754,102.05986872153537,,8.55358823026259,98.28,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,0.2818,0.1568,2910790.4,2314540.1,0.7511,0.9446,41.6216,36.6522,0.07,1.65,1.54,40.569,,-1.8339,,0.0,110.78,-1.8588,108.9212,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-04,99.82,101.16,99.49,99.87,2214408,102.734,,,101.217,101.4731,101.1457,100.8158,39.9462,-0.9278,-0.3748,-0.553,True,4.1046,101.98154843781883,,10.441138084051156,98.145,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,0.323,0.1575,2914003.0,2321119.75,0.7599,0.954,43.6216,37.3361,0.05,1.29,0.33,42.5184,,-1.3308,,0.0,110.78,-1.347,109.433,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-05,100.52,101.6699,99.1299,99.31,1425695,102.3955,,,101.0354,101.3883,101.1094,100.8008,39.3698,-0.9541,-0.4907,-0.4635,True,4.1161,101.93091578766138,,12.14750542299349,98.02,,,,,89.18333333333334,90.23666666666668,91.61333333333334,92.66666666666669,87.80666666666667,86.75333333333333,85.37666666666667,100.43804,98.08597999999999,96.185,94.28402,91.57754,0.3088,0.1576,2822749.3,2313325.95,0.5051,0.6163,40.5946,41.9459,1.21,1.1499,0.1801,39.568,,-1.7077,,-0.5607,110.78,-1.7254,109.0546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
