Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,97.12,97.3,95.645,95.87,9117616,,,,96.5672,96.2298,96.0127,95.8738,50.5,0.1923,0.2847,-0.0924,False,2.0639,97.0063518152191,,20.764838207302283,97.4875,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,,,9597433.0,,0.95,,21.5202,,1.25,0.18,0.225,,,-0.722,,,,-0.6972,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,94.81,94.82,92.49,92.83,13499123,,,,96.2113,96.0964,95.9497,95.8435,28.1311,-0.1283,0.2021,-0.3304,False,2.0336,96.70267772279492,,17.5623463294696,96.16749999999999,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,,,9802533.1,,1.3771,,4.6227,17.6646,1.98,0.01,0.34,,,-3.5145,,,,-3.3813,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,93.26,96.29,93.0,94.85,12151746,,,,96.0817,96.0476,95.9279,95.8336,41.5679,-0.2169,0.1183,-0.3352,False,2.1032,96.56322791626827,,20.3769740193581,96.16749999999999,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,,,9949819.2,,1.2213,,32.087,19.41,1.59,1.44,0.26,,,-1.2819,,,,-1.2317,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,95.514,97.19,95.514,96.65,10594009,,,,96.1358,96.0712,95.9422,95.8418,47.5458,-0.1403,0.0666,-0.2069,True,2.1193,96.5567835939425,,23.592854735422954,96.16749999999999,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,,,10078802.8,,1.0511,,56.5602,31.09,1.136,0.54,0.0,,,0.5349,,,,0.5142,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,97.0,99.23,96.97,98.89,11389371,,,,96.3981,96.1817,96.0006,95.8721,55.9608,0.1001,0.0733,0.0268,True,2.2311,96.66211723089543,,25.612293901072476,96.16749999999999,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,,,10452851.6,,1.0896,,87.0156,58.5543,1.89,0.34,0.03,,,2.585,,,,2.4919,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,97.405,97.48,94.46,96.16,21102217,96.6395,,,96.3754,96.1809,96.0037,95.875,49.9757,0.0695,0.0725,-0.0031,False,2.4104,96.60081231744655,,23.707215883834607,96.14,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.424,0.0653,11541301.8,10821917.45,1.8284,1.95,49.898,64.4913,1.245,0.075,1.7,49.898,,-0.2235,,,99.845,-0.2154,99.6296,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,96.075,96.59,95.6,96.19,11181541,96.6635,,,96.3578,96.1812,96.0074,95.8781,51.4214,0.0471,0.0674,-0.0204,False,2.3718,96.57752050830734,,21.08116247553076,95.86,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.4244,0.0648,11912679.9,10801473.7,0.9386,1.0352,50.3059,62.4065,0.115,0.4,0.475,50.3059,,-0.1741,,,99.845,-0.1678,99.6772,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-03,97.62,99.05,97.21,98.14,11468137,96.5955,,,96.5275,96.258,96.0497,95.9006,54.9491,0.1846,0.0909,0.0937,True,2.4389,96.6521468910988,,20.5008053887831,95.86,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.764,0.0606,12010345.6,10809476.95,0.9549,1.0609,76.8185,59.0075,0.52,0.91,0.41,76.8185,,1.6705,,,99.845,1.6125,101.4575,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,97.87,98.57,97.38,98.18,16769483,96.634,,,96.6849,96.3334,96.0918,95.9233,55.3646,0.2934,0.1314,0.162,True,2.4129,96.74332841394283,,20.722320899940765,95.86,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.7586,0.0619,12701460.0,11139357.4,1.3203,1.5054,77.3623,68.1622,0.31,0.39,0.49,77.3623,,1.5464,,,99.845,1.4951,101.3401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,101.99,103.21,99.685,101.76,20796783,96.848,,,97.1682,96.5462,96.2041,95.9814,59.6727,0.6608,0.2373,0.4236,True,2.6271,97.10478301545338,,19.03208265361608,97.85,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,1.1535,0.0776,13807002.6,11682378.1,1.5062,1.7802,86.4739,80.2182,0.23,1.22,2.075,86.4739,,4.7256,,,103.21,4.5918,107.8018,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,102.54,104.73,102.515,104.68,14041457,97.247,,,97.8836,96.8652,96.3719,96.0679,60.2728,1.1742,0.4246,0.7495,True,2.6468,97.43663463822111,,18.890837943597337,98.86500000000001,,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,1.2238,0.1056,14299386.7,11948409.85,0.982,1.1752,99.5915,87.8092,2.14,0.05,0.025,99.5915,,6.9433,,,104.73,6.7964,111.5264,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-07,104.42,105.25,103.7,104.91,10927734,97.684,,,98.5528,97.1807,96.541,96.1559,66.1752,1.5813,0.656,0.9253,True,2.5618,97.69688594510653,,22.305869231841612,99.85499999999999,98.87,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,1.0886,0.1257,14042247.8,11922390.45,0.7782,0.9166,97.3354,94.4669,0.49,0.34,0.72,97.3354,,6.4505,,,105.25,6.3572,111.6072,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-10,104.61,104.8,102.8018,103.18,8619856,98.062,,,98.9935,97.4159,96.6725,96.2258,64.814,1.7443,0.8736,0.8706,False,2.542,97.86073055595843,,22.479361136556488,99.85499999999999,98.87,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.8924,0.133,13689058.8,11819439.0,0.6297,0.7293,83.7774,93.5681,1.43,0.19,0.3782,83.7774,,4.2291,,,105.25,4.1865,109.4365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-11,102.95,104.085,102.79,103.53,6780641,98.4385,,,99.4255,97.6557,96.8083,96.2985,66.1143,1.88,1.0749,0.8051,False,2.5599,97.98066830068059,20.103564463570503,22.322549681624633,99.85499999999999,98.87,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.87,0.1398,13307722.0,11693262.4,0.5095,0.5799,86.5204,89.2111,0.58,0.555,0.16,86.5204,,4.1282,,,105.25,4.1045,109.3545,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-12,103.29,103.68,102.025,103.22,6712912,98.806,,,99.7869,97.8739,96.9352,96.3673,65.9991,1.9401,1.2479,0.6922,False,2.5599,98.08422927850323,20.920026219848268,19.532230971421555,100.425,98.87,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.8115,0.1434,12840076.1,11646463.85,0.5228,0.5764,84.0909,84.7962,0.07,0.39,1.195,84.0909,,3.4404,,,105.25,3.4331,108.6831,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-13,103.8,104.94,103.46,104.8,7098434,99.1885,,,100.2644,98.1455,97.091,96.4512,77.8243,2.0912,1.4166,0.6746,False,2.4413,98.21974105117941,23.16888142127476,23.406732946732134,101.22999999999999,98.87,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.873,0.1517,11439697.8,11490499.8,0.6205,0.6178,96.3265,88.9793,1.0,0.14,0.34,96.4734,,4.5237,,,105.25,4.5356,109.7856,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-14,104.99,107.11,104.91,106.85,8172355,99.5455,,,100.8916,98.4869,97.2842,96.5547,77.8552,2.3493,1.6031,0.7462,True,2.3592,98.41428832716619,26.49363406508325,24.221725676845857,102.245,99.8,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.9418,0.1661,11138779.2,11525729.55,0.7337,0.7091,97.9447,92.7874,1.86,0.26,0.08,98.2216,,5.9058,,,107.11,5.9584,113.0684,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-17,106.33,106.6375,103.46,103.5,7631113,99.837,,,101.14,98.6835,97.4073,96.6238,64.8333,2.2575,1.734,0.5235,False,2.4342,98.54897828485922,29.416468175326674,20.540991014783657,103.39750000000001,99.8,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.7181,0.1682,10755076.8,11382711.2,0.7095,0.6704,71.4625,88.5779,2.83,0.3075,0.04,75.3078,,2.3334,,,107.11,2.36,109.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-18,104.19,105.21,103.625,103.95,6145953,100.214,,,101.4076,98.89,97.5369,96.6967,61.8779,2.1957,1.8263,0.3694,False,2.372,98.64850048500331,31.32658052667282,18.067826621135758,104.5675,99.8,,,,107.47666666666667,108.53333333333335,109.74666666666667,110.80333333333334,106.26333333333335,105.20666666666668,103.99333333333335,104.8668,102.5016,100.59,98.6784,95.95679999999999,0.7217,0.1682,9692723.8,11197091.9,0.6341,0.5489,75.0198,81.4756,0.24,1.02,0.325,78.3858,,2.5071,,,107.11,2.5424,109.6524,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
