Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,50.51,50.57,47.29,47.89,2948838,,,,49.0326,47.6035,46.8926,46.4786,56.5157,1.251,1.1435,0.1076,False,2.2499,49.21635816684422,,25.39771230106448,50.828,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,,,3071789.3,,0.96,,32.0658,,2.62,0.06,0.6,,,-2.3303,,,,-1.1426,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-23,48.4,48.8,46.57,47.04,2411062,,,,48.8429,47.5814,46.8955,46.4842,54.2475,0.9352,1.1018,-0.1666,False,2.3335,49.13004552257034,,21.427106514146484,50.535,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,,,3011883.7,,0.8005,,23.3299,38.9174,1.36,0.4,0.47,,,-3.6911,,,,-1.8029,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,48.04,50.515,48.04,50.44,2539966,,,,48.995,47.6935,46.9657,46.5235,60.2787,0.9484,1.0711,-0.1228,True,2.4239,49.15652041176037,,23.575244814182863,50.535,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,,,2951887.7,,0.8605,,54.8884,36.7614,2.4,0.075,0.0,,,2.9494,,,,1.445,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,51.75,54.3,51.2201,52.91,3106563,,,,49.3678,47.8981,47.0834,46.5871,64.6694,1.1449,1.0859,0.059,True,2.5506,49.36504503152288,,22.40337842946716,50.535,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,,,2991795.1,,1.0384,,82.3331,53.5171,1.16,1.39,0.5299,,,7.1751,,,,3.5422,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,53.59,56.2,53.59,55.97,3664824,,,,49.9966,48.2146,47.2594,46.6804,69.5225,1.5299,1.1747,0.3552,True,2.6606,49.736502676443195,,24.161787327947938,51.385000000000005,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,,,3120032.8,,1.1746,,97.8504,78.3573,2.38,0.23,0.0,,,11.9476,,,,5.9734,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,56.13,56.79,52.875,54.29,4661752,49.9595,,,50.4055,48.4529,47.3986,46.7561,62.2616,1.6802,1.2758,0.4044,True,2.6939,50.101619758644354,,21.212281911226594,51.68,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,0.8692,0.2348,3231831.4,3137798.35,1.4424,1.4857,75.5382,85.2406,1.84,0.66,1.415,79.2013,,7.7065,,,56.79,3.8845,60.6745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,53.06,55.35,52.69,54.83,2994072,50.4,,,50.8269,48.703,47.5457,46.8365,62.4614,1.8218,1.385,0.4368,True,2.7781,50.2923468243119,,17.997634596595873,51.68,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,0.8728,0.2358,3115559.8,3112850.0,0.961,0.9618,80.8219,84.7368,1.77,0.52,0.37,83.6938,,7.876,,,56.79,4.0031,60.7931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,56.43,57.0,55.07,55.13,3015157,50.868,,,51.2367,48.955,47.6959,46.919,61.8043,1.9359,1.4952,0.4407,True,2.8253,50.530918507574185,,17.697325175709153,51.785,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,0.8624,0.2312,3093408.7,3139388.9,0.9747,0.9604,82.0709,79.477,1.3,0.57,0.06,84.7097,,7.5987,,,57.0,3.8933,60.8933,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,54.39,57.55,54.26,57.54,2739847,51.4,,,51.837,49.2917,47.8909,47.0247,66.8595,2.1955,1.6352,0.5603,True,2.8486,50.75771898190966,,17.55265797392176,52.06,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,0.9888,0.2444,3073651.6,3102811.75,0.8914,0.883,99.9089,87.6006,3.15,0.01,0.13,99.9218,,11.0018,,,57.55,5.703,63.253,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,58.48,58.51,56.8237,57.49,2084715,51.913,,,52.3754,49.6132,48.0809,47.1288,64.0854,2.3699,1.7822,0.5877,True,2.8062,50.95177689851713,,17.817916169249838,52.54,,,,,62.16,62.989999999999995,63.699999999999996,64.53,61.449999999999996,60.62,59.91,60.84152,58.11424,55.91,53.70576,50.56752,0.9278,0.2511,3016679.6,3038721.45,0.6911,0.6861,91.4573,91.1457,0.99,0.03,0.6663,92.5764,,9.7653,,,58.51,5.1146,63.6246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
