Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,237.11,237.11,230.35,232.08,979380,,,,232.4422,230.4932,229.4249,228.7742,54.9889,1.5694,1.435,0.1344,False,6.3948,233.06094079751426,,7.818835350965184,232.305,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,,,663892.7,,1.4752,,50.5559,,5.03,0.0,1.73,,,-0.1558,,,,-0.3622,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,231.56,235.25,230.0,234.27,480414,,,,232.6163,230.6413,229.5208,228.8289,49.1086,1.52,1.452,0.068,False,6.1641,233.06565735091652,,6.9527007766166795,232.305,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,,,631327.1,,0.761,,64.879,67.7016,2.71,0.98,1.56,,,0.7109,,,,1.6537,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,235.01,237.85,231.201,235.44,535281,,,,232.8852,230.8295,229.638,228.8946,49.6278,1.5573,1.473,0.0843,True,6.2812,233.14448385309223,,6.823113068081025,231.90499999999997,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,,,607305.9,,0.8814,,72.5311,62.6553,0.43,2.41,3.809,,,1.097,,,,2.5548,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,235.53,239.095,233.5631,236.31,625465,,,,233.2114,231.0444,229.7701,228.9684,52.798,1.6382,1.5061,0.1322,True,6.0584,233.30214173318876,,8.252935981975588,232.1325,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,,,591545.7,,1.0573,,79.2578,72.2226,0.78,2.785,1.9669,,,1.3287,,,,3.0986,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-28,237.67,241.73,237.22,239.46,650491,,,,233.8065,231.3744,229.962,229.0728,62.3796,1.9342,1.5917,0.3425,True,6.0502,233.60473427885262,,9.444732377605124,235.865,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,,,579472.3,,1.1226,,86.939,79.576,1.79,2.27,0.45,,,2.418,,,,5.6535,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,239.65,241.77,238.79,238.86,392985,234.217,,,234.2878,231.668,230.1382,229.1702,63.5314,2.0962,1.6926,0.4036,True,5.6695,233.78325996432514,,11.338825524452178,235.885,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.8926,0.0505,572479.3,682609.45,0.6865,0.5757,82.4699,82.8889,0.79,2.12,0.07,86.3188,,1.9515,,,241.77,4.5722,246.3422,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,237.81,240.91,236.085,240.09,426561,234.82,,,234.8404,231.9983,230.3353,229.2789,61.1913,2.2974,1.8136,0.4838,True,5.5548,233.94217632702475,,10.287153017543455,235.885,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.9612,0.0487,564465.0,661411.15,0.7557,0.6449,89.8795,86.4295,2.28,0.82,1.725,92.1016,,2.2354,,,241.77,5.2496,247.0196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,245.0,247.49,231.97,233.68,1345551,234.7585,,,234.7299,232.0642,230.4015,229.3227,47.3757,1.9175,1.8344,0.0831,False,6.1891,234.27115616740753,,9.232875036498706,238.745,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.406,0.0489,644449.2,686571.4,2.0879,1.9598,38.1272,70.1589,11.32,2.49,1.71,48.8329,,-0.4473,,,247.49,-1.0499,246.4401,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,228.0,234.26,222.8,227.99,2609778,234.3725,,,234.088,231.9045,230.3537,229.3094,44.2924,1.1441,1.6963,-0.5522,False,6.534,233.4142838480468,,8.74547285131931,235.145,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.006,0.0551,854927.9,773499.65,3.0526,3.374,21.0207,49.6758,0.01,6.26,5.19,27.751,,-2.605,,,247.49,-6.098,241.392,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-05,205.25,208.53,183.62,188.69,3812886,232.0915,,,229.7644,230.2098,229.5287,228.9052,22.2093,-2.61,0.835,-3.445,False,9.1861,226.46794201043943,,6.220554422464288,215.555,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,-0.5127,0.1847,1185879.2,918441.8,3.2152,4.1515,7.938,22.362,16.56,3.28,5.07,7.938,,-17.8767,,,247.49,-41.0744,206.4156,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-06,186.01,188.2381,178.9,180.67,1819062,229.589,,,225.0887,228.267,228.5612,228.4253,17.8054,-6.1612,-0.5642,-5.597,False,9.4779,223.09629053459207,,5.275418284147594,213.195,,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,-0.2777,0.274,1269847.4,966870.05,1.4325,1.8814,2.5806,10.5131,5.34,2.2281,1.77,2.5806,,-19.7339,,,247.49,-44.4187,203.0713,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,181.94,183.87,176.585,183.77,1244927,227.3035,,,221.1536,226.522,227.6743,227.9809,17.9441,-8.626,-2.1766,-6.4494,False,9.6286,221.01293140291483,,4.451008858249463,212.03750000000002,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,-0.0799,0.3303,1346298.7,988812.9,0.9247,1.259,10.1333,6.8839,1.83,0.1,5.355,10.1333,,-16.9039,,,247.49,-37.3836,210.1064,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,182.33,183.945,180.55,183.69,786684,224.848,,,217.5856,224.8424,226.8033,227.5402,18.5684,-10.4652,-3.8343,-6.6309,False,9.5133,219.8409217128503,,4.504981383164434,212.03750000000002,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.0119,0.375,1371439.0,989372.45,0.5736,0.7951,10.0204,7.5781,1.36,0.255,1.78,10.0204,,-15.5781,,,247.49,-33.8956,213.5944,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-11,183.18,186.96,177.91,178.34,1105465,221.986,,,213.848,223.0187,225.8436,227.0507,14.2181,-12.2136,-5.5101,-6.7035,False,9.8897,218.24185697130542,27.9961964211134,5.055761437396312,212.03750000000002,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.032,0.4201,1419439.0,1005492.35,0.7788,1.0994,2.4751,7.543,4.84,3.78,0.43,2.4751,,-16.6043,,,247.49,-35.508,211.982,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-12,178.0,183.275,176.85,181.5,1207593,219.4405,,,210.7672,221.3906,224.9655,226.5974,18.5134,-13.1922,-7.0466,-6.1457,True,9.8536,216.61653192009823,31.93771895854156,5.074269178381583,212.03750000000002,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.1182,0.4529,1475149.2,1027310.75,0.8186,1.1755,6.9318,6.4758,3.5,1.775,1.15,6.9318,,-13.886,,,247.49,-29.2672,218.2228,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-13,182.88,183.57,178.92,179.17,655522,216.8185,,,207.7579,219.7348,224.0587,226.1255,15.7594,-13.9945,-8.4362,-5.5584,True,9.8108,215.79186017358484,34.767404073840716,5.824497691678759,212.03750000000002,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.1411,0.4838,1501402.9,1036941.1,0.4366,0.6322,3.6457,4.3509,3.71,0.69,0.25,3.6457,,-13.7602,,,247.49,-28.5879,218.9021,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-14,179.0,182.69,178.92,180.06,506563,214.121,,,205.12,218.179,223.1874,225.6672,15.4652,-14.3926,-9.6274,-4.7651,True,9.6051,215.18002802331966,38.10001129052906,5.205548519802279,205.4225,212.03750000000002,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.186,0.5066,1509403.1,1036934.05,0.3356,0.4885,4.9009,5.1595,1.06,2.63,0.08,4.9009,,-12.2173,,,247.49,-25.06,222.43,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-17,177.97,180.0,176.2,176.7,499917,211.1075,,,202.4134,216.5523,222.2669,225.1799,13.947,-14.8085,-10.6636,-4.1448,True,9.4857,214.54745221341747,42.45605130613725,4.518072289156626,192.365,211.845,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.1905,0.5265,1424839.7,1034644.45,0.3509,0.4832,0.7014,3.0827,1.27,2.03,0.5,0.7014,,-12.7034,,,247.49,-25.7134,221.7766,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-18,178.13,179.8299,176.9,177.91,489523,208.298,,,200.0797,215.037,221.3885,224.7096,11.8791,-14.869,-11.5047,-3.3643,True,9.3221,213.95776078472696,47.1655366499168,3.831126987301345,182.21904999999998,211.845,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.2304,0.5411,1212814.2,1033871.05,0.4036,0.4735,2.3987,2.667,0.22,1.6999,1.01,2.3987,,-11.0804,,0.0,247.49,-22.1697,225.3203,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-19,178.77,180.24,176.96,177.27,413978,205.2975,,,197.9074,213.5559,220.5149,224.2375,11.8732,-14.7981,-12.1634,-2.6347,True,9.3436,213.47304176059953,50.58023567335176,3.8223406638182573,181.57999999999998,211.845,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.2509,0.548,872923.4,1029401.3,0.4742,0.4022,1.5009,1.5336,1.5,1.47,0.31,1.5009,,-10.4278,,-0.3597,247.49,-20.6374,226.8526,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-20,176.69,177.535,175.13,175.24,483434,202.4555,,,195.7486,212.0533,219.6184,223.75,10.2489,-14.7358,-12.6779,-2.0579,True,9.1707,212.88929206807012,55.07877962874117,3.8943873310906847,181.04500000000002,211.31,,,,175.96833333333333,176.80666666666667,178.37333333333333,179.21166666666667,174.40166666666667,173.56333333333333,171.99666666666667,230.41304,219.84848,211.31,202.77152,190.61504,0.2583,0.5562,739360.6,1004604.0,0.6539,0.4812,0.152,1.3505,1.45,0.845,0.11,0.152,,-10.477,,-1.5008,247.49,-20.5086,226.9814,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
