Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,90.0,90.0,85.92,86.57,721659,,,,86.7944,86.0819,85.713,85.4915,52.4173,0.6463,0.4789,0.1674,False,4.5141,86.72465962824597,,9.493986350812289,86.099,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,,,1354598.3,,0.5327,,49.3206,,3.43,0.0,0.65,,,-0.2585,,,,-0.2244,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,85.83,86.485,84.03,86.14,1503969,,,,86.732,86.0842,85.7215,85.498,45.7246,0.5123,0.4856,0.0267,False,4.427,86.65315837819426,,8.067391763838401,86.099,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,,,1344411.0,,1.1187,,44.9925,57.7573,0.31,0.345,1.8,,,-0.6826,,,,-0.592,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,87.7,91.49,87.165,89.85,940954,,,,87.029,86.2318,85.8032,85.5413,55.5147,0.6975,0.528,0.1695,True,4.6348,86.75780145718392,,9.24671625988821,86.58,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,,,1322050.4,,0.7117,,82.3352,58.8827,2.15,1.64,0.535,,,3.2415,,,,2.821,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,92.02,94.44,91.17,94.17,1148124,,,,87.7091,86.5431,85.9689,85.6272,58.0153,1.1792,0.6582,0.521,True,4.6231,87.03675404234053,,9.270289186671182,89.235,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,,,1278720.7,,0.8979,,97.8857,75.0711,2.15,0.27,0.85,,,7.3663,,,,6.4609,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,97.475,101.48,97.2,100.4,2537756,,,,88.9177,87.0865,86.2547,85.7741,72.8803,2.0402,0.9346,1.1056,True,4.8438,88.1329852072099,,10.32250453452878,92.755,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,,,1268378.7,,2.0008,,94.5482,91.5897,2.925,1.08,0.275,,,12.9133,,,,11.4823,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,104.275,104.8,99.81,103.66,2255097,88.9815,,,90.3218,87.7365,86.5994,85.9521,74.4694,2.9515,1.338,1.6135,True,4.7959,89.17808010934102,,11.914868266237736,94.41499999999999,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,1.228,0.2266,1384339.0,1577742.85,1.629,1.4293,95.0713,95.8351,0.615,0.525,3.85,95.3526,,14.7675,,,104.8,13.3382,118.1382,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-31,101.42,106.375,100.675,105.56,1765013,89.9975,,,91.773,88.4354,86.9748,86.1472,83.9124,3.7835,1.8271,1.9564,True,4.7459,89.97399459726184,,12.040395526993066,95.2025,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,1.1307,0.2742,1432000.6,1587538.25,1.2326,1.1118,96.7011,95.4402,4.14,0.815,0.745,96.878,,15.0229,,,106.375,13.787,120.162,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,108.29,109.089,103.42,107.26,3361228,90.947,,,93.248,89.1737,87.3765,86.3573,83.5045,4.5278,2.3672,2.1606,True,4.8044,91.49655158829034,,13.380512027593596,96.5595,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,1.0622,0.3191,1658841.7,1647709.35,2.0263,2.0399,93.3294,95.034,1.03,0.799,3.84,93.6535,,15.0266,,,109.089,14.012,123.101,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,104.85,112.99,104.5,112.06,2428414,92.2075,,,95.0396,90.0712,87.8653,86.613,90.4343,5.4422,2.9822,2.46,True,5.0744,92.63616619333256,,14.076180287717131,98.50999999999999,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,1.0788,0.372,1786312.6,1678484.05,1.3595,1.4468,96.7887,95.6064,7.21,0.93,0.35,97.1577,,17.9087,,,112.99,17.0204,130.0104,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,112.06,113.0,108.55,109.87,1889968,93.2235,,,96.452,90.8476,88.301,86.8445,84.3571,5.922,3.5702,2.3518,False,5.1373,93.45841260000047,,13.903951503017161,98.515,,,,,107.805,109.30000000000001,111.84,113.33500000000001,105.26500000000001,103.77000000000001,101.23000000000002,106.16308000000001,101.93346,98.515,95.09654,90.22958,0.9424,0.4036,1855218.2,1713705.6,1.0187,1.1029,89.1957,93.1046,2.19,0.94,1.32,90.4369,,13.9116,,,113.0,13.418,126.418,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
