Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,82.33,82.82,79.97,80.48,2361446,,,,79.3293,76.329,74.7789,73.8604,65.2695,2.5438,2.3154,0.2284,False,3.2677,80.04548576181494,,19.673292194293442,82.2875,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,,,2577165.3,,0.9163,,51.6866,,1.85,0.49,0.51,,,1.4505,,,,1.1507,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,80.0,81.16,77.87,80.91,2414229,,,,79.4799,76.5086,74.9004,73.9305,59.2315,2.3519,2.3227,0.0293,False,3.2034,80.04164195214554,,17.838309106679787,82.505,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,,,2592851.6,,0.9311,,52.5514,55.4285,0.91,0.25,2.13,,,1.7994,,,,1.4301,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,80.53,81.7578,80.09,80.62,1729549,,,,79.5885,76.6698,75.0136,73.9971,64.0974,2.1517,2.2885,-0.1368,False,3.0875,80.07315630610515,,18.50776516422172,82.505,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,,,2523871.8,,0.6853,,46.249,50.1623,0.09,1.1378,0.44,,,1.2961,,,,1.0315,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,81.44,84.0098,81.11,83.84,3162301,,,,79.9934,76.951,75.1884,74.095,65.3111,2.2272,2.2762,-0.0491,True,3.1032,80.27334590346246,,18.41412916130548,82.505,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,,,2586870.2,,1.2224,,72.7947,57.1984,2.4,0.1698,0.33,,,4.8087,,,,3.8466,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,84.38,86.96,84.01,86.47,2590930,,,,80.6102,77.3243,75.4118,74.2181,70.4636,2.4707,2.3151,0.1556,True,3.1418,80.56860954540544,,20.46156749248039,82.41499999999999,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,,,2560086.3,,1.012,,93.8106,70.9514,2.09,0.49,0.37,,,7.2693,,,,5.8598,,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,84.95,84.95,82.75,83.15,2485965,80.826,,,80.8521,77.5528,75.565,74.307,60.668,2.3685,2.3258,0.0427,False,3.2628,80.71689687504279,,17.513173189958835,82.41499999999999,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.6602,0.1795,2410669.5,2554959.8,1.0312,0.973,58.8872,75.1642,1.8,0.0,0.4,72.2145,,2.8421,,,87.14,2.2979,89.4379,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,83.04,83.7,81.61,81.68,1952962,81.2685,,,80.9309,77.7146,75.6861,74.3804,51.3353,2.1442,2.2895,-0.1453,False,3.1457,80.77627860848939,,15.894677326696941,82.41499999999999,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.5332,0.1526,2309768.3,2479553.55,0.8455,0.7876,41.1003,64.5994,1.36,0.66,0.07,61.9777,,0.9256,,,87.14,0.7491,87.8891,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,81.98,83.87,81.92,83.17,2321371,81.5785,,,81.1442,77.9286,75.8343,74.4678,55.3746,2.0629,2.2442,-0.1813,False,3.1221,80.86894257319713,,16.01467859683963,82.41499999999999,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.6346,0.1449,2349393.1,2448097.05,0.9881,0.9482,57.1737,52.3871,1.19,0.7,0.06,72.3538,,2.4966,,,87.14,2.0258,89.1658,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,84.0,87.1,83.89,86.43,3016309,82.147,,,81.6476,78.2619,76.0441,74.5869,56.6627,2.2357,2.2425,-0.0068,True,3.1771,81.12401609511114,,15.737445452889972,82.485,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.8937,0.1324,2459413.2,2476799.5,1.2264,1.2178,92.3409,63.5383,2.43,0.67,0.11,95.0557,,5.8574,,,87.14,4.7824,91.9224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,87.14,87.9736,84.32,85.86,3893965,82.5605,,,82.0488,78.5599,76.2385,74.699,50.2588,2.3002,2.254,0.0462,True,3.0731,81.43206218012945,,16.27017792601719,82.9218,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.8152,0.1268,2592902.7,2568804.65,1.5018,1.5159,79.0807,76.1984,1.28,0.8336,1.54,86.0889,,4.6451,,,87.9736,3.8112,91.7848,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,81.99,84.22,77.85,82.26,7127414,82.8135,,,82.0689,78.705,76.3577,74.7743,47.5122,2.0373,2.2107,-0.1734,False,3.4134,81.43321954602236,,14.648274014798947,82.9118,,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.4398,0.1109,3069499.5,2823332.4,2.322,2.5245,43.5616,71.6611,0.27,1.96,4.14,62.3947,,0.2329,,,87.9736,0.1911,88.1647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-07,83.83,86.45,83.31,85.55,5380114,83.205,,,82.4004,78.9734,76.5398,74.8815,52.6664,2.0705,2.1826,-0.1121,True,3.5601,81.69722916190558,,16.05097790582892,82.9118,80.3768,,,,81.86,82.87,84.53,85.54,80.2,79.19,77.53,85.5844304,84.1063848,82.9118,81.7172152,80.0164504,0.788,0.0978,3366088.0,2979469.8,1.5983,1.8057,76.0599,66.2341,1.72,0.9,0.52,84.0485,,3.8223,,,87.9736,3.1496,91.1232,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
