Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,50.75,51.02,49.95,50.22,3787279,,,,50.8924,50.8608,50.8127,50.7765,48.3643,-0.0398,0.0329,-0.0726,False,1.992,51.37692104736733,,17.92885829030408,50.9225,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,,,6033073.6,,0.6278,,12.585,,0.53,0.27,0.27,,,-1.3212,,,,-0.6724,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,50.25,50.5,49.65,49.97,5375693,,,,50.8045,50.8259,50.796,50.7685,41.7135,-0.1073,0.0048,-0.1121,False,1.8799,51.30964387714456,,15.198723307242195,50.855,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,,,6080012.8,,0.8842,,8.3333,13.3787,0.28,0.25,0.32,,,-1.6426,,,,-0.8345,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,50.23,51.72,49.99,51.02,5260613,,,,50.825,50.8335,50.8005,50.771,47.422,-0.0752,-0.0112,-0.0641,True,1.8986,51.29088702193916,,18.81113619262604,50.855,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,,,5862227.4,,0.8974,,26.1905,15.7029,0.79,0.7,0.24,,,0.3836,,,,0.195,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,51.525,52.61,51.18,52.31,5429051,,,,50.9665,50.8914,50.8304,50.7863,48.6755,0.0537,0.0018,0.0519,True,1.7564,51.32518727106165,,20.33346888979261,51.129999999999995,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,,,5739494.9,,0.9459,,90.4153,41.6464,0.785,0.3,0.345,,,2.6361,,,,1.3435,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,52.56,54.6699,52.5,54.21,6011195,,,,51.2754,51.0215,50.8973,50.8204,62.1222,0.3056,0.0625,0.243,True,1.765,51.445294257454805,,24.2817656081166,52.159949999999995,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,,,5787689.9,,1.0386,,91.1386,69.2481,1.65,0.4599,0.06,,,5.7233,,,,2.9346,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,54.61,54.82,53.06,54.07,7390963,51.3885,,,51.5415,51.1411,50.9601,50.8527,58.6552,0.4883,0.1477,0.3406,True,1.7557,51.58858040401597,,28.478553614945557,52.235,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,1.0317,0.0981,5800867.6,6545836.2,1.2741,1.1291,85.9551,89.1696,0.54,0.21,1.01,78.0612,,4.9057,,,55.36,2.5285,57.8885,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,53.37,54.075,52.74,53.94,5723041,51.549,,,51.77,51.2508,51.0191,50.8835,63.5167,0.6155,0.2413,0.3743,True,1.6893,51.672198750410374,,25.370086131442427,52.235,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.9357,0.1065,5564248.4,6479573.65,1.0285,0.8832,83.5206,86.8714,0.57,0.135,0.63,75.8503,,4.1917,,,55.36,2.17,57.53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,54.86,55.52,54.185,54.35,14289384,51.65,,,52.0157,51.3724,51.0851,50.918,62.5894,0.7409,0.3412,0.3997,True,1.6764,51.95743903869336,,29.825435983962443,52.585,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.9498,0.1162,6389408.0,6735021.55,2.2364,2.1217,80.6291,83.3683,0.51,0.66,0.165,80.6291,,4.4877,,,55.52,2.3343,57.8543,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,53.3,55.815,53.02,55.78,13570991,51.85,,,52.3742,51.5452,51.1781,50.9663,75.2019,0.9448,0.4619,0.4829,True,1.7546,52.19785802503086,,28.495943398914726,52.7325,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,1.0574,0.136,7158992.1,7147430.1,1.8957,1.8987,99.4323,87.8607,2.48,0.035,0.28,99.4475,,6.5029,,,55.815,3.4058,59.2208,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,56.32,56.63,53.64,54.11,11859808,51.92,,,52.5395,51.6458,51.2361,50.9976,64.1723,0.9605,0.5616,0.3989,False,1.7961,52.37239787477729,,27.838647200824038,53.14,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.8,0.1406,7869801.8,7174083.45,1.507,1.6531,63.8968,81.3194,2.21,0.31,0.47,64.7552,,2.9892,,,56.63,1.5705,58.2005,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,49.88,54.15,49.56,54.11,21008638,52.0955,,,52.6891,51.7424,51.293,51.0286,60.0674,0.9619,0.6417,0.3202,False,1.9925,52.39733430637083,,25.094192845287143,53.095,,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.7708,0.1428,9591937.7,7812505.65,2.1902,2.6891,64.3564,75.8952,4.23,0.04,0.32,64.7552,,2.6968,,,56.63,1.4209,58.0509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,53.76,53.76,51.41,52.41,9415984,52.1335,,,52.6625,51.7686,51.3151,51.0423,57.1314,0.8164,0.6766,0.1398,False,2.0446,52.40322348579667,,20.960771915360407,53.095,53.055,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.5372,0.1426,9995966.8,8037989.8,0.942,1.1714,40.3112,56.1882,1.35,0.0,1.0,40.979,,-0.4795,,,56.63,-0.2525,56.3775,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,52.35,53.04,51.195,52.22,8338699,52.222,,,52.6204,51.7863,51.3331,51.054,52.3236,0.678,0.6769,0.0011,False,2.0364,52.39347253414057,,21.045321098986676,53.095,53.055,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.4997,0.1391,10303775.4,8083001.4,0.8093,1.0316,37.6238,47.4305,0.13,0.69,1.025,38.3217,,-0.7608,,,56.63,-0.4004,56.2296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-11,52.11,53.02,51.545,52.72,8149302,52.299,,,52.6298,51.8229,51.3605,51.0706,59.5475,0.6016,0.6618,-0.0602,False,2.0493,52.39474493038392,18.706966618033867,20.913283071743024,53.095,53.055,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.5584,0.1378,10575800.5,8157647.7,0.7706,0.999,44.6959,40.8769,0.61,0.3,0.565,45.3147,,0.1713,,,56.63,0.0902,56.7202,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-12,52.83,52.83,50.63,51.56,10119111,52.4,,,52.528,51.8126,51.3645,51.0755,55.6684,0.4425,0.618,-0.1755,False,2.13,52.363466848985794,18.412802719814028,20.12079182022744,53.095,53.055,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.3759,0.1292,10986592.1,8387141.0,0.921,1.2065,28.2885,36.8694,1.27,0.0,0.93,29.0909,,-1.8427,,,56.63,-0.968,55.662,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-13,52.14,55.98,52.0,55.5,8480644,52.657,,,52.811,51.9572,51.4464,51.1195,67.8272,0.627,0.6198,0.0072,True,2.385,52.438145253580466,19.257641929625017,20.964423373535123,53.095,53.055,,,,51.48333333333333,52.076666666666654,52.773333333333326,53.36666666666665,50.786666666666655,50.19333333333333,49.496666666666655,54.96148,53.92926,53.095,52.260740000000006,51.07298,0.905,0.1333,11095560.2,8448213.9,0.7643,1.0038,84.017,52.3338,3.36,0.48,0.14,84.1958,,5.0917,,,56.63,2.689,59.319,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
