Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,171.15,172.75,170.5948,172.33,1064022,,,,174.3783,176.4256,177.4342,178.0207,40.4862,-1.8582,-1.5179,-0.3403,True,4.6111,174.985025987408,,9.294428919305755,173.20499999999998,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,,,1641487.7,,0.6482,,24.4663,,1.18,0.42,0.5552,,,-1.1746,,,,-2.0483,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,170.0,172.46,169.25,172.14,2113103,,,,174.1651,176.2575,177.3293,177.9622,33.3555,-1.8023,-1.5748,-0.2276,True,4.5139,174.723892157096,,7.912043395975609,173.20499999999998,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,,,1588378.1,,1.3304,,23.1678,20.1607,2.14,0.32,0.75,,,-1.1628,,,,-2.0251,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,172.99,175.56,172.12,174.3,1954785,,,,174.178,176.1807,177.2694,177.9257,44.1785,-1.5658,-1.573,0.0072,True,4.2802,174.67913720992348,,10.012950082106178,173.20499999999998,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,,,1541785.0,,1.2679,,41.5419,29.7253,1.31,1.26,0.87,,,0.0701,,,,0.122,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,175.28,180.58,175.28,180.19,2002988,,,,174.7506,176.338,177.3272,177.9483,56.6458,-0.8927,-1.4369,0.5442,True,4.2509,174.91564229865068,,11.762254588959603,174.66500000000002,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,,,1546142.9,,1.2955,,96.7033,53.8043,4.91,0.39,0.0,,,3.1127,,,,5.4394,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,183.2,185.9,180.8601,183.39,1970642,,,,175.5734,176.6145,177.4472,178.0024,63.379,-0.0999,-1.1695,1.0696,True,4.3966,175.3806822119512,,12.997056166778219,177.325,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,,,1605705.2,,1.2273,,85.3644,74.5365,0.19,2.51,2.3399,,,4.4521,,,,7.8166,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,182.25,183.88,177.01,177.23,1978923,174.9505,,,175.7311,176.6387,177.4429,177.9947,57.5487,0.0309,-0.9294,0.9604,False,4.633,175.589367523138,,12.333802017810003,177.325,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,0.6482,0.0879,1678415.0,1893077.45,1.179,1.0453,49.4461,77.1713,5.02,1.63,0.22,49.4461,,0.8529,,,185.9,1.4989,187.3989,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,176.19,177.37,173.91,175.05,2173855,174.7695,,,175.6663,176.5764,177.3956,177.9654,51.8718,-0.0408,-0.7517,0.7109,False,4.6591,175.58143811261732,,10.73163701924182,177.325,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,0.5187,0.0857,1758206.8,1873100.0,1.2364,1.1606,36.7347,57.1817,1.14,1.18,1.14,36.7347,,-0.3508,,,185.9,-0.6163,185.2837,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,177.06,180.615,175.875,177.67,1555068,174.546,,,175.8571,176.6192,177.401,177.9625,53.1831,0.1125,-0.5789,0.6913,False,4.6452,175.67386228989255,,10.763815741926749,177.575,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,0.7298,0.0779,1803974.0,1832243.5,0.862,0.8487,52.0117,46.0641,0.61,2.945,1.185,52.0117,,1.0309,,,185.9,1.8129,187.7129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-04,177.3,179.17,173.5925,179.04,1688903,174.6225,,,176.1602,176.7142,177.4334,177.9732,60.5984,0.3406,-0.395,0.7355,True,4.6629,175.73605125425522,,10.723006363338342,177.575,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,0.8169,0.0798,1768859.8,1790289.55,0.9548,0.9434,60.0,49.5821,1.74,0.13,3.7075,60.0,,1.6347,,,185.9,2.8798,188.7798,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,180.0,180.08,177.81,179.58,1256198,174.804,,,176.4859,176.8266,177.476,177.9892,63.2583,0.5585,-0.2043,0.7627,True,4.5907,175.832535254581,,12.447448428665219,177.575,,,,,188.51999999999998,190.24999999999997,192.19,193.92,186.57999999999996,184.84999999999997,182.90999999999994,185.45444,182.35778,179.85500000000002,177.35222,173.78894,0.8272,0.0835,1775848.7,1748689.95,0.7074,0.7184,63.1487,58.3868,0.42,0.08,1.77,63.1487,,1.7532,,,185.9,3.0941,188.9941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
