Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,294.55,296.44,284.0,284.47,3004659,,,,280.4157,274.1026,270.9644,269.1267,59.8616,5.7349,4.642,1.093,False,13.9868,280.69792100278073,,4.085488854275717,286.885,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,,,4127405.3,,0.728,,58.7822,,10.08,1.89,0.47,,,1.4458,,,,4.0543,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,289.1,289.89,278.94,281.53,2493819,,,,280.5218,274.3938,271.1736,269.2501,53.7301,5.1,4.7336,0.3664,False,14.0382,280.79856648319446,,3.5617065662604612,286.885,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,,,3975454.5,,0.6273,,51.897,60.7416,7.57,0.79,2.59,,,0.3594,,,,1.0082,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,286.64,296.7,286.3,296.33,3456672,,,,282.0274,275.2541,271.6718,269.5195,62.8084,5.725,4.9319,0.7932,True,14.2868,281.3918469996035,,3.99970002249831,286.885,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,,,4063643.7,,0.8506,,86.5574,65.7455,9.69,0.37,0.34,,,5.0714,,,,14.3026,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,304.96,310.12,299.6286,303.91,3828018,,,,284.1114,276.3778,272.3101,269.8617,62.2284,6.7542,5.2963,1.4579,True,14.4396,282.56524544441163,,3.957359451905714,293.8425,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,,,3789974.8,,1.01,,87.7635,75.406,1.05,5.16,4.2814,,,6.9686,,,,19.7986,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-28,305.73,319.99,305.73,312.99,5763178,,,,286.8618,277.8136,273.1157,270.2909,71.9862,8.2079,5.8786,2.3292,True,14.7232,284.71525948281646,,4.3662825955124305,298.77750000000003,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,,,3836147.9,,1.5023,,88.4527,87.5912,7.26,7.0,0.0,,,9.1083,,,,26.1282,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,317.0,318.99,303.8,315.5,4683063,286.621,,,289.5892,279.2915,273.955,270.7407,72.3519,9.4535,6.5936,2.8599,True,14.7732,286.24250261524713,,4.351504895443007,299.46500000000003,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,1.0359,0.188,3965447.6,4300261.5,1.181,1.089,90.702,88.9727,1.5,1.99,11.7,92.5932,,8.9474,,,319.99,25.9108,345.9008,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,310.425,317.53,306.81,316.07,3115372,289.0705,,,292.1112,280.7338,274.7889,271.1918,72.0524,10.3671,7.3483,3.0188,True,14.9675,287.1942890830106,,3.817795700207592,299.46500000000003,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,0.9764,0.196,3773063.1,4215662.05,0.8257,0.739,91.8824,90.3457,5.645,1.46,3.615,93.5335,,8.2019,,,319.99,23.9588,343.9488,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,324.345,331.15,317.77,318.39,4026371,291.2225,,,294.6139,282.2105,275.6523,271.6614,67.7319,11.1498,8.1086,3.0412,True,14.5418,288.7176760756709,,3.9295625905641383,305.04499999999996,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,0.9467,0.2088,3812968.1,4164492.55,1.056,0.9668,78.5366,87.0403,5.955,6.805,0.62,82.2235,,8.0702,,,331.15,23.7761,354.9261,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,311.19,324.37,309.047,323.6,3489661,293.7955,,,297.3745,283.8336,276.6018,272.1782,76.1862,12.0516,8.8972,3.1544,True,14.3463,289.8114105649513,,3.9831116067872228,305.04499999999996,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,0.9619,0.2196,3703702.9,4061980.55,0.9422,0.8591,85.9102,85.4431,12.41,0.77,2.143,89.4817,,8.819,,,331.15,26.2255,357.3755,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,327.31,328.79,320.44,327.94,3646005,296.134,,,300.2855,285.5633,277.6184,272.733,80.0673,12.9671,9.7112,3.2559,True,14.1734,291.11707075976466,,4.031689076138448,305.04499999999996,,,,,362.295,366.20500000000004,370.54,374.45000000000005,357.96000000000004,354.05,349.71500000000003,345.93516,333.13242,322.78499999999997,312.43758,297.70565999999997,0.9535,0.2368,3750681.8,4003328.8,0.9721,0.9107,94.0095,86.1521,0.63,0.85,6.87,95.528,,9.2094,,,331.15,27.6545,358.8045,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
