Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,40.3,43.72,40.25,41.28,41620244,,,,40.3613,41.6999,42.4131,42.8394,46.9947,-1.0532,-1.1206,0.0674,True,4.0428,40.103436939155685,,10.600931468511698,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,,,44938728.4,,0.9262,,68.018,,0.98,2.44,0.05,,,2.2761,,,,0.9187,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,,,,,,,,
2026-07-23,40.6,43.429,40.35,40.58,41767390,,,,40.3822,41.656,42.3768,42.8169,52.9197,-0.9057,-1.0776,0.1719,True,3.8514,40.18122826120551,,11.127596439169139,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,,,45253226.8,,0.923,,62.7628,66.2913,0.02,2.829,0.23,,,0.4899,,,,0.1978,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,40.015,40.23,37.02,37.07,34459313,,,,40.0667,41.4761,42.2717,42.7597,38.0252,-1.0599,-1.0741,0.0142,False,3.6664,40.08704879066768,,9.740873288772086,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,,,45682174.8,,0.7543,,36.4114,55.7307,2.945,0.215,0.05,,,-7.4793,,,,-2.9967,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-27,37.59,38.4992,34.88,36.29,34685511,,,,39.707,41.2728,42.1533,42.6953,43.0184,-1.2308,-1.1054,-0.1254,False,3.5882,39.93276483624906,,9.953358561779503,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,,,45534956.3,,0.7617,,30.5556,43.2432,1.3,0.9092,1.41,,,-8.6056,,,,-3.417,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,35.015,35.09,32.54,33.93,47301658,,,,39.1568,40.9848,41.9904,42.6081,31.4151,-1.5389,-1.1921,-0.3468,False,3.6242,39.59084961070249,,7.883435522366293,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,,,46755808.8,,1.0117,,12.8378,26.6016,1.085,0.075,1.39,,,-13.3485,,,,-5.2268,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-30,32.505,38.335,32.32,38.26,72703643,39.2465,,,39.0714,40.878,41.9166,42.5649,43.6999,-1.4174,-1.2372,-0.1802,True,3.771,39.32940747494309,,7.576575501521946,37.97,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,0.4173,0.304,50481050.3,45687592.85,1.4402,1.5913,52.5217,31.9717,5.755,0.075,0.185,45.3453,,-2.0768,,,45.54,-0.8114,44.7286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,40.815,40.815,35.16,36.8,65319510,38.9205,,,38.8551,40.718,41.8152,42.5075,42.343,-1.4225,-1.2742,-0.1483,True,3.986,39.213472741348106,,8.959883019767295,38.019999999999996,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,0.3151,0.2947,52902480.2,46863192.95,1.2347,1.3938,39.8261,35.0619,4.015,0.0,1.64,34.3844,,-5.2891,,,45.54,-2.0551,43.4849,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,36.52,40.21,35.46,39.75,43764304,38.967,,,38.9403,40.6801,41.7743,42.4801,51.3217,-1.1749,-1.2544,0.0794,True,4.0332,39.18180422706656,,8.855152724819046,38.019999999999996,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,0.5681,0.295,52564237.8,46032967.85,0.8326,0.9507,65.4783,52.6087,3.23,0.46,1.06,56.5315,,2.0793,,,45.54,0.8097,46.3497,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,39.22,42.24,39.2,40.85,41060380,38.814,,,39.1222,40.6867,41.756,42.4638,53.7869,-0.8799,-1.1795,0.2996,True,3.9946,39.242842320048794,,10.728788737632836,38.019999999999996,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,0.6906,0.2752,47361195.9,45390200.0,0.867,0.9046,75.0435,60.1159,1.63,1.39,0.02,64.7898,,4.4164,,,45.54,1.7278,47.2678,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,40.05,41.16,38.89,38.89,34216693,38.7678,,,39.1001,40.6163,41.6993,42.4283,50.9686,-0.795,-1.1026,0.3076,True,3.9788,39.25542530277952,,10.771393333584667,37.8745,,,,,42.43016666666667,43.74983333333334,44.89966666666667,46.21933333333334,41.280333333333346,39.960666666666675,38.81083333333335,45.204860000000004,42.74257,40.7525,38.76243,35.92911,0.5115,0.2745,45689864.6,44982833.4,0.7489,0.7607,58.0,66.1739,1.16,1.11,0.0,50.0751,,-0.5373,,,45.54,-0.2101,45.3299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
