Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,30.39,30.4,30.095,30.15,3686036,,,,28.4484,27.3992,26.9047,26.6212,84.7826,1.0225,0.738,0.2845,False,0.7241,28.4586587878254,,108.51229641613475,29.545,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,,,7109076.8,,0.5185,,83.5073,,0.24,0.01,0.055,,,5.9812,,,,1.7016,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,30.18,30.31,29.925,30.09,5131791,,,,28.6048,27.5048,26.9678,26.6557,82.9222,1.0233,0.7951,0.2282,False,0.7134,28.53124618221607,,100.12916662494618,29.825000000000003,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,,,6937574.3,,0.7397,,81.0268,85.1039,0.09,0.13,0.165,,,5.1922,,,,1.4852,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-24,30.015,30.42,29.99,30.19,5093943,,,,28.7557,27.6101,27.0316,26.6909,82.7255,1.0202,0.8401,0.1801,False,0.715,28.601081387199468,,99.90608827701955,29.8825,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,,,6817459.7,,0.7472,,83.2589,82.5977,0.175,0.23,0.025,,,4.9877,,,,1.4343,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-27,30.5,30.955,30.31,30.95,8378534,,,,28.9647,27.741,27.1092,26.7333,89.2606,1.0668,0.8854,0.1813,True,0.7175,28.73872054332042,,99.55796264585238,30.1025,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,,,6811964.6,,1.23,,99.8645,88.0501,0.45,0.005,0.19,,,6.8541,,,,1.9853,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,31.62,32.19,31.57,31.79,12837191,,,,29.2338,27.8998,27.2019,26.7836,88.6617,1.1581,0.94,0.2182,True,0.7175,29.018141980479708,,99.55697147692769,30.72,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,,,7605009.1,,1.688,,91.5966,91.5734,0.17,0.4,0.05,,,8.744,,,,2.5562,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,32.59,32.59,31.835,32.31,9014996,29.129,,,29.5268,28.0728,27.303,26.8386,89.4646,1.258,1.0036,0.2544,True,0.7393,29.209582834000052,,96.62302526692109,30.92,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,0.9477,0.2439,7539812.6,7597676.15,1.1957,1.1865,93.6937,95.0516,0.28,0.0,0.475,96.1003,,9.4261,,,32.59,2.7832,35.3732,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,32.3,33.03,32.25,33.01,9051351,29.464,,,29.8585,28.2664,27.416,26.9,89.8839,1.3777,1.0784,0.2993,True,0.7368,29.409367115908758,,96.95089437200056,31.4775,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,0.98,0.2507,7473618.8,7591041.35,1.2111,1.1924,99.537,94.9425,0.71,0.02,0.05,99.7375,,10.5548,,,33.03,3.1515,36.1815,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,33.0,33.215,32.87,33.02,7364359,29.784,,,30.1596,28.4528,27.527,26.9609,88.6194,1.4566,1.154,0.3026,True,0.6835,29.56794990259077,,104.49866764198747,31.57,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,0.9298,0.2528,7515669.6,7569068.65,0.9799,0.973,95.5581,96.2629,0.02,0.195,0.13,97.5016,,9.4842,,,33.215,2.8604,36.0754,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,,,,,,,,
2026-08-04,32.76,32.97,32.6601,32.97,4472247,30.0935,,,30.4273,28.63,27.6348,27.0207,88.4544,1.4979,1.2228,0.2751,False,0.6817,29.65330455951044,,104.77347973680891,31.57,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,0.8843,0.2487,7100562.8,7528609.55,0.6298,0.594,93.8209,96.3054,0.21,0.0,0.0999,96.861,,8.3568,,,33.215,2.5427,35.7577,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,33.2,33.2,32.51,32.54,5624318,30.396,,,30.6285,28.7833,27.7319,27.0756,80.4104,1.4788,1.274,0.2048,False,0.6532,29.750896367585977,,109.35056698268964,31.57,,,,,29.275000000000002,29.635000000000005,29.860000000000003,30.220000000000006,29.050000000000004,28.69,28.465000000000003,32.27342,31.52079,30.9125,30.30421,29.43817,0.8076,0.2293,7065476.6,7504890.55,0.796,0.7494,82.976,90.785,0.66,0.0,0.03,91.3517,,6.241,,,33.215,1.9115,35.1265,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
