Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,116.1,116.56,112.43,113.37,2236652,,,,116.6092,116.5604,116.4966,116.4528,43.7059,-0.1032,0.1714,-0.2746,False,4.2624,116.69182605498132,,10.054697554697555,117.215,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,,,2362351.1,,0.9468,,22.2523,,2.73,0.46,0.94,,,-2.7778,,,,-3.2392,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,111.21,112.14,109.2,110.63,2715551,,,,116.0397,116.3279,116.3804,116.3949,34.2615,-0.5645,0.0242,-0.5887,False,4.3149,116.2841443049824,,8.276967186791286,115.6,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,,,2427683.0,,1.1186,,11.1719,28.3486,0.58,0.93,1.43,,,-4.6619,,,,-5.4097,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,111.3,115.7,110.55,114.28,2909704,,,,115.8721,116.2476,116.3388,116.3738,47.3479,-0.6283,-0.1063,-0.522,True,4.2892,116.09690225262264,,9.99190655568989,114.845,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,,,2407194.8,,1.2088,,39.6875,24.3705,2.98,1.42,0.75,,,-1.374,,,,-1.5921,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,117.59,118.37,115.76,117.83,2781061,,,,116.0586,116.3096,116.3684,116.3883,54.8218,-0.3879,-0.1626,-0.2253,True,4.2021,116.17102421745305,,10.198895459621722,114.845,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,,,2417925.3,,1.1502,,67.4219,39.4271,0.24,0.54,1.83,,,1.5263,,,,1.7714,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,119.0,121.88,118.475,120.32,2883724,,,,116.4644,116.4669,116.4466,116.4274,61.2947,0.0035,-0.1294,0.1329,True,4.17,116.41071019184942,,11.990428212449833,115.53999999999999,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,,,2484593.0,,1.1606,,86.875,64.6615,1.32,1.56,0.525,,,3.3105,,,,3.8556,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,117.53,119.69,115.11,119.475,2026715,116.7148,,,116.7512,116.5848,116.5066,116.4577,55.3685,0.2427,-0.055,0.2977,True,4.1579,116.47777205763482,,10.307507301151006,115.53999999999999,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.7779,0.0851,2486232.4,2540057.35,0.8152,0.7979,80.2734,78.1901,1.945,0.215,2.42,80.2734,,2.333,,,122.0,2.7238,124.7238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,120.4,121.0,117.865,118.87,2513899,116.8382,,,116.9529,116.6745,116.5534,116.4818,49.2344,0.3791,0.0318,0.3472,True,4.0318,116.60825176419053,,10.629816635663031,115.53999999999999,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.7009,0.0865,2526161.1,2534586.05,0.9951,0.9918,75.5469,80.8984,1.53,0.6,1.005,75.5469,,1.6392,,,122.0,1.9171,123.9171,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,122.18,124.38,120.536,123.67,2357998,117.1002,,,117.5927,116.9488,116.6943,116.5533,55.7646,0.8645,0.1984,0.6661,True,4.2282,116.87312547636877,,10.135991215474279,116.78999999999999,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,1.0587,0.1004,2477855.8,2520759.55,0.9516,0.9354,95.3228,83.7144,1.49,0.71,1.644,95.3228,,5.1681,,,124.38,6.0773,130.4573,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-04,121.75,124.61,120.86,123.03,2160312,117.4698,,,118.1105,117.1873,116.8198,116.6177,60.6173,1.1839,0.3955,0.7884,True,4.1789,117.0957635773964,,11.964789334244937,116.905,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.9345,0.1089,2454569.0,2461568.0,0.8801,0.8776,89.7469,86.8722,1.28,1.58,0.89,89.7469,,4.1652,,,124.61,4.9195,129.5295,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,123.94,124.82,122.6,123.51,1856476,117.8918,,,118.6247,117.4352,116.9522,116.6863,61.1661,1.459,0.6082,0.8508,True,4.0575,117.29940640403767,,12.32285890326556,117.00999999999999,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.9112,0.1159,2444209.2,2432947.05,0.7595,0.7631,91.6133,92.2277,0.43,0.88,0.91,91.6133,,4.1182,,,124.82,4.8853,129.7053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,122.6,125.92,122.01,124.73,2221412,118.4472,,,119.2062,117.7213,117.1062,116.7663,60.9513,1.7552,0.8376,0.9176,True,3.9396,117.5477213896192,,14.504578007433599,118.235,,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.9383,0.121,2442685.2,2402518.15,0.9094,0.9246,92.8828,91.4143,2.13,1.19,0.59,92.8828,,4.6338,,,125.92,5.5238,131.4438,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,124.54,128.86,124.0,128.58,2787587,119.0508,,,120.0989,118.1471,117.3335,116.8839,71.4837,2.2743,1.1249,1.1494,True,4.0446,117.96129756486738,,15.89403973509934,121.98500000000001,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,1.0668,0.1412,2449888.8,2438785.9,1.1378,1.143,98.5758,94.3573,4.04,0.28,0.54,98.5758,,7.0617,,,128.86,8.4811,137.3411,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-10,128.75,128.76,125.02,127.8,2131462,119.4778,,,120.8324,118.5257,117.5407,116.9925,69.2228,2.593,1.4185,1.1744,True,4.1111,118.2557408859991,,15.637216575449573,121.98500000000001,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.9487,0.1552,2372064.6,2389629.7,0.8986,0.892,94.6083,95.3556,0.95,0.01,2.78,94.6083,,5.7664,,,128.86,6.9676,135.8276,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-11,125.5,126.48,123.6,125.61,2231013,119.7432,,,121.2874,118.8035,117.7005,117.0783,64.4373,2.6384,1.6625,0.9759,False,4.1568,118.48104306532228,17.58132880735172,15.465246155167975,121.98500000000001,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.8034,0.1615,2317059.8,2367492.55,0.9629,0.9424,83.469,92.2177,0.11,0.87,1.9,83.469,,3.5639,,,128.86,4.3226,133.1826,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-12,124.87,124.9499,120.7,120.87,2859660,119.9208,,,121.2476,118.8845,117.7633,117.116,61.5101,2.2657,1.7831,0.4826,False,4.2075,118.62785143085259,18.456585853618083,15.278838808250573,123.36250000000001,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.5494,0.1603,2314653.4,2399623.2,1.2355,1.1917,59.3591,79.1455,4.0,0.0799,0.17,59.3591,,-0.3115,,,128.86,-0.3776,128.4824,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-13,122.27,122.875,118.77,119.56,3534531,120.0278,,,121.0869,118.911,117.7988,117.1403,64.3339,1.8435,1.7952,0.0483,False,4.2029,118.7109415328137,18.092867874686146,15.29571719918423,123.815,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.4755,0.159,2465435.0,2475833.7,1.4336,1.4276,49.2081,64.0121,2.71,0.605,0.79,52.6958,,-1.261,,,128.86,-1.5269,127.3331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-14,119.1,120.23,117.95,119.55,2987874,120.0657,,,120.9405,118.9361,117.8335,117.1643,59.5783,1.4908,1.7343,-0.2435,False,3.9979,118.73122010572952,18.672065485859257,14.29337144899053,123.405,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.4729,0.1587,2512832.5,2519496.8,1.189,1.1859,32.2909,46.9527,0.45,0.68,1.15,52.645,,-1.1498,,,128.86,-1.3905,127.4695,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-17,118.48,119.33,114.91,115.74,2822423,120.0362,,,120.4452,118.8107,117.7921,117.1501,46.2369,0.8936,1.5662,-0.6726,False,4.0371,118.65928505191742,18.54065228694734,12.384996461429585,121.885,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.2757,0.1596,2559275.0,2518565.4,1.1028,1.1206,5.9498,29.1496,2.74,0.85,0.83,33.2655,,-3.9065,,,128.86,-4.7052,124.1548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-18,116.98,122.05,115.6112,119.01,3042356,120.1532,,,120.3086,118.8186,117.8162,117.1686,47.7058,0.6764,1.3882,-0.7118,False,4.2078,118.66762509910133,17.81362061780515,11.882774729751752,121.885,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.4396,0.1575,2647479.4,2551024.2,1.1492,1.1926,29.3907,22.5438,2.03,3.04,1.3688,49.8983,,-1.0794,,,128.86,-1.2986,127.5614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-19,119.03,121.34,119.01,119.45,1973129,120.2942,,,120.2268,118.8433,117.8485,117.1913,49.9556,0.5336,1.2173,-0.6837,True,4.0021,118.69657002958276,18.370778576125897,12.49357473299446,121.885,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.4547,0.155,2659144.7,2551676.95,0.742,0.7733,32.5448,22.6284,0.42,1.89,0.02,52.1363,,-0.6461,,,128.86,-0.7768,128.0832,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-20,117.17,117.85,114.69,115.69,3336804,120.4102,,,119.7947,118.7197,117.8058,117.1764,44.9201,0.1157,0.997,-0.8813,False,4.1181,118.59902159149586,18.609566130847334,10.406946289750197,121.725,119.03,,,,116.07666666666667,117.46333333333334,119.23666666666666,120.62333333333333,114.30333333333334,112.91666666666667,111.14333333333335,124.22024000000002,121.34988000000001,119.03,116.71012,113.40724,0.2382,0.1497,2770683.9,2606684.55,1.2043,1.2801,7.0572,22.9975,1.48,0.68,1.0,33.0112,,-3.4265,,,128.86,-4.1047,124.7553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
