Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,538.94,540.0,530.73,531.98,2312561,,,,533.4451,528.329,525.7181,524.1731,54.7218,4.4624,3.9105,0.5519,False,12.5943,534.2202778998891,,3.9700341819943086,535.685,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,,,2774844.4,,0.8334,,46.0803,,6.96,1.06,1.25,,,-0.2747,,,,-1.4651,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,527.98,530.88,523.6075,530.29,2071703,,,,533.1446,528.4059,525.8086,524.234,44.6945,3.6506,3.8585,-0.2079,False,11.9645,533.9627401889934,,3.582016842643193,537.6637499999999,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,,,2697640.5,,0.768,,41.4641,50.8351,2.31,0.59,4.3725,,,-0.5354,,,,-2.8546,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,531.46,540.0,529.685,539.66,2551626,,,,533.7652,528.8473,526.0829,524.3875,53.692,3.7205,3.8309,-0.1104,True,11.3292,534.0883193852153,,4.4133854196877325,537.6637499999999,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,,,2791105.4,,0.9142,,67.0582,51.5342,8.2,0.34,1.775,,,1.1044,,,,5.8948,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,543.18,553.89,542.024,551.71,2365108,,,,535.4742,529.7438,526.5904,524.6594,60.1046,4.6941,4.0036,0.6905,True,11.371,534.7646953802611,,4.397167219244011,538.74875,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,,,2740467.5,,0.863,,94.3785,67.6336,8.53,2.18,1.156,,,3.032,,,,16.2358,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,561.03,564.6144,557.43,562.75,3126156,,,,538.0719,531.0382,527.3064,525.0384,71.7297,6.2841,4.4597,1.8244,True,11.2634,536.2627665093116,,5.0733157542942395,544.11095,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,,,2720754.9,,1.149,,96.2339,85.8902,1.72,1.8644,3.6,,,4.5864,,,,24.6781,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,577.36,582.62,567.63,577.35,5302795,539.095,,,541.8127,532.8543,528.2974,525.5589,74.6248,8.6228,5.2923,3.3305,True,12.1031,539.6888119420712,,5.311526957769815,553.11375,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,1.1836,0.1038,2938185.0,3064923.8,1.8048,1.7302,91.6309,94.0811,0.01,5.26,9.72,92.3844,,6.559,,,582.62,35.5373,618.1573,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,567.68,575.42,563.4151,573.1,4577185,541.628,,,544.7924,534.4326,529.1846,526.0319,70.947,10.0179,6.2374,3.7805,True,12.4348,541.8397179073072,,4.595384969759493,553.11375,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,1.013,0.1133,3103541.9,3073125.7,1.4748,1.4894,83.8678,90.5775,5.42,2.32,4.2649,86.2428,,5.196,,,582.62,28.3076,610.9276,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,580.0,583.7089,570.78,570.97,3507482,543.207,,,547.2855,535.8654,530.012,526.4791,66.3361,10.8268,7.1553,3.6715,False,12.4162,543.5237814324342,,4.602287567035192,553.6582,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.9165,0.1227,3132113.5,3053464.0,1.1198,1.1487,78.8043,84.7677,9.03,3.7089,0.19,81.8764,,4.3276,,,583.7089,23.6845,607.3934,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,566.99,573.35,564.0,571.1,3207072,545.107,,,549.5536,537.2472,530.8256,526.9231,66.2731,11.3476,7.9938,3.3538,False,12.2698,544.6706874174065,,4.075060281784596,553.6582,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.8694,0.1291,3195631.0,3034919.45,1.0036,1.0567,79.0206,80.5643,4.11,2.25,2.99,82.0613,,3.9207,,,583.7089,21.5464,605.2553,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,575.74,578.2625,568.6,570.48,2431745,547.05,,,551.5466,538.5504,531.6108,527.3565,67.7325,11.5768,8.7104,2.8664,False,12.0917,545.5710387960382,,4.725783461057475,553.6582,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.8226,0.1328,3145343.3,2980675.7,0.7731,0.8158,77.989,78.6047,5.26,2.5225,1.88,81.1792,,3.4328,,,583.7089,18.9334,602.6423,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,573.21,576.36,566.37,575.95,3017041,549.8545,,,553.8707,540.0171,532.4888,527.84,63.7769,12.0608,9.3805,2.6804,False,11.6289,546.6273373362143,,4.299646016285826,556.69695,,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.861,0.1315,3215791.3,2995317.85,0.9382,1.0073,87.0903,81.3667,2.74,0.41,6.84,88.9614,,3.9864,,,583.7089,22.0793,605.7882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,572.57,572.99,561.62,562.95,3018531,551.842,,,554.7354,540.9164,533.092,528.1893,60.331,11.2656,9.7575,1.5081,False,11.8317,547.3433012138609,,3.6222216051029816,562.86645,548.56445,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.662,0.1243,3310474.1,3004057.3,0.9118,1.0048,65.4602,76.8465,9.62,0.42,1.33,70.4663,,1.4808,,,583.7089,8.2146,591.9235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-10,561.11,566.765,559.36,563.17,2644106,553.6635,,,555.5387,541.7891,533.6876,528.5374,58.736,10.5317,9.9123,0.6193,False,11.6538,547.8409972679965,,3.677525172659802,570.56945,549.40945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.6462,0.1174,3319722.1,3055413.75,0.7965,0.8654,65.8263,72.7923,2.06,3.595,1.75,70.7793,,1.3737,,,583.7089,7.6313,591.3402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-11,562.71,567.63,560.0,561.44,2464425,554.8505,,,556.1007,542.5597,534.2372,528.8648,64.0039,9.6986,9.8696,-0.1709,False,11.4424,548.275225399759,34.67706611161251,4.369723558802741,571.53445,549.40945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.6037,0.1145,3329653.8,3035060.65,0.7401,0.812,62.9478,64.7447,1.27,4.92,1.44,68.318,,0.9601,,,583.7089,5.3393,589.0482,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-12,557.56,563.5499,556.06,559.73,3095175,555.936,,,556.4464,543.2331,534.742,529.1719,67.7862,8.7991,9.6555,-0.8564,False,11.3152,548.6741576613841,36.137515522879234,4.418826473315647,569.88445,549.40945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.5615,0.1109,3326555.7,3023655.3,0.9304,1.0237,60.1026,62.9589,2.17,3.8199,1.5,65.8852,,0.5901,,,583.7089,3.2836,586.9925,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-13,565.61,568.275,557.7,567.04,1982635,557.5275,,,557.4553,544.1667,535.3816,529.5487,71.9718,8.5771,9.4398,-0.8627,False,11.4725,549.014523999553,39.08478810840909,4.980836232595087,569.88445,549.40945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.6608,0.1061,2994539.7,2966362.35,0.6621,0.6684,69.1453,64.0652,1.43,1.235,7.91,76.2852,,1.7194,,,583.7089,9.5847,593.2936,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-14,567.95,570.67,564.435,569.29,2473284,558.415,,,558.5824,545.1519,536.053,529.9441,69.3635,8.485,9.2488,-0.7639,True,11.1811,549.5190433917096,41.635568547187496,5.110658533905385,567.16125,549.40945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.6819,0.107,2784149.6,2943845.75,0.8883,0.8402,65.4098,64.8859,1.34,1.38,3.515,79.4862,,1.9169,,,583.7089,10.7076,594.4165,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-17,565.24,569.27,561.2601,562.26,3018950,559.348,,,558.9326,545.8228,536.572,530.2657,57.3787,7.7553,8.9501,-1.1948,False,10.7383,549.9791856915328,42.16420213547099,4.65625218261821,567.16125,551.67945,,,,575.0866666666666,578.3733333333332,582.8966666666666,586.1833333333333,570.5633333333332,567.2766666666665,562.7533333333331,569.5249696,560.7501652,553.6582,546.5662348,536.4691995999999,0.55,0.104,2735296.4,2933704.95,1.1037,1.0291,22.424,52.3264,2.98,4.03,0.9999,69.4847,,0.5953,,,583.7089,3.3274,587.0363,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
