Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,475.0,479.55,470.85,474.0,570614,,,,490.1841,492.9682,494.2148,494.9237,37.9578,-3.0823,-1.4409,-1.6414,False,11.7768,489.3793537179224,,2.4260803639120545,486.975,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,397759.4,,1.4346,,9.5599,,1.0,4.55,3.15,,,-3.3016,,,,-16.1841,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,470.0,470.0,453.2,453.55,858456,,,,486.6952,491.4224,493.4096,494.512,30.9362,-5.6053,-2.2738,-3.3316,False,12.6875,485.43832691286485,,2.251935256861365,478.15,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,447917.6,,1.9165,,0.6917,,16.45,0.0,0.35,,,-6.8103,,,,-33.1452,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,451.8,461.7,449.5,461.7,602580,,,,484.3147,490.2568,492.7817,494.1855,37.0192,-6.868,-3.1926,-3.6754,False,12.5054,483.12353906766975,,1.7135513351420821,476.3,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,475069.5,,1.2684,,22.7612,11.0043,9.9,0.0,2.3,,,-4.6694,,,,-22.6147,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,465.8,469.05,462.6,466.8,613625,,,,482.6466,489.337,492.2672,493.913,37.4023,-7.3722,-4.0285,-3.3437,True,12.2589,481.7970344534907,,2.3306627822286963,476.3,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,512090.4,,1.1983,,32.2761,18.5763,1.0,2.25,3.2,,,-3.2833,,0.0,,-15.8466,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-28,469.4,481.15,451.8,470.3,876705,,,,481.4707,488.5904,491.8322,493.6781,43.2219,-7.404,-4.7036,-2.7004,True,13.2446,480.3861204146498,,2.6965080221113666,476.3,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,570394.4,,1.537,,38.806,31.2811,0.9,10.85,17.6,,,-2.3201,,0.7498,,-11.1707,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-29,477.0,486.4,465.25,467.95,684597,,,,480.1831,487.781,491.3593,493.4221,37.7451,-7.5321,-5.2693,-2.2627,True,14.0982,479.8634849944942,,3.0398986700443325,475.9,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,,,582635.1,,1.175,,34.4216,35.1679,9.05,9.4,2.7,,,-2.5476,,0.2464,,-12.2331,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,467.3,478.4,462.55,473.3,538828,482.605,,,479.5275,487.2131,491.0017,493.2219,42.0422,-7.1197,-5.6394,-1.4803,True,14.6018,479.40614624075204,,2.445884798825976,472.025,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,0.3289,0.1127,596112.4,497594.2,0.9039,1.0829,44.403,39.2102,6.0,5.1,4.75,43.8306,,-1.2987,,1.3925,503.8,-6.2275,497.5725,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,468.95,478.9,467.5,475.15,429187,481.5775,,,479.1106,486.74,490.6878,493.042,42.1808,-6.568,-5.8251,-0.7429,True,14.8304,479.17643721201796,,2.889825406381698,468.225,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,0.3794,0.1107,598728.2,505637.6,0.7168,0.8488,47.8545,42.2264,6.2,3.75,1.45,47.2376,,-0.8267,,1.7888,503.8,-3.9606,499.8394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,474.8,496.35,474.775,486.9,546862,481.3525,,,479.8525,486.7463,490.6128,492.9809,51.8329,-5.1235,-5.6848,0.5613,True,15.2071,479.5183229443605,,3.287928604978864,472.925,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,0.6052,0.1096,624579.8,501891.8,0.8756,1.0896,69.7761,54.0112,12.1,9.45,0.025,68.8766,,1.4687,,4.3059,503.1,7.0475,510.1475,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,484.7,485.2,475.1,485.0,407738,480.8125,,,480.3427,486.6778,490.5016,492.9015,44.4215,-4.085,-5.3648,1.2798,True,14.6393,479.59919466096596,,2.9275433032446947,472.925,,,,,447.2,451.29999999999995,459.49999999999994,463.5999999999999,439.0,434.90000000000003,426.70000000000005,483.783,476.0085,469.725,463.4415,454.4955,0.5819,0.1063,612919.2,504929.95,0.6652,0.8075,66.2313,61.2873,0.3,0.2,9.6,65.3775,,0.9696,,3.8989,503.1,4.6573,507.7573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
