Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,307.37,307.37,297.37,304.97,1286216,,,,337.6466,348.9061,353.7796,356.4813,25.1983,-12.2229,-7.2377,-4.9852,False,19.5578,339.0888361242174,,1.8260924506781568,335.35,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,,,1433687.1,,0.8971,,10.0053,,2.4,0.0,7.6,,,-9.6778,,,,-32.6766,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,307.04,311.1,296.3,299.14,852666,,,,333.9793,346.9545,352.6976,355.9108,24.8964,-13.7188,-8.534,-5.1849,False,19.6168,337.67464145951396,,1.8205982485844856,324.845,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,,,1422945.7,,0.5992,,3.6869,5.8004,7.9,4.06,2.84,,,-10.4316,,,,-34.8393,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,301.665,302.15,291.79,298.22,689234,,,,330.5737,345.0433,351.6189,355.3367,22.5966,-14.8079,-9.7887,-5.0191,True,19.32,336.46433531725063,,1.848565513161787,322.59000000000003,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,,,1351620.7,,0.5099,,7.8857,7.1926,3.445,0.485,6.43,,,-9.7871,,0.0,,-32.3537,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-07-27,306.5,314.1595,303.565,309.71,870638,,,,328.5866,343.6577,350.789,354.8827,27.9426,-14.5758,-10.7462,-3.8297,True,19.595,335.46551391238927,,1.8226257110518564,322.59000000000003,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,,,1281266.7,,0.6795,,21.9769,11.1832,3.21,4.4495,2.935,,,-5.7448,,3.8529,,-18.8766,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,309.51,314.01,295.37,310.62,969977,,,,326.8755,342.3621,349.9936,354.4423,28.9705,-14.1553,-11.428,-2.7273,True,19.9092,334.33838146205693,,1.7938538977754428,312.895,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,,,1150750.1,,0.8429,,23.093,17.6519,1.11,3.39,14.14,,,-4.973,,0.0,,-16.2555,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-30,319.1,328.88,318.17,325.88,1457423,331.7,,,326.7807,341.7158,349.5161,354.1581,35.5248,-12.4472,-11.6318,-0.8154,True,19.7921,333.78140306559277,,2.1653653422450154,310.86,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,0.436,0.2741,1186245.2,1312043.15,1.2286,1.1108,41.8077,28.9592,6.78,3.0,0.93,41.8077,,-0.2756,,4.9128,373.33,-0.9007,372.4293,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,329.05,338.64,325.0,337.48,1078109,330.605,,,327.7997,341.5496,349.2777,353.9922,48.0604,-10.0417,-11.3138,1.2721,True,18.3425,333.77845368725195,,2.3364986399630845,315.21500000000003,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,0.5787,0.2642,1183141.2,1279239.95,0.9112,0.8428,74.1721,46.3576,8.43,1.16,4.05,56.0338,,2.9531,,8.6472,373.33,9.6803,383.0103,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,,,,
2026-08-03,347.65,363.6,341.75,357.97,1809242,330.7595,,,330.6731,342.1936,349.4499,354.0317,57.4096,-6.4081,-10.3327,3.9245,True,19.0367,335.06180519565436,,2.6264987458468507,327.69500000000005,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,0.8089,0.2663,1158418.3,1289063.15,1.5618,1.4035,92.1599,69.3799,10.32,5.63,5.9,81.1626,,8.255,,15.2437,373.33,27.2969,400.6269,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,356.885,383.2,356.56,380.04,2052498,331.866,,,335.3747,343.6778,350.0556,354.2905,61.7641,-1.7277,-8.6117,6.884,True,18.2839,337.576674059442,,3.1253113103063024,337.495,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,1.0032,0.2885,1253792.2,1328401.7,1.637,1.5451,96.543,87.625,23.155,3.16,0.325,96.543,,13.318,,22.3489,383.2,44.6653,427.8653,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,381.01,387.14,373.0,376.36,1623083,332.618,,,339.278,344.9594,350.5765,354.5101,65.2128,1.6654,-6.5563,8.2217,True,17.5689,339.61799221498603,,3.2525018854346888,339.46500000000003,,,,,425.42726666666664,431.9577333333333,443.54546666666664,450.0759333333333,413.8395333333333,407.30906666666664,395.7213333333333,430.31084000000004,403.83958,382.44500000000005,361.05042000000003,330.59034,0.9354,0.302,1268908.6,1337235.35,1.2791,1.2138,88.6943,92.4657,4.65,6.13,3.36,88.6943,,10.9297,,21.1641,387.14,37.082,424.222,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
