Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,1818.09,1818.09,1773.68,1799.21,246055,,,,1806.8533,1778.6149,1762.7964,1753.1693,60.06,20.7214,22.9503,-2.2289,False,54.2176,1819.3345114138983,,0.7904648855736209,1839.585,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,,,365529.7,,0.6731,,32.0851,,18.88,0.0,25.53,,,-0.423,,,,-7.6433,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,1790.8,1804.25,1771.17,1798.7,305940,,,,1806.0768,1779.4025,1763.5073,1753.6223,56.7253,17.5372,21.8677,-4.3305,False,53.7562,1817.8490558786284,,0.6643750157789071,1838.33,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,,,357552.1,,0.8557,,28.4077,39.1089,7.9,5.55,19.63,,,-0.4084,,,,-7.3768,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,1800.705,1839.91,1797.28,1801.44,303866,,,,1805.6352,1780.2667,1764.2585,1754.0981,49.05,15.0611,20.5064,-5.4453,False,52.8245,1817.5998355239094,,0.676093208914154,1838.33,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,,,347295.0,,0.875,,28.0379,29.5102,0.735,38.47,3.425,,,-0.2323,,,,-4.1952,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,1825.71,1855.44,1818.51,1819.74,329242,,,,1806.9785,1781.8147,1765.3571,1754.7513,51.3125,14.4094,19.287,-4.8776,True,53.6366,1818.3019141380507,,0.6658560978435587,1838.33,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,,,331818.0,,0.9922,,40.6944,32.38,5.97,29.73,1.23,,,0.7062,,,,12.7615,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,1839.14,1886.0,1839.14,1862.52,409005,,,,1812.2682,1784.9796,1767.2812,1755.8236,59.7655,17.1472,18.859,-1.7118,True,54.7495,1820.9631816835551,,0.7827860137013645,1828.585,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,,,331627.0,,1.2333,,70.2815,46.3379,23.38,23.48,0.0,,,2.7729,,,,50.2518,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,1845.01,1887.9999,1828.89,1885.73,370121,1823.619,,,1819.2645,1788.9306,1769.6267,1757.1162,63.26,20.9483,19.2769,1.6714,True,55.5088,1823.3671646838802,,0.7720786506227009,1829.58495,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.9265,0.0799,317821.0,358551.75,1.1646,1.0323,85.2889,65.4216,40.72,2.2699,16.12,89.7035,,3.6534,,,1905.49,66.4655,1971.9555,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,1874.0,1889.22,1851.79,1877.95,365958,1830.407,,,1824.8536,1792.4216,1771.7717,1758.3185,55.0033,23.067,20.0349,3.0321,True,52.7373,1825.7764350263915,,0.8126525670543336,1830.1950000000002,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.8611,0.0719,319942.2,351990.05,1.1438,1.0397,79.4967,78.3557,3.95,11.27,22.21,85.6495,,2.9096,,,1905.49,53.0964,1958.5864,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,1916.7,1926.0,1875.99,1898.79,442985,1837.1785,,,1831.8952,1796.5929,1774.2869,1759.7163,55.9892,26.1265,21.2532,4.8733,True,53.0924,1829.911170990555,,0.8072187962511145,1848.585,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.9766,0.0704,332879.3,353749.05,1.3308,1.2523,82.4259,82.4038,17.91,9.3,22.8,87.1905,,3.6517,,,1926.0,66.8948,1992.8948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,1889.66,1906.38,1864.56,1888.5,448426,1841.3195,,,1837.2861,1800.1971,1776.5485,1760.9977,52.7419,27.405,22.4836,4.9215,True,52.225,1832.9208669801385,,0.8206251549784797,1848.585,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.8536,0.0725,348289.7,359698.35,1.2875,1.2467,75.7799,79.2342,1.16,16.72,23.94,82.3463,,2.7875,,,1926.0,51.2139,1977.2139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,1923.25,1944.99,1909.11,1922.57,603962,1846.7675,,,1845.4084,1804.996,1779.4401,1762.6054,64.7011,30.8122,24.1493,6.6629,True,50.13,1839.1150914890077,,0.9974068845867718,1858.08,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,1.0086,0.0807,382556.0,375501.0,1.5788,1.6084,87.1016,81.7691,0.68,21.74,13.46,90.3116,,4.1813,,,1944.99,77.1616,2022.1516,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,1825.505,1833.21,1766.05,1830.0,1200540,1847.7985,,,1843.9409,1805.9766,1780.4412,1763.276,46.064,25.746,24.4687,1.2774,False,58.2129,1835.6703256388948,,0.8589168886251057,1855.52,,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.3779,0.0789,478004.5,421767.1,2.5116,2.8465,35.7382,66.2066,4.495,3.21,59.455,50.309,,-0.756,,,1944.99,-13.9409,1931.0491,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,1820.55,1851.19,1800.01,1820.69,491840,1848.4415,,,1841.7266,1806.5536,1781.2383,1763.8473,51.0792,20.7407,23.7231,-2.9823,False,56.9814,1835.1334395349659,,1.0028331289434058,1855.52,1829.2849999999999,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.3063,0.0775,496594.5,427073.3,0.9904,1.1517,30.5354,51.1251,0.14,30.5,20.54,46.2858,,-1.1422,,,1944.99,-21.0366,1923.9534,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-10,1817.415,1848.5,1806.51,1824.34,313126,1847.0475,,,1840.0707,1807.2511,1782.0918,1764.4492,48.65,16.874,22.3533,-5.4793,False,55.8236,1834.887104853079,,0.8956791032563178,1855.52,1846.995,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.3432,0.0784,497520.5,422407.75,0.6294,0.7413,32.5752,32.9496,6.925,24.16,10.905,47.8631,,-0.8549,,,1944.99,-15.7307,1929.2593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-11,1850.0,1946.0,1830.27,1940.0,803682,1850.6825,,,1849.5878,1812.4569,1785.2187,1766.1959,64.4823,22.8786,22.4583,0.4203,True,61.5107,1839.6743732451728,11.226948675342443,0.9289904115415907,1856.025,1851.163,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,1.0369,0.0899,544964.5,438391.25,1.4747,1.8333,96.6657,53.2588,90.0,6.0,19.73,97.4185,,4.8882,,,1946.0,90.4122,2036.4122,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-12,1921.0,1927.0,1827.0,1828.29,683442,1848.403,,,1847.5594,1813.0778,1786.0715,1766.8138,52.9468,18.4111,21.6489,-3.2378,False,66.0843,1840.8251186075324,12.103757200578135,0.864696693043158,1856.025,1853.45,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.3788,0.0898,572408.2,452017.6,1.194,1.512,34.5874,54.6094,92.71,6.0,1.29,49.3546,,-1.043,,,1946.0,-19.2694,1926.7306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-13,1840.0,1858.5,1815.01,1828.25,356745,1847.656,,,1845.7204,1813.6728,1786.9068,1767.4251,52.9973,14.6978,20.2587,-5.5608,False,66.8279,1840.6338892901877,13.152855255628314,0.8550754983567048,1856.025,1853.45,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.3838,0.0904,571070.6,444445.8,0.6247,0.8027,34.5652,55.2728,11.75,18.5,13.24,49.3374,,-0.9465,,,1946.0,-17.4704,1928.5296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-14,1837.265,1874.98,1832.01,1844.58,269802,1847.014,,,1845.6118,1814.8848,1788.0488,1768.1928,54.2583,12.9238,18.7917,-5.8679,False,67.1207,1840.8367698025145,13.842353224679233,0.8513446829640284,1856.025,1853.45,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.4854,0.0903,561455.0,440698.6,0.4805,0.6122,43.6399,37.5975,7.315,30.4,5.255,56.3635,,-0.0559,,,1946.0,-1.0318,1944.9682,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-17,1823.39,1829.1771,1767.51,1787.57,533820,1845.697,,,1840.084,1813.8137,1788.0393,1768.3856,47.05,6.8388,16.4011,-9.5623,False,68.7686,1839.0391721734288,13.560001814267936,0.7270763977602306,1856.025,1856.025,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.1634,0.0936,570538.5,451708.9,0.9356,1.1818,11.9589,30.0546,35.82,5.7871,20.06,31.8346,,-2.8539,,,1946.0,-52.514,1893.486,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-18,1782.06,1813.99,1759.21,1779.14,340286,1843.033,,,1834.2798,1812.4539,1787.8631,1768.4926,41.8399,1.3209,13.3851,-12.0642,False,67.9486,1837.7065782952031,12.574908522539943,0.6307291891692444,1852.605,1852.605,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.1497,0.099,559724.5,454007.1,0.608,0.7495,10.6697,22.0895,2.92,31.93,19.93,28.2076,,-3.0061,,,1946.0,-55.1398,1890.8602,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-19,1780.5,1918.17,1771.0,1908.65,708131,1847.333,,,1841.3627,1816.2263,1790.2549,1769.8872,51.8568,7.314,12.1709,-4.8568,True,74.2386,1839.063525470011,11.980836020829155,0.6735043392922428,1852.605,1852.605,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.8221,0.1031,570141.4,476348.7,1.242,1.4866,80.0043,34.211,128.15,9.52,9.5,83.93,,3.6542,,,1946.0,67.2873,2013.2873,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-20,1897.76,1929.64,1885.33,1921.96,399504,1853.4705,,,1849.0386,1820.3727,1792.8629,1771.4004,53.5336,12.9879,12.3343,0.6536,True,74.73,1840.9971612598786,12.87718228550436,0.6690753378830453,1852.605,1852.605,,,,1912.3100000000002,1939.2900000000004,1956.6200000000003,1983.6000000000006,1894.9800000000002,1868.0,1850.67,1901.91756,1874.64622,1852.605,1830.56378,1799.18306,0.8498,0.1057,490037.8,484021.15,0.8153,0.8254,87.1299,59.268,24.2,7.68,12.43,89.6567,,3.9437,,,1946.0,72.9214,2018.9214,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
