Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,172.05,174.65,169.73,170.76,4593285,,,,161.1697,160.2712,160.071,160.0023,68.0965,1.55,0.2089,1.3411,True,4.7707,162.82113270395752,,10.480626561800515,165.78,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,,,4042452.4,,1.1363,,76.1062,,1.29,2.6,1.03,,,5.9504,,,,9.5903,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-23,170.99,171.99,168.315,169.59,4736773,,,,161.9716,160.6366,160.2595,160.0977,64.9853,2.0136,0.5699,1.4437,True,4.8625,163.42548072000824,,10.282776349614393,166.04,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,,,4133127.6,,1.1461,,70.9292,74.3805,1.4,1.0,1.275,,,4.7035,,,,7.6184,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-24,170.31,173.35,169.46,172.62,4101308,,,,162.9858,161.1066,160.5042,160.2223,70.8708,2.5955,0.975,1.6205,True,4.8261,163.9977122282741,,11.840449937097604,166.04,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,,,4348726.3,,0.9431,,84.3363,77.1239,2.31,0.73,0.85,,,5.9111,,,,9.6342,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,175.16,179.29,173.52,178.23,4826348,,,,164.4376,161.7781,160.8552,160.4015,77.5177,3.4694,1.4739,1.9955,True,5.0546,164.9653322487769,,12.71815162862997,168.14499999999998,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,,,4658719.4,,1.036,,95.8803,83.7153,3.07,1.06,1.64,,,8.3876,,,,13.7924,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,179.6,184.895,178.975,182.48,5501439,,,,166.1559,162.5899,161.2834,160.6212,86.8631,4.4536,2.0698,2.3838,True,5.2129,166.30522229606035,,13.702384214853376,171.9525,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,,,4850948.2,,1.1341,,92.0284,90.7483,2.88,2.415,0.625,,,9.8246,,,,16.3241,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,177.61,178.42,173.96,176.07,2811850,164.058,,,167.1001,163.1186,161.5762,160.7749,73.855,4.6626,2.5884,2.0742,False,5.6279,166.6832201811325,,11.422769386978041,171.9525,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,0.8587,0.2041,4803538.5,3661665.75,0.5854,0.7679,70.0797,85.9961,1.54,0.81,2.11,71.8366,,5.368,,,184.895,8.9699,193.8649,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,176.5,177.14,174.93,176.28,2675801,164.874,,,167.9744,163.6347,161.8674,160.9292,72.6133,4.7899,3.0287,1.7612,False,5.5664,167.01574974898358,,10.265622994995507,171.9525,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,0.8263,0.212,4723003.4,3662347.0,0.5665,0.7306,70.2675,77.4585,0.22,0.64,1.35,72.5068,,4.9446,,,184.895,8.3056,193.2006,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,178.0,179.44,176.13,177.23,2748788,165.7135,,,168.8559,164.1678,162.1716,161.0914,73.1124,4.9109,3.4051,1.5058,False,5.6143,167.3856281540704,,10.178117048346056,176.60500000000002,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,0.8168,0.2194,4705607.9,3707902.75,0.5842,0.7413,73.5462,71.2978,0.77,1.44,1.1,75.5385,,4.9593,,,184.895,8.3741,193.2691,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,179.17,181.67,176.6,181.45,2980022,166.8285,,,170.0553,164.8456,162.5534,161.294,77.4201,5.2864,3.7814,1.505,False,5.7014,167.84268251665162,,11.275369581558511,176.60500000000002,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,0.881,0.2301,4597411.7,3747887.9,0.6482,0.7951,87.6501,77.1546,2.28,0.22,2.57,89.0059,,6.7006,,,184.895,11.3947,196.2897,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,181.09,183.38,181.09,182.08,2728125,168.032,,,171.2005,165.5214,162.94,161.5008,75.6365,5.5705,4.1392,1.4313,False,5.405,168.30641274398275,,11.893749174045205,176.60500000000002,,,,,179.32000000000002,180.74000000000004,183.39000000000001,184.81000000000003,176.67000000000004,175.25000000000003,172.60000000000005,180.98212,178.56144,176.60500000000002,174.64856,171.86312,0.8535,0.2365,3770373.9,3792314.4,0.7236,0.7194,89.125,83.4404,0.99,1.3,0.0,91.0164,,6.3548,,,184.895,10.8795,195.7745,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
