Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,12.48,12.565,12.46,12.5,429418,,,,12.2361,12.1731,12.1685,12.1718,53.8462,0.1217,0.0311,0.0906,False,0.4154,12.22237819203967,,85.98452278589852,12.3325,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,,,725280.1,,0.5921,,58.6563,,0.02,0.065,0.02,,,2.1571,,,,0.2639,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-23,12.43,12.51,12.25,12.4,1324824,,,,12.2517,12.182,12.1731,12.1741,58.9474,0.1184,0.0486,0.0699,False,0.3975,12.241979563413155,,89.8472596585804,12.3325,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,,,797755.5,,1.6607,,53.4884,56.2446,0.03,0.08,0.15,,,1.2107,,,,0.1483,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,12.22,12.355,12.125,12.21,997448,,,,12.2477,12.1831,12.1738,12.1745,54.0682,0.0993,0.0587,0.0406,False,0.3993,12.240992160305215,,89.44543828264756,12.4025,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,,,835180.3,,1.1943,,43.6693,51.938,0.01,0.135,0.085,,,-0.3078,,,,-0.0377,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,12.43,12.54,12.295,12.46,619779,,,,12.2679,12.1939,12.1795,12.1773,59.8446,0.1032,0.0676,0.0356,False,0.4064,12.250281846238275,,105.44815465729349,12.7125,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,,,822076.5,,0.7539,,56.5891,51.2489,0.03,0.08,0.135,,,1.5657,,,,0.1921,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,12.39,12.65,12.365,12.51,442973,,,,12.291,12.2063,12.186,12.1806,59.2105,0.109,0.0759,0.0331,False,0.4075,12.258965243659107,,105.17090271691501,12.7125,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,,,814109.5,,0.5441,,59.1731,53.1438,0.12,0.14,0.025,,,1.782,,,,0.219,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,12.95,13.145,12.95,13.09,422956,12.214,,,12.3671,12.241,12.2039,12.1897,70.0495,0.1586,0.0924,0.0662,True,0.4236,12.283952649623098,,118.04384485666108,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.9248,0.1688,705239.8,679357.0,0.5997,0.6226,89.1473,68.3032,0.14,0.055,0.0,89.1473,,5.8456,,,13.3,0.7229,14.0229,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,13.06,13.1,12.835,13.0,542625,12.255,,,12.4274,12.2707,12.2197,12.1977,65.8793,0.1885,0.1117,0.0768,True,0.4089,12.310618933067888,,104.8034934497817,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.842,0.1777,640593.4,679780.2,0.8471,0.7982,84.4961,77.6055,0.06,0.04,0.165,84.4961,,4.608,,,13.3,0.5726,13.8726,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,12.98,12.985,12.79,12.85,439849,12.3115,,,12.4676,12.2935,12.2322,12.2042,69.9164,0.1978,0.1289,0.0689,False,0.3936,12.327657301270987,,108.89292196007258,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.7471,0.177,627721.9,677217.2,0.7007,0.6495,74.9304,82.8579,0.13,0.005,0.06,76.7442,,3.0671,,,13.3,0.3824,13.6824,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,12.49,12.52,12.3064,12.39,645388,12.336,,,12.4602,12.2972,12.2353,12.2061,60.9137,0.1661,0.1363,0.0298,False,0.4174,12.33095780893533,,102.67643233623112,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.5252,0.1739,642961.0,681267.9,1.0038,0.9473,22.5532,60.6599,0.1,0.03,0.0836,52.9716,,-0.5635,,,13.3,-0.0702,13.2298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,12.4,12.5,12.28,12.29,449960,12.3655,,,12.444,12.297,12.2364,12.2069,44.4068,0.1314,0.1353,-0.0039,False,0.3388,12.331696269560052,,105.40517750231894,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.4634,0.1666,631522.0,685090.05,0.7125,0.6568,14.0426,37.1754,0.11,0.1,0.01,47.8036,,-1.2376,,,13.3,-0.154,13.146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-06,12.34,12.56,12.34,12.56,586972,12.403,,,12.455,12.3073,12.2428,12.2104,42.8571,0.1243,0.1331,-0.0088,False,0.3095,12.337293343971655,,115.37751522983204,12.635,,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.5786,0.1611,647277.4,686278.75,0.9068,0.8553,42.6471,26.4143,0.22,0.0,0.0,61.7571,,0.8426,,,13.3,0.105,13.405,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,12.58,12.61,12.39,12.55,347661,12.457,,,12.4641,12.3168,12.2489,12.2138,46.2406,0.1165,0.1298,-0.0133,False,0.3003,12.341050128925835,,142.73479874393388,12.712499999999999,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.5517,0.1443,549561.1,673658.3,0.6326,0.5161,41.6667,32.7854,0.03,0.03,0.16,61.2403,,0.6892,,,13.3,0.0859,13.3859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,12.5,12.605,12.455,12.52,409825,12.4935,,,12.4694,12.3248,12.2542,12.2168,44.9057,0.1067,0.1252,-0.0185,False,0.2953,12.345522374162865,,120.95993806851183,12.712499999999999,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.5157,0.1348,490798.8,662989.55,0.835,0.6181,38.7255,41.0131,0.02,0.085,0.045,59.6899,,0.4057,,,13.3,0.0506,13.3506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-11,12.14,12.14,11.925,12.04,555905,12.5245,,,12.4285,12.3136,12.25,12.2151,42.5,0.0594,0.112,-0.0526,False,0.3117,12.335695004591907,23.66909672127287,114.5842882024018,12.535,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.1594,0.1136,484411.4,653243.95,1.1476,0.851,9.4262,29.9395,0.1,0.0,0.115,34.8837,,-3.126,,,13.3,-0.3885,12.9115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-12,11.97,12.06,11.835,11.9,585012,12.543,,,12.3782,12.2974,12.2431,12.2119,39.6552,0.0106,0.0917,-0.0811,False,0.3203,12.322672578285093,24.421818186275942,111.51753055580343,12.467500000000001,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,-0.0227,0.0981,498615.3,656362.4,1.1733,0.8913,4.9618,17.7045,0.07,0.09,0.065,27.6486,,-3.8631,,,13.3,-0.4782,12.8218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-13,11.8,11.94,11.72,11.81,647238,12.5025,,,12.3241,12.2783,12.2345,12.2079,39.7924,-0.0349,0.0664,-0.1014,False,0.3174,12.30547933212307,24.79101354850581,112.52137906202188,12.3525,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.002,0.1112,521043.5,613141.65,1.2422,1.0556,6.3158,6.9013,0.01,0.13,0.08,22.9974,,-4.1713,,,13.3,-0.5141,12.7859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-14,11.71,11.82,11.7,11.8,596889,12.444,,,12.2742,12.2595,12.2259,12.2039,42.4354,-0.071,0.0389,-0.11,False,0.3063,12.289101870334408,25.206051009236592,116.5881639695939,12.155,12.3325,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.0564,0.1167,526469.9,583531.65,1.1338,1.0229,6.9204,6.066,0.09,0.02,0.01,22.4806,,-3.8631,,,13.145,-0.4742,12.6708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-17,10.82,11.03,10.69,10.76,1802120,12.3445,,,12.13,12.2007,12.1969,12.1895,25.7143,-0.1815,-0.0052,-0.1763,False,0.362,12.164766565681841,27.564737386369245,78.91725525786212,11.649999999999999,11.995000000000001,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,-0.2686,0.167,662697.0,645209.45,2.7194,2.7931,2.8513,5.3625,0.06,0.21,0.07,2.682,,-11.294,,,13.145,-1.37,11.775,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,
2026-08-18,10.69,10.77,10.64,10.68,786844,12.239,,,11.9919,12.1411,12.1668,12.1745,24.0793,-0.2723,-0.0586,-0.2137,False,0.351,12.112219456243738,30.28500165212945,61.055030934549016,11.625,11.97,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,-0.1247,0.2039,676842.6,659901.8,1.1625,1.1924,1.5968,3.7895,0.01,0.08,0.04,1.5038,,-10.9396,,,13.145,-1.3119,11.8331,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-19,10.81,11.15,10.8,11.12,992300,12.172,,,11.9088,12.101,12.1461,12.164,20.944,-0.3053,-0.1079,-0.1973,True,0.3392,12.065191492656947,32.0624713138569,63.17651518342248,11.625,11.97,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.107,0.2199,731076.6,681299.3,1.3573,1.4565,19.5122,7.9868,0.31,0.03,0.01,18.0451,,-6.6239,,,13.145,-0.7888,12.3562,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-20,11.12,11.175,11.005,11.13,680253,12.1035,,,11.8347,12.0629,12.126,12.1537,21.7523,-0.3268,-0.1517,-0.1751,True,0.3324,12.03753223394963,34.2980166735374,85.95495960116897,11.6225,11.97,,,,11.103333333333333,11.201666666666666,11.273333333333333,11.371666666666666,11.031666666666666,10.933333333333334,10.861666666666666,12.55382,12.18809,11.8925,11.596910000000001,11.17607,0.1539,0.2324,740404.7,693841.05,0.9188,0.9804,20.8955,14.0015,0.01,0.045,0.115,18.4211,,-5.9542,,0.0,13.145,-0.7047,12.4403,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
