Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,399.58,401.0,386.96,390.34,28076484,,,,390.5559,387.4748,386.0253,385.1938,54.0325,3.0045,2.2304,0.7741,False,10.7771,389.74075871113814,,4.639451643326908,392.32,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,,,29863286.2,,0.9402,,52.0527,,9.24,1.42,3.38,,,-0.0553,,,,-0.2159,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,389.965,391.78,377.39,381.58,30304943,,,,389.7011,387.2436,385.9373,385.1578,44.2657,1.906,2.1655,-0.2595,False,11.1979,389.373888815853,,3.8272653104964647,391.69,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,,,29785460.8,,1.0174,,25.2145,50.674,8.385,1.815,4.19,,,-2.0839,,,,-8.1211,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,387.05,389.03,380.65,381.7,27625213,,,,388.9391,387.0262,385.8533,385.1234,46.5974,1.0333,1.9391,-0.9058,False,11.1343,389.08640534171013,,3.8491171729004163,391.69,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,,,30083521.6,,0.9183,,25.5821,34.2831,5.35,1.98,1.05,,,-1.8612,,,,-7.2391,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,390.08,394.2,387.99,389.1,27787446,,,,388.9544,387.1075,385.9176,385.163,50.1638,0.928,1.7369,-0.8089,True,11.3964,389.15259745223346,,3.7605789787395647,391.69,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,,,29970778.5,,0.9272,,48.2537,33.0167,0.98,4.12,1.11,,,0.0374,,,,0.1456,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,393.16,400.32,391.3,393.35,32259300,,,,389.373,387.3524,386.0648,385.2444,56.4076,1.174,1.6243,-0.4503,True,11.6614,389.4683955844104,,4.28764197454488,391.69,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,,,30414469.3,,1.0607,,61.2745,45.0368,0.19,6.97,1.86,,,1.0214,,,,3.977,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,437.9,458.69,432.44,451.1,109985048,392.8415,,,395.2518,389.8523,387.3526,385.8997,74.7478,5.9602,2.4915,3.4687,True,15.5214,398.491250423407,,3.681547943648385,418.03999999999996,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,1.4709,0.1528,37792905.6,35314267.25,2.9102,3.1145,90.6642,66.7308,13.2,7.59,5.46,91.1062,,14.1298,,,458.69,55.8482,514.5382,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,450.0,466.84,449.33,464.72,60750759,396.8635,,,401.8678,392.7882,388.8847,386.684,76.9496,10.7286,4.1389,6.5897,True,16.0286,403.38636022007563,,3.5650639773012367,422.115,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,1.2775,0.2199,40172779.2,35948515.15,1.5122,1.6899,97.63,83.1896,14.72,2.12,0.67,97.7324,,15.64,,,466.84,62.8522,529.6922,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,476.125,491.65,475.0,487.65,66658456,401.7215,,,410.0375,396.5083,390.8404,387.6886,79.3336,16.1715,6.5454,9.6261,True,17.2736,409.893162395367,,3.3081103701403336,434.52,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,1.223,0.2959,43536990.8,37171717.45,1.5311,1.7933,96.4992,94.9311,11.525,4.0,1.125,96.6188,,18.9281,,,491.65,77.6125,569.2625,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-04,480.9,499.4399,479.17,492.81,50262671,407.025,,,417.9206,400.2849,392.8596,388.7346,82.9183,20.6631,9.369,11.2942,True,17.84,414.4750276751776,,3.603462206487994,438.41495,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,1.0999,0.3513,45776665.6,37973623.85,1.098,1.3236,94.5679,96.2324,11.91,6.6299,1.73,94.7419,,17.9195,,,499.4399,74.8894,574.3293,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,496.355,498.24,485.68,487.46,33287109,411.956,,,424.5434,403.7035,394.7329,389.7169,78.9666,23.52,12.1992,11.3208,True,17.735,417.23254815891084,,3.222041340401417,438.41495,,,,,481.6033333333333,483.7066666666666,486.2633333333333,488.3666666666666,479.04666666666657,476.94333333333327,474.38666666666654,481.55376,461.64812,445.56,429.47188,406.56676,0.9755,0.3854,46699742.9,38173103.1,0.7128,0.872,90.1844,93.7505,8.895,1.885,1.78,90.4989,,14.8198,,,499.4399,62.9166,562.3565,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
