Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,42.45,42.91,41.57,42.21,18977647,,,,43.2327,43.1776,43.1302,43.0984,45.614,-0.0087,0.08,-0.0887,False,1.4497,43.11211358801481,,24.635153378464953,43.275,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,,,15855846.2,,1.1969,,18.4704,,0.24,0.46,0.64,,,-2.3657,,,,-1.0227,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,41.8,42.08,40.69,40.99,18129178,,,,43.0192,43.0918,43.0878,43.0774,34.3117,-0.1855,0.0269,-0.2124,False,1.4172,43.01638104020322,,20.160070963449794,42.834999999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,,,15704059.5,,1.1544,,6.993,27.7771,0.81,0.28,0.3,,,-4.7169,,,,-2.0292,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,41.19,42.15,40.885,41.7,26167824,,,,42.8935,43.0372,43.0604,43.0637,41.6667,-0.2652,-0.0315,-0.2337,False,1.3454,42.916874250463465,,26.544632144487746,42.834999999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,,,15989488.9,,1.6366,,23.5431,16.3355,0.51,0.45,0.305,,,-2.7825,,,,-1.1935,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,42.15,42.6,41.5801,42.14,16968575,,,,42.8218,43.002,43.0421,43.0545,44.7291,-0.2896,-0.0831,-0.2065,True,1.3354,42.88208273776567,,32.09225453436813,42.834999999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,,,16319794.6,,1.0398,,33.7995,21.4452,0.01,0.45,0.5599,,,-1.5921,,,,-0.6818,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,42.75,43.27,42.515,43.05,23601772,,,,42.8435,43.0039,43.0423,43.0545,50.7449,-0.2328,-0.1131,-0.1198,True,1.3315,42.88562898174563,,37.5514320506837,42.834999999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,,,17371832.7,,1.3586,,55.0117,37.4514,0.3,0.22,0.235,,,0.482,,,,0.2065,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,42.5,42.5,41.23,42.29,16945083,43.0135,,,42.7908,42.9759,43.0274,43.0469,47.849,-0.2463,-0.1397,-0.1066,True,1.3951,42.85144363800138,,35.84027525331394,42.834999999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,0.2951,0.0821,17628546.4,21784320.05,0.9612,0.7779,37.296,42.0357,0.21,0.0,1.06,44.264,,-1.1703,,,45.035,-0.5008,44.5342,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,42.02,42.075,41.49,41.71,22598628,42.946,,,42.6878,42.9263,43.0013,43.0336,37.1869,-0.3003,-0.1718,-0.1285,False,1.3201,42.79754095391837,,32.46559999134251,42.263099999999994,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,0.1675,0.0866,18297380.7,18904964.25,1.2351,1.1954,23.7762,38.6946,0.31,0.055,0.22,32.4873,,-2.2907,,,45.035,-0.9778,44.0572,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,42.57,43.205,42.06,42.64,21320007,42.8735,,,42.6833,42.915,42.9941,43.0296,44.7664,-0.265,-0.1905,-0.0746,True,1.3391,42.79031547875608,,32.003242995290194,42.125,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,0.4345,0.0831,18847742.3,18257748.5,1.1312,1.1677,45.4545,35.5089,0.07,0.565,0.51,51.3706,,-0.1014,,,44.98,-0.0433,44.9367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-04,41.35,42.0899,40.911,41.53,27751369,42.783,,,42.5735,42.8607,42.9652,43.0147,43.9047,-0.3229,-0.217,-0.106,False,1.3182,42.720301221467516,,32.51133832924233,41.980000000000004,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,0.164,0.0872,20431129.2,18546361.3,1.3583,1.4963,19.5804,29.6037,0.18,0.5599,0.439,28.8325,,-2.4509,,,44.98,-1.0435,43.9365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-05,41.645,42.48,41.36,42.45,22077590,42.745,,,42.5617,42.8446,42.955,43.0091,48.6371,-0.2912,-0.2318,-0.0594,True,1.3196,42.69429543388917,,37.8888341605729,41.980000000000004,,,,,40.2167,40.628400000000006,41.046800000000005,41.45850000000001,39.798300000000005,39.3866,38.9682,42.229240000000004,41.58538,41.065,40.54462,39.80374,0.4206,0.087,21453767.3,18760997.75,1.0291,1.1768,41.0256,35.3535,0.805,0.03,0.285,47.5127,,-0.2624,,,44.98,-0.1117,44.8683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
