Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,100.87,101.16,94.74,95.46,43046535,,,,104.7584,105.541,105.7135,105.7696,34.0136,-1.3181,-0.25,-1.068,False,5.8512,104.67553938411268,,7.324513804877392,103.88499999999999,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,,,19792767.9,,2.1749,,3.7795,,5.41,0.29,0.72,,,-8.876,,,,-9.2984,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-23,100.005,100.25,91.5311,91.94,48905587,,,,103.5376,105.0076,105.4407,105.632,29.6548,-2.1641,-0.6329,-1.5313,False,6.1997,103.2538590847526,,5.760654041617268,102.28055,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,,,23259190.2,,2.1026,,1.837,9.7498,8.065,0.245,0.4089,,,-11.2013,,,,-11.5976,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,94.92,98.925,94.87,98.78,29563831,,,,103.0845,104.7634,105.3088,105.5638,38.7232,-2.2567,-0.9576,-1.2991,True,6.1773,102.80468781963441,,4.625261327264989,100.14054999999999,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,,,25105878.3,,1.1776,,32.5663,12.7276,3.86,0.145,0.05,,,-4.1757,,,,-4.3045,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,101.87,108.1488,100.35,105.56,32473423,,,,103.3202,104.7946,105.3138,105.5638,44.1975,-1.7626,-1.1186,-0.644,True,6.4279,102.9538831489113,,4.444918569091813,100.14054999999999,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,,,26692495.1,,1.2166,,65.254,33.2191,3.69,2.5888,1.52,,,2.1678,,,,2.2398,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,106.88,112.28,106.5,110.62,33572870,,,,104.0154,105.0231,105.4189,105.6141,53.0433,-0.9518,-1.0853,0.1334,True,6.5272,103.47258690551595,,5.471632866566572,101.90555,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,,,27732495.4,,1.2106,,88.7901,62.2035,3.74,1.66,0.38,,,6.3496,,,,6.6046,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,110.5,113.115,106.38,110.07,29681599,105.1195,,,104.5921,105.221,105.511,105.6585,51.3326,-0.3496,-0.9381,0.5885,True,6.4554,103.8732697383905,,6.638974765256916,102.32305,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.7454,0.1919,29326208.4,23639673.4,1.0121,1.2556,85.8923,79.9788,0.43,2.615,3.69,83.2876,,5.2374,,,113.79,5.4779,119.2679,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,108.5,112.39,106.05,111.23,20464875,105.391,,,105.2242,105.4567,105.6242,105.7139,53.8112,0.2188,-0.7068,0.9255,True,6.4947,104.12289883125828,,5.4990134769822285,102.32305,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.7794,0.1983,29346544.4,23339987.45,0.6974,0.8768,91.2666,88.6497,2.73,1.16,2.45,88.499,,5.7076,,,113.79,6.0058,119.7958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,114.51,119.64,113.7,114.19,24449035,105.7845,,,106.0781,105.7991,105.7939,105.7982,53.2134,0.8977,-0.3859,1.2835,True,6.7113,104.67640323458251,,5.321543630804075,105.58555,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.8764,0.2111,30172129.1,23548608.2,0.8103,1.0382,80.6111,85.9233,0.32,5.13,0.49,80.6111,,7.6471,,,119.64,8.1119,127.7519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,112.59,118.33,112.0,118.14,19368333,106.295,,,107.2269,106.2831,106.0383,105.921,65.4069,1.7345,0.0382,1.6963,True,6.5455,105.09041109330009,,5.456269635750353,105.58555,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.9761,0.2341,30058908.4,23690799.5,0.6443,0.8175,94.6636,88.8471,5.55,0.19,0.59,94.6636,,10.1776,,,119.64,10.9131,130.5531,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,119.9,120.0,115.71,117.22,15496768,106.6195,,,108.1786,106.712,106.2598,106.0335,64.2158,2.2969,0.4899,1.807,True,6.5363,105.4424549084895,,5.464021060522776,105.76554999999999,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.9003,0.2483,29702285.6,23348669.7,0.5217,0.6637,90.235,88.5032,2.68,0.1,1.51,90.235,,8.3578,,,120.0,9.0414,129.0414,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,113.0,117.42,111.8,117.35,16218815,107.098,,,109.0521,107.1292,106.4794,106.1461,65.3899,2.7218,0.9363,1.7855,False,6.4698,105.72990639365594,,5.520122502558577,107.435,,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,0.864,0.263,27019513.6,23406140.75,0.6003,0.6929,90.6916,91.8634,4.35,0.07,1.2,90.6916,,7.6091,,,120.0,8.2979,128.2979,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,121.665,126.15,120.96,124.88,26658387,107.9,,,110.5595,107.8253,106.8437,106.3325,71.5968,3.6243,1.4739,2.1504,True,6.8706,106.54771246549116,,6.237803794040192,113.25,108.84055000000001,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,1.025,0.2997,24794793.6,24026991.9,1.0752,1.1095,96.3315,92.4193,3.215,1.27,0.705,96.3315,,12.9528,,,126.15,14.3205,140.4705,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-10,124.72,127.89,123.28,127.44,17194330,108.8865,,,112.1672,108.5945,107.2516,106.5425,72.207,4.4943,2.078,2.4163,True,6.707,107.09936273136891,,7.454921686047686,116.97,109.71055,,,,129.33333333333334,131.5666666666667,133.38333333333335,135.6166666666667,127.51666666666668,125.28333333333333,123.46666666666667,121.7999396,116.0155802,111.34055000000001,106.6655198,100.0095446,1.0048,0.3376,23557843.5,24331860.9,0.7299,0.7067,98.7623,95.2618,2.72,0.45,1.44,98.7623,,13.6161,,,127.89,15.2728,143.1628,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
