Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,14.43,14.55,13.9,14.51,94370493,,,,13.7999,13.6008,13.506,13.451,66.092,0.2006,0.1227,0.0779,True,0.5219,13.844408493674123,,109.49643411175256,13.940000000000001,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,,,138653430.4,,0.6806,,97.2696,,0.08,0.04,0.53,,,5.1453,,,,0.7101,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-23,14.42,14.51,14.09,14.19,181324738,,,,13.8371,13.6239,13.5196,13.4584,58.1006,0.206,0.1394,0.0667,False,0.5214,13.884683038800137,,109.58904109589037,13.940000000000001,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,,,146996036.5,,1.2335,,75.4266,90.0281,0.23,0.09,0.1,,,2.5504,,,,0.3529,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-24,14.185,14.35,14.0,14.09,91418518,,,,13.8612,13.6422,13.5309,13.4647,50.4644,0.2,0.1515,0.0485,False,0.5,13.896794313555532,,99.99999999999997,13.940000000000001,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,,,143714173.1,,0.6361,,68.6007,80.4323,0.095,0.165,0.09,,,1.6508,,,,0.2288,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,14.25,14.685,14.23,14.53,68241674,,,,13.9249,13.677,13.5506,13.4753,64.2857,0.228,0.1668,0.0612,True,0.4875,13.916304349009383,,102.56410256410254,14.0075,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,,,137234378.8,,0.4973,,90.3125,78.1133,0.28,0.155,0.02,,,4.3456,,,,0.6051,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,14.53,14.845,14.44,14.68,59260156,,,,13.9968,13.7163,13.573,13.4872,70.9265,0.2594,0.1853,0.0741,True,0.4939,13.93710007062716,,115.6905278380332,14.0875,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,,,127885495.2,,0.4634,,90.625,83.1794,0.15,0.165,0.09,,,4.8812,,,,0.6832,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,14.1,14.53,14.0199,14.49,49370626,13.963,,,14.0438,13.7467,13.5912,13.4972,63.5762,0.2658,0.2014,0.0644,False,0.4914,13.946485090796141,,101.74270722809256,14.0875,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,0.832,0.1137,114813946.9,107719073.5,0.43,0.4583,76.5677,85.8351,0.39,0.04,0.0801,79.8295,,3.1774,,,14.845,0.4462,15.2912,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,14.48,14.575,14.235,14.33,47604031,14.01,,,14.071,13.7695,13.6058,13.5055,59.2233,0.2551,0.2121,0.0429,False,0.4814,13.955857113076638,,103.85602587498697,14.2075,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,0.7101,0.1087,101186958.3,106563753.1,0.4705,0.4467,66.0066,77.7331,0.15,0.095,0.095,70.7386,,1.8405,,,14.845,0.259,15.104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,14.46,14.535,14.255,14.44,30452850,14.0515,,,14.1062,13.7958,13.6223,13.5148,62.3794,0.2525,0.2202,0.0323,False,0.4832,13.962052108431312,,103.47223248732462,14.355,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,0.7556,0.1082,93002886.1,105293960.55,0.3274,0.2892,73.2673,71.9472,0.02,0.075,0.185,76.9886,,2.3666,,,14.845,0.3338,15.1788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,14.56,14.74,14.26,14.33,51542717,14.065,,,14.1275,13.8168,13.6363,13.5229,55.8621,0.2389,0.2239,0.0149,False,0.4739,13.972913206327478,,105.49954032343139,14.3725,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,0.672,0.1095,82070883.9,105107865.9,0.628,0.4904,66.0066,68.4268,0.23,0.18,0.07,70.7386,,1.4335,,,14.845,0.2025,15.0475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,14.5,14.6595,14.31,14.48,65778945,14.1085,,,14.1611,13.8428,13.653,13.5324,60.2041,0.2374,0.2266,0.0108,False,0.4668,13.987197190273932,,107.12208857466408,14.4225,,,,,14.38,14.620000000000001,15.03,15.27,13.970000000000002,13.730000000000002,13.320000000000004,15.5474,15.1313,14.794999999999998,14.458699999999999,13.979899999999999,0.7443,0.1078,73936474.8,104865470.4,0.8897,0.6273,75.9076,71.7272,0.02,0.1595,0.17,79.2614,,2.2523,,,14.845,0.3189,15.1639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
