Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,205.805,214.39,204.95,212.06,137255743,,,,203.9736,200.8895,199.3941,198.5307,62.7241,2.8531,2.251,0.6021,True,7.4604,203.48507602756712,,6.702092010148877,206.18,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,,,125106220.1,,1.0971,,89.9785,,6.255,2.33,0.855,,,3.9644,,,,8.0864,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,209.455,210.8687,205.96,208.76,110285433,,,,204.4294,201.1981,199.5795,198.6325,62.1236,2.8742,2.3756,0.4986,False,7.3457,203.75907089330695,,6.806690003889534,206.18,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,,,122931027.5,,0.8971,,75.7849,79.001,0.695,1.4137,2.8,,,2.1184,,,,4.3306,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-24,207.45,211.9099,204.81,206.84,114677508,,,,204.659,201.4194,199.7233,198.7142,59.6249,2.7048,2.4414,0.2633,False,7.5986,203.97794609914138,,6.5801904307110615,206.18,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,,,119556678.2,,0.9592,,67.5269,77.7634,0.61,4.4599,2.03,,,1.0657,,,,2.181,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,208.2,208.75,195.44,196.51,153900286,,,,203.8829,201.2269,199.6597,198.6922,49.6893,1.7172,2.2966,-0.5794,False,8.03,203.72727662070912,,6.2266556010101395,204.915,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,,,122805605.0,,1.2532,,7.5013,50.271,11.69,0.55,1.07,,,-3.6163,,,,-7.3729,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,195.0,198.7,192.74,197.01,133228755,,,,203.2284,201.0615,199.6072,198.6755,44.1635,0.9638,2.03,-1.0663,False,7.7343,203.31222596423524,,5.54119462614945,203.565,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,,,123722070.2,,1.0768,,19.7229,31.5837,2.01,1.69,2.26,,,-3.0598,,,,-6.2184,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,193.45,197.25,191.52,195.04,128499049,203.379,,,202.4485,200.8254,199.5168,198.6393,43.7114,0.2054,1.6651,-1.4597,False,7.7418,202.87521319667306,,5.535826485054651,202.95499999999998,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.1631,0.1217,124123027.8,128037954.95,1.0353,1.0036,15.3913,14.2052,1.59,2.21,1.93,16.7742,,-3.6595,,,214.39,-7.4085,206.9815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-31,198.4405,202.0,194.95,200.75,139668547,203.5375,,,202.2868,200.8224,199.5412,198.6603,41.3577,0.0643,1.3449,-1.2806,True,7.5968,202.6868518941162,,5.641489014610515,202.95499999999998,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.3852,0.1193,125850985.7,127714002.45,1.1098,1.0936,40.3585,25.1576,2.3095,1.25,3.4905,41.3333,,-0.7597,,,214.39,-1.5368,212.8532,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,197.69,208.74,196.85,206.64,128148746,204.128,,,202.7013,201.0505,199.6817,198.7397,52.7029,0.4229,1.1605,-0.7376,True,7.8775,202.74981749786593,,6.3471971230875655,202.95499999999998,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.6093,0.1126,124260417.0,127002162.35,1.0313,1.009,66.1128,40.6209,8.95,2.1,0.84,66.6667,,1.9431,,,214.39,3.9387,218.3287,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,211.3,213.06,209.05,211.94,133711722,204.9475,,,203.5812,201.4776,199.9245,198.8711,50.1283,1.1219,1.1528,-0.0309,True,7.6918,203.1380124227417,,6.500447137899555,202.95499999999998,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.8108,0.1098,128781400.4,128237797.7,1.0383,1.0427,89.2873,65.2529,0.64,1.12,2.25,89.4624,,4.1059,,,214.39,8.3588,222.7488,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,216.86,222.22,216.4,219.22,157587361,206.062,,,205.0706,202.1734,200.3066,199.0735,55.4956,2.2374,1.3697,0.8677,True,7.8711,203.9533568952947,,6.352381099306772,206.87,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,1.036,0.1191,133696315.0,129909437.05,1.1787,1.2131,90.228,81.876,2.36,3.0,0.46,90.3475,,6.8998,,,222.22,14.1494,236.3694,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,221.53,223.63,217.0,218.99,113728425,206.8055,,,206.3963,202.8328,200.6765,199.2717,60.2986,3.0676,1.7093,1.3583,True,7.8693,204.51327514821838,,7.261511538087988,207.575,,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.9507,0.1307,131343583.2,128224901.65,0.8659,0.8869,85.5497,88.355,2.54,2.1,1.99,85.7187,,6.1017,,,223.63,12.5937,236.2237,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,221.54,224.76,220.66,223.96,105479274,207.8645,,,208.069,203.6614,201.1376,199.5174,68.6673,4.0795,2.1833,1.8962,True,7.6078,205.10125901137317,,8.449918739948119,208.14,207.95,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,1.0232,0.148,130862967.3,126896997.4,0.806,0.8312,97.5933,91.1236,2.42,0.8,0.88,97.6205,,7.6374,,,224.76,15.891,240.651,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-10,223.4,224.1379,216.77,217.55,115534724,208.194,,,208.972,204.206,201.4626,199.6968,61.3996,4.3145,2.6096,1.7049,False,7.7441,205.5823348576302,,7.378862142563308,208.14,207.95,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.7936,0.1531,130948688.9,125252683.55,0.8823,0.9224,78.3093,87.1507,5.85,0.7379,0.78,78.5544,,4.1049,,,224.76,8.578,233.338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-11,222.17,222.2,216.2,217.5,101022241,208.8925,,,209.7842,204.7273,201.7802,199.8739,58.7071,4.4454,2.9767,1.4687,False,7.7891,205.9531375996855,21.57904940411208,6.419203321846018,208.14,207.95,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.7642,0.156,125660884.4,124233244.7,0.8039,0.8132,78.1588,84.6871,4.67,0.03,1.3,78.4057,,3.678,,,224.76,7.7158,232.4758,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-12,221.04,225.1,220.2,224.09,108578044,209.507,,,211.1466,205.4867,202.222,200.1149,59.9504,5.0231,3.386,1.6371,True,7.6577,206.46212206194704,20.850909521939055,6.529375661099288,210.02499999999998,208.12,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.9137,0.1683,123195813.3,123458941.75,0.8813,0.8795,96.9923,84.4868,3.05,1.01,0.84,97.0259,,6.13,,,225.1,12.9434,238.0434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-13,225.055,227.23,223.71,225.3,98626939,210.147,,,212.4946,206.2637,202.6789,200.3655,64.1707,5.5149,3.8118,1.7031,True,7.4734,206.95884725191334,20.050322293818095,7.646151405267054,212.04,209.375,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.8995,0.1805,120208602.3,122165815.05,0.8205,0.8073,94.5954,89.9155,0.245,1.93,1.345,94.6523,,6.0262,,,227.23,12.8054,240.0354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-14,226.765,227.49,224.5,225.16,75512263,211.035,,,213.7008,207.0047,203.1241,200.6122,66.1895,5.8263,4.2147,1.6116,False,7.1798,207.32787109489595,19.794662515409936,8.953629154608288,218.27,209.505,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.8522,0.19,113792973.9,119821979.8,0.6636,0.6302,93.5224,95.0367,1.605,0.725,0.66,93.5901,,5.3623,,,227.49,11.4592,238.9492,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-17,225.98,227.92,224.86,225.01,93475473,212.145,,,214.7779,207.7108,203.5575,200.855,80.7112,5.9918,4.5701,1.4217,False,6.4477,207.77011847951547,23.131257507675834,11.078135195346304,222.06,209.72,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.8125,0.1941,110325646.6,117293031.8,0.8473,0.7969,92.0055,93.3744,0.97,1.94,0.15,92.0881,,4.7641,,,227.92,10.2321,238.1521,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-18,220.45,221.64,218.6902,219.74,102793756,212.968,,,215.2504,208.1825,203.8779,201.0429,72.2103,5.6328,4.7827,0.8502,False,6.4734,208.0823061864139,25.800769885168204,11.034154016928605,222.06,209.72,,,,217.45666666666668,219.25333333333336,221.6566666666667,223.45333333333338,215.05333333333334,213.25666666666666,210.85333333333332,219.3296,214.0152,209.72,205.4248,199.3096,0.6659,0.1917,107233850.0,118007625.2,0.9586,0.8711,77.5275,87.6851,0.71,1.19,1.0498,77.7597,,2.0857,,,227.92,4.4896,232.4096,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
