Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,66.26,67.65,65.95,66.45,1398587,,,,68.6165,71.6296,73.3123,74.3381,30.2356,-2.2833,-2.3129,0.0296,True,3.1939,66.97593517239478,,13.418346009942976,66.175,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,,,2055403.5,,0.6804,,34.9206,,0.19,1.2,0.31,,,-3.1574,,0.0,,-2.1665,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,,,,,,,
2026-07-23,66.31,66.31,64.0,65.24,1283625,,,,68.2949,71.379,73.1524,74.2476,30.3548,-2.2716,-2.3046,0.0331,True,3.0682,66.91660288580825,,13.968138675680754,66.57,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,,,1734522.8,,0.74,,32.523,33.0085,1.07,0.0,1.24,,,-4.4732,,-1.8209,,-3.0549,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,65.24,66.89,64.01,66.31,1106366,,,,68.1059,71.1802,73.0169,74.1686,42.4178,-2.1511,-2.2739,0.1228,True,2.8089,66.88387556826211,,17.8004267016572,66.57,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,,,1644263.5,,0.6729,,58.8465,42.0967,1.07,0.58,1.23,,,-2.6369,,-0.2107,,-1.7959,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,66.41,68.765,66.41,66.77,1222315,,,,67.9787,71.0073,72.8932,74.095,46.5347,-1.9956,-2.2182,0.2227,True,2.7857,66.8966938681927,,20.51287310993103,66.57,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,,,1553759.9,,0.7867,,73.2203,54.8633,0.36,1.995,0.0,,,-1.778,,0.4816,,-1.2087,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,67.08,70.705,67.08,68.97,1860835,,,,68.0731,70.9274,72.8155,74.044,74.9122,-1.6755,-2.1097,0.4342,True,2.6082,66.98423864718652,,24.647472675537905,67.35249999999999,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,,,1553818.4,,1.1976,,83.3413,71.8027,1.89,1.735,0.0,,,1.3176,,3.7923,,0.8969,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-07-30,71.81,73.3,71.11,72.74,1523820,67.3765,,,68.5175,70.9985,72.814,74.031,77.9084,-1.1048,-1.9087,0.8039,True,2.6336,67.16913974852832,,27.122395232967786,68.65,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,0.8966,0.2007,1547946.0,2224770.0,0.9844,0.6849,94.45,83.6705,0.93,0.56,0.7,68.8606,,6.1626,,9.4658,78.37,4.2225,82.5925,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,73.155,74.75,72.7,73.47,1558670,67.2745,,,68.9892,71.0954,72.827,74.0254,77.2756,-0.5869,-1.6444,1.0574,True,2.6389,67.38814179868722,,27.067335410300178,69.375,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,0.9924,0.187,1506991.8,2197090.5,1.0343,0.7094,88.093,88.6281,0.315,1.28,0.455,72.8982,,6.4949,,10.5643,77.93,4.4808,82.4108,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,74.505,76.105,73.77,74.67,1298946,67.2975,,,69.5302,71.2356,72.8635,74.0318,78.3374,-0.0788,-1.3312,1.2525,True,2.7043,67.59278316626478,,26.41317066341958,70.05250000000001,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,1.076,0.1902,1455829.5,2167621.2,0.8922,0.5992,88.1454,90.2295,0.165,1.435,0.735,79.5354,,7.3921,,12.3702,76.105,5.1398,81.2448,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,74.43,77.3701,73.85,77.1,1207003,67.694,,,70.2512,71.4655,72.9474,74.0624,80.4918,0.5141,-0.9622,1.4763,True,2.8572,67.80440423585434,,24.999937500156232,70.68504999999999,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,1.1082,0.2284,1378192.9,2048456.9,0.8758,0.5892,97.9798,91.4061,2.67,0.2701,0.58,92.9757,,9.7491,,16.0271,77.3701,6.8488,84.2189,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,77.22,79.18,76.69,78.4,1446367,68.2125,,,71.0272,71.7375,73.0554,74.1055,83.8389,1.0765,-0.5544,1.6309,True,2.7918,68.10190116531851,,25.58519742817593,71.59,,,,,75.68666666666667,77.35333333333334,79.95666666666668,81.62333333333335,73.08333333333333,71.41666666666666,68.81333333333332,77.5992,75.0004,72.9,70.7996,67.8092,1.0599,0.2667,1390653.4,1967875.35,1.0401,0.735,94.8617,93.6623,1.18,0.78,0.53,95.8708,,10.3802,,17.9834,79.18,7.3728,86.5528,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
