Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,37.46,37.48,36.08,36.65,4207367,,,,36.8978,36.3128,35.986,35.787,56.6221,0.4338,0.4726,-0.0388,False,1.4289,37.08895443438583,,29.992501874531364,37.655,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,,,3479479.6,,1.2092,,34.6835,,0.81,0.02,0.57,,,-0.6716,,,,-0.2478,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,36.44,36.44,34.695,34.84,5157025,,,,36.7018,36.2551,35.9633,35.7776,38.6545,0.2165,0.4214,-0.2049,False,1.4479,36.94106922548831,,24.666995559940794,36.9625,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,,,3650946.2,,1.4125,,3.1974,29.2095,1.6,0.0,0.145,,,-5.0729,,,,-1.8618,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,34.86,36.13,34.61,35.82,7047381,,,,36.6178,36.238,35.9605,35.778,44.5932,0.122,0.3615,-0.2395,False,1.4614,36.79499476445767,,19.55034213098729,36.730000000000004,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,,,3780343.3,,1.8642,,26.1905,21.3571,0.96,0.31,0.25,,,-2.1789,,,,-0.7978,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,36.67,37.69,36.67,37.06,5366754,,,,36.66,36.2702,35.9822,35.7908,52.0561,0.1454,0.3183,-0.1729,True,1.505,36.8200407253992,,23.730422401518744,36.730000000000004,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,,,3976336.1,,1.3497,,53.0303,27.4727,0.39,0.63,0.0,,,1.0912,,,,0.4,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,37.78,38.37,37.3,37.89,3379486,,,,36.7771,36.3338,36.02,35.8117,56.6873,0.2284,0.3003,-0.072,True,1.5029,36.86521189126611,,28.517110266159694,36.730000000000004,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,,,4043380.9,,0.8358,,70.9957,50.0722,0.11,0.48,0.48,,,3.0261,,,,1.1129,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,37.42,37.5,36.51,37.1,4307418,37.017,,,36.8079,36.3638,36.0414,35.8245,51.4115,0.2277,0.2858,-0.0581,True,1.4807,36.87426099439718,,24.119633381572594,36.489999999999995,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,0.5229,0.098,4161097.7,4080666.2,1.0352,1.0556,53.8961,59.3074,0.32,0.08,0.59,53.8961,,0.7937,,,39.23,0.2921,39.5221,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,37.1,37.1,36.22,36.24,3112961,37.051,,,36.7538,36.359,36.0453,35.8286,39.3321,0.156,0.2598,-0.1038,False,1.39,36.86124495504907,,20.554984583761552,36.489999999999995,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,0.2644,0.0929,4187086.9,3957220.45,0.7435,0.7867,35.2814,53.3911,0.86,0.0,0.02,35.2814,,-1.3979,,,39.23,-0.5138,38.7162,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,37.76,38.35,37.42,37.95,5049798,37.107,,,36.8677,36.4214,36.083,35.8497,50.1264,0.2344,0.2548,-0.0203,True,1.4296,36.92004868419465,,19.985011241568813,36.489999999999995,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,0.739,0.0951,4377594.7,4001304.1,1.1536,1.262,78.7736,55.9837,0.19,0.4,0.34,72.2944,,2.9356,,,39.23,1.0823,40.3123,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,38.5,38.5,37.58,37.61,3726756,37.144,,,36.9384,36.468,36.1133,35.8672,49.4597,0.2661,0.257,0.0091,True,1.4268,36.958973886518024,,25.031289111389224,36.555,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,0.6314,0.0955,4375303.5,3976345.95,0.8518,0.9372,70.7547,61.6032,0.89,0.0,0.03,64.9351,,1.8182,,,39.23,0.6716,39.9016,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,38.0,38.7199,37.665,38.19,3352120,37.2225,,,37.0576,36.5355,36.1544,35.8904,52.9603,0.3342,0.2725,0.0617,True,1.4325,37.00163584649943,,29.917875431939308,36.664950000000005,,,,,30.189966666666663,30.748733333333327,31.597466666666662,32.156233333333326,29.341233333333328,28.782466666666664,27.93373333333333,36.8271632,35.4520184,34.340599999999995,33.2291816,31.6468232,0.7666,0.0975,4470706.6,3934351.7,0.7498,0.852,84.434,77.9874,0.19,0.5299,0.335,77.4892,,3.0558,,,39.23,1.1324,40.3624,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
