Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,55.98,56.38,55.235,55.51,11181007,,,,50.1365,47.0647,45.6853,44.9099,81.8486,3.168,2.1189,1.0491,False,2.0979,51.85834792660483,,23.833844058563155,51.7175,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,,,24575428.3,,0.455,,84.505,,0.47,0.4,0.275,,,10.7177,,,,5.3735,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,55.475,56.08,54.935,56.0,13892915,,,,50.695,47.4151,45.8896,45.0202,80.8798,3.2299,2.3411,0.8887,False,2.0782,52.019506027954556,,20.622100017185083,51.9775,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,,,25054232.2,,0.5545,,88.0201,86.5422,0.525,0.08,0.54,,,10.4646,,,,5.305,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-24,56.3083,56.48,55.22,56.15,11760968,,,,51.2145,47.7576,46.0927,45.131,82.8775,3.2535,2.5236,0.7299,False,2.0475,52.15526851185436,,24.420024420024422,52.05,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,,,25166384.4,,0.4673,,89.0961,87.2071,0.1583,0.1717,0.93,,,9.6369,,,,4.9355,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,56.36,56.585,55.48,56.07,14843730,,,,51.6769,48.0836,46.2903,45.2398,81.8849,3.2285,2.6646,0.5639,False,2.0568,52.31775618560027,,24.30977600277825,55.555,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,,,24621339.9,,0.6029,,88.5222,88.5462,0.29,0.225,0.59,,,8.5011,,,,4.3931,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,56.76,58.8,56.46,58.32,22896821,,,,52.3096,48.485,46.5285,45.37,89.4677,3.3516,2.802,0.5496,False,2.1146,52.65326099492963,,27.02246242188819,56.8675,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,,,25970459.7,,0.8816,,96.7957,91.4714,1.56,0.48,0.3,,,11.4901,,,,6.0104,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,57.4,57.89,56.655,57.65,11964130,51.6325,,,52.8182,48.8444,46.7487,45.4922,85.5331,3.3564,2.9129,0.4436,False,2.1221,52.798752394795656,,23.56109054190508,56.8675,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,0.7696,0.4323,18073803.8,19509971.85,0.662,0.6132,91.1776,92.1652,0.25,0.24,0.745,92.4541,,9.148,,,58.8,4.8318,63.6318,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,57.11,57.57,56.57,57.21,9770632,52.2895,,,53.2365,49.1725,46.9559,45.6087,82.43,3.2869,2.9877,0.2992,False,2.1189,52.90423216597823,,20.225855385133993,56.8675,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,0.7272,0.4141,15676228.6,18850022.15,0.6233,0.5183,87.2952,91.7562,0.1,0.36,0.54,89.5669,,7.4639,,,58.8,3.9735,62.7735,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-03,58.128,58.25,57.335,57.87,9298396,52.9095,,,53.6778,49.5136,47.172,45.7308,81.6998,3.2475,3.0396,0.2079,False,2.04,53.01587834091167,,21.00840336134454,56.8675,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,0.734,0.4007,14624540.7,18575077.35,0.6358,0.5006,92.4818,90.3182,0.258,0.122,0.535,93.8976,,7.81,,,58.8,4.1922,62.9922,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,57.2,58.56,57.18,58.54,10318151,53.582,,,54.1408,49.8675,47.3971,45.8582,83.828,3.2332,3.0783,0.1548,False,2.0514,53.14073920469935,,24.373259052924794,56.8675,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,0.7428,0.3811,13186763.4,18515751.35,0.7825,0.5573,95.1493,91.6421,1.34,0.02,0.02,98.294,,8.1254,,,58.8,4.3992,63.1992,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,59.0683,59.4,57.91,57.93,8472338,54.196,,,54.5017,50.1837,47.6057,45.9783,63.4337,3.1364,3.09,0.0465,False,1.55,53.245096791842826,,32.25806451612904,57.167500000000004,,,,,61.99333333333334,63.036666666666676,63.77333333333333,64.81666666666666,61.25666666666668,60.213333333333345,59.47666666666669,60.89038,59.75231,58.832499999999996,57.91269,56.60313,0.6932,0.3567,12439908.8,18428675.0,0.6811,0.4597,67.0773,84.9028,1.1383,0.3317,0.02,90.7197,,6.2903,,,59.4,3.4283,62.8283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
