Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,70.49,72.94,69.25,69.75,20899082,,,,81.0753,90.0944,94.5601,97.1694,15.4039,-8.2355,-6.5544,-1.6811,True,6.2643,80.71386593176456,,3.420721361720759,73.525,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,,,19377071.0,,1.0785,,12.3352,,0.74,2.45,0.5,,,-13.9689,,,,-11.3253,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,68.13,70.81,66.85,69.99,14122640,,,,80.0196,89.306,94.0736,96.899,15.1134,-8.0796,-6.8594,-1.2202,True,5.8986,80.20274914739018,,3.6328056884893325,73.525,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,,,19002717.1,,0.7432,,14.5784,12.5374,1.86,0.82,1.28,,,-12.5339,,,,-10.0296,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,69.3,69.55,63.0,63.91,18751177,,,,78.4853,88.3101,93.4763,96.5707,15.5734,-8.3504,-7.1576,-1.1928,True,5.6979,79.38253649169862,,3.760769904814913,72.77000000000001,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,,,19418653.0,,0.9656,,3.2805,10.0647,5.39,0.25,0.91,,,-18.5708,,,,-14.5753,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-27,64.8,68.34,64.03,66.94,15671409,,,,77.3858,87.4721,92.9508,96.2759,26.9521,-8.2257,-7.3712,-0.8545,True,5.2829,78.80633824346144,,4.056197260985195,72.025,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,,,19099324.8,,0.8205,,16.766,11.5416,2.14,1.4,0.77,,,-13.4983,,,,-10.4458,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,64.5,64.95,60.05,63.89,18262312,,,,76.1005,86.5473,92.3753,95.9536,24.8709,-8.2775,-7.5525,-0.7251,True,5.3822,78.02513278097358,,3.9813724852656036,67.0,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,,,19350301.8,,0.9438,,14.6286,11.5583,0.61,0.45,3.84,,,-16.0452,,0.0,,-12.2105,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-07-30,60.93,64.84,59.68,64.68,17909678,76.235,,,75.0128,85.6897,91.8269,95.6424,26.9181,-8.1608,-7.6742,-0.4867,True,5.4729,77.33515107041868,,3.9153807903587654,66.31,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,0.2497,0.6055,19607431.0,19413653.1,0.9134,0.9225,21.8723,17.7556,3.75,0.16,1.25,10.4341,,-13.7747,,1.2365,107.5999,-10.3328,97.2671,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,66.13,67.84,62.66,64.95,13500904,74.479,,,74.0544,84.8764,91.2947,95.337,28.5295,-7.9548,-7.7303,-0.2245,True,5.5936,76.92569060570747,,5.107845778812398,66.31,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,0.2694,0.5548,17875023.0,19005297.85,0.7553,0.7104,23.0534,19.8514,1.18,1.71,2.29,10.9975,,-12.2942,,0.0,106.99,-9.1044,97.8856,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-03,63.34,70.6,62.17,70.43,16679300,72.9775,,,73.7092,84.3099,90.8815,95.0892,41.8478,-7.2657,-7.6374,0.3717,True,5.8072,76.55928867480915,,6.14999341950704,66.31,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,0.4237,0.4576,17316056.0,18727582.9,0.9632,0.8906,47.0254,30.6503,7.09,0.17,1.17,22.4333,,-4.4489,,8.4373,102.0999,-3.2792,98.8207,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,72.795,75.59,72.36,74.48,18920288,72.047,,,73.7827,83.9244,90.5568,94.8841,44.6688,-6.3198,-7.3739,1.054,True,5.7608,76.45477716413866,,6.199558839392989,67.635,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,0.5882,0.3831,17420863.3,18648000.1,1.0861,1.0146,69.256,46.4449,1.685,1.11,0.435,30.8849,,0.9451,,14.6728,90.74,0.6973,91.4373,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,74.88,77.3,72.91,74.82,16668561,71.6175,,,73.8814,83.5674,90.2451,94.6845,48.2003,-5.4796,-6.995,1.5154,True,5.6308,76.40173724670314,,7.611228591833911,68.49,,,,,73.35666666666667,74.96333333333334,76.97666666666667,78.58333333333334,71.34333333333333,69.73666666666666,67.72333333333333,80.4226,76.4587,73.255,70.0513,65.4901,0.625,0.3577,17138535.1,18172576.1,0.9726,0.9172,85.9251,67.4021,0.06,2.42,1.91,31.5944,,1.2703,,15.1963,86.5,0.9386,87.4386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,,,,,
