Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,1671.0,1683.0,1645.0,1679.5,78398,,,,1657.6726,1648.1265,1644.588,1642.7926,56.5365,11.49,6.4527,5.0374,False,42.0357,1648.408604396773,,1.1894647408666101,1659.75,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,71665.9,,1.0939,,79.6552,,8.5,3.5,26.0,,,1.3168,,,,21.8274,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,1664.0,1667.5,1617.0,1622.5,80417,,,,1654.3228,1647.1215,1644.1506,1642.5907,47.3684,7.1905,6.6003,0.5903,False,43.9643,1647.50466042023,,1.1372867587327375,1659.75,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,72658.2,,1.1068,,40.3448,,41.5,3.5,5.5,,,-1.9236,,,,-31.8228,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,1620.5,1651.0,1618.5,1643.0,50640,,,,1653.2444,1646.9599,1644.1278,1642.5947,52.3077,5.3754,6.3553,-0.9799,False,42.2857,1647.0768281296487,,1.0135135135135134,1659.75,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,68561.5,,0.7386,,54.4828,58.1609,22.5,8.0,2.0,,,-0.6197,,,,-10.2444,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,1670.0,1690.5,1658.5,1659.0,75670,,,,1653.7926,1647.4321,1644.4223,1642.758,52.6389,5.1683,6.1179,-0.9496,True,42.1786,1648.413600261827,,1.0160880609652836,1663.0,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,68294.0,,1.108,,65.5172,53.4483,11.0,20.5,0.5,,,0.3149,,,,5.2074,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,1680.0,1705.0,1645.0,1695.5,94646,,,,1657.7647,1649.3171,1645.4338,1643.2828,69.1131,7.8589,6.4661,1.3928,True,41.0357,1650.748796304294,,1.2184508268059182,1663.0,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,70984.5,,1.3333,,89.1566,69.7189,15.5,9.5,35.0,,,2.2763,,,,37.7353,,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-29,1658.0,1660.5,1465.5,1508.5,427914,,,,1643.549,1643.7949,1642.7222,1641.9416,37.3913,-5.0401,4.1648,-9.2049,False,53.2857,1625.3212129406618,,0.8042895442359249,1587.25,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,,,105737.2,,4.047,,17.6591,57.4443,149.5,2.5,43.0,,,-8.2169,,,,-135.049,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-30,1502.5,1558.5,1502.5,1550.5,133161,1641.575,,,1634.6872,1640.1362,1640.896,1641.0318,40.6186,-11.7382,0.9842,-12.7225,False,55.7143,1619.19318747355,,0.6410256410256411,1585.25,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,0.0424,0.1212,111602.1,95779.2,1.1932,1.3903,34.9076,47.2411,48.0,8.0,0.0,34.9076,,-5.1501,,,1709.0,-84.1872,1624.8128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,1547.5,1562.5,1516.0,1531.5,112421,1636.1,,,1624.8599,1635.876,1638.7298,1639.9419,37.1546,-18.368,-2.8862,-15.4818,False,56.75,1614.618389090099,,0.6293266205160478,1585.25,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,0.029,0.1357,116155.5,98414.05,0.9678,1.1423,27.1047,26.5572,16.0,15.0,15.5,27.1047,,-5.7457,,,1709.0,-93.3599,1615.6401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,1531.5,1594.0,1531.5,1560.5,84774,1632.8,,,1618.7304,1632.9201,1637.1807,1639.1514,41.6832,-21.0395,-6.5169,-14.5226,True,57.8929,1612.507107542562,,0.7402837754472547,1585.25,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,0.1885,0.1421,119026.7,96571.85,0.7122,0.8778,39.0144,33.6756,29.0,33.5,0.0,39.0144,,-3.5973,,,1709.0,-58.2304,1650.7696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,1562.0,1565.5,1525.0,1556.0,82305,1628.6,,,1612.756,1629.9036,1635.5731,1638.3241,36.4506,-23.2518,-9.8639,-13.3879,True,56.4643,1610.1196499389848,,0.6325110689437066,1585.25,,,,,1560.8333333333333,1572.1666666666665,1594.8333333333333,1606.1666666666665,1538.1666666666665,1526.8333333333333,1504.1666666666665,1648.478,1613.511,1585.25,1556.989,1516.753,0.1998,0.1485,122034.6,97755.85,0.6744,0.8419,37.1663,34.4285,6.0,3.5,31.0,37.1663,,-3.5192,,0.0,1709.0,-56.756,1652.244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
