Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,155.23,155.27,147.45,148.75,4094375,,,,157.5586,158.5008,158.8285,158.9908,37.5598,-1.2584,-0.432,-0.8264,False,5.3144,157.45608116337453,,8.064342702307476,154.865,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,,,3011323.3,,1.3597,,7.027,,6.48,0.04,1.3,,,-5.5907,,,,-8.8086,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,149.55,150.23,144.97,146.38,4391279,,,,156.494,158.0255,158.582,158.8653,30.1007,-1.9845,-0.7425,-1.242,False,5.4126,156.48148457129625,,6.598343024099789,153.625,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,,,3228904.6,,1.36,,6.7207,9.0783,3.17,0.68,1.41,,,-6.4629,,,,-10.114,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,153.75,161.305,153.21,160.0,6190758,,,,156.8279,158.1029,158.6101,158.8766,49.5311,-1.4443,-0.8829,-0.5614,True,6.1973,156.68104784835572,,6.915501788809794,153.625,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,,,3675964.9,,1.6841,,71.6397,28.4625,6.25,1.305,0.54,,,2.0227,,,,3.1721,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,169.88,173.37,167.7,171.01,4497577,,,,158.1786,158.6091,158.8556,158.9973,56.7563,-0.1263,-0.7316,0.6053,True,6.7623,157.7880523213298,,6.337697894616756,159.17000000000002,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,,,3826206.7,,1.1755,,91.6901,56.6835,1.13,2.36,2.18,,,8.112,,,,12.8314,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-28,175.6,182.18,175.2,179.17,4235711,,,,160.1777,159.4154,159.2579,159.1981,67.0481,1.5587,-0.2735,1.8322,True,7.1001,159.2465965095303,,7.042140166757875,163.575,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,,,3825374.7,,1.1073,,91.9108,85.0802,3.57,3.01,0.4,,,11.857,,,,18.9923,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,182.31,183.06,178.54,180.88,4112249,160.4495,,,162.1494,160.2571,159.686,159.4138,67.3906,2.9975,0.3807,2.6168,True,7.043,160.606062278915,,8.113458605134191,164.015,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,1.1074,0.2097,3995523.6,3263878.5,1.0292,1.2599,94.2767,92.6259,1.43,0.75,2.34,94.2767,,11.5515,,,183.06,18.7306,201.7906,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,179.08,184.06,177.93,183.62,3134639,161.673,,,164.1942,161.1733,160.16,159.6547,69.3393,4.3092,1.1664,3.1428,True,7.1925,161.58037328930914,,7.944791642873667,164.515,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,1.0562,0.2441,3973628.1,3278144.55,0.7889,0.9562,98.8744,95.0206,4.54,0.44,1.15,98.8744,,11.831,,,184.06,19.4258,203.4858,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,191.7,194.39,188.73,189.65,2974688,163.026,,,166.6186,162.2901,160.7439,159.9531,71.0437,5.7688,2.0869,3.6819,True,7.6789,162.80309279100476,,7.441521270193264,169.68,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,1.0696,0.2867,3960616.7,3308265.25,0.7511,0.8992,90.4087,94.5199,2.05,2.69,0.92,90.4087,,13.8228,,,194.39,23.0314,217.4214,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,190.64,195.8,190.55,195.49,2853350,164.776,,,169.3682,163.592,161.432,160.3067,78.5674,7.3125,3.132,4.1805,True,7.5868,164.00006505482443,,8.47338744375789,170.385,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,1.0594,0.3332,3961324.6,3362673.4,0.7203,0.8485,99.3901,96.2244,4.85,0.31,0.09,99.3901,,15.4231,,,195.8,26.1218,221.9218,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,198.63,199.03,194.88,197.33,2486388,166.504,,,172.0313,164.9151,162.1428,160.6751,78.7879,8.5854,4.2227,4.3627,True,7.555,165.07204681563624,,8.509037070092718,172.0,,,,,216.28333333333333,218.16666666666666,219.24333333333334,221.12666666666667,215.20666666666665,213.32333333333332,212.24666666666664,200.89862,190.21069,181.5725,172.93431,160.63587,0.9966,0.3728,3897101.4,3403073.25,0.638,0.7306,96.8553,95.5514,1.3,0.4,2.45,96.8553,,14.7059,,,199.03,25.2987,224.3287,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
