Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,105.54,106.86,102.9,104.88,3610288,,,,105.727,104.2911,103.447,102.927,55.0656,0.9316,1.2307,-0.2991,False,4.5082,106.89654820655787,,11.090901024799253,108.245,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,,,4751804.4,,0.7598,,27.4916,,0.66,1.32,1.98,,,-0.8011,,,,-0.847,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,103.99,104.64,99.3,99.5,5276914,,,,105.134,104.1032,103.3689,102.8929,43.5767,0.3235,1.0493,-0.7258,False,4.6518,106.5161474419584,,9.213080116944697,107.42,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,,,4895578.9,,1.0779,,1.218,27.0931,4.49,0.65,0.2,,,-5.3588,,,,-5.634,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-24,99.5,100.96,97.59,100.0,4938916,,,,104.645,103.9423,103.3022,102.8641,41.191,-0.1167,0.8161,-0.9328,False,4.6488,106.10800858128073,,7.6824387133451655,106.14500000000001,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,,,4584674.0,,1.0773,,13.2929,14.0009,0.5,0.96,1.91,,,-4.4388,,,,-4.645,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,102.65,105.4322,102.4,104.39,4608902,,,,104.6207,103.9599,103.3237,102.8793,50.25,-0.1101,0.6309,-0.7409,True,4.8361,106.003045764165,,7.384902600519605,106.14500000000001,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,,,4383259.3,,1.0515,,37.5069,17.3393,1.74,1.0422,0.25,,,-0.2205,,,,-0.2307,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,104.8,108.02,102.805,107.41,6244582,,,,104.8864,104.0952,103.4046,102.9244,53.0937,0.1373,0.5321,-0.3949,True,4.8522,106.00796587298493,,8.832530799770948,104.7793,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,,,4505063.9,,1.3861,,54.1644,34.988,2.61,0.61,1.995,,,2.4061,,,,2.5236,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,105.53,106.61,103.78,106.24,3677197,105.8185,,,105.0153,104.1793,103.4608,102.9574,45.4168,0.2362,0.4729,-0.2368,True,4.765,105.99074816514091,,7.4950495197921825,102.89750000000001,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,0.5317,0.1257,4446421.2,4961593.6,0.827,0.7411,47.711,46.4607,0.71,0.37,1.75,52.4693,,1.1662,,,115.72,1.2247,116.9447,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,105.22,107.62,105.02,106.74,3030658,106.039,,,105.1795,104.2797,103.5257,102.995,42.6125,0.3508,0.4485,-0.0977,True,4.4786,106.00465493849505,,7.97439263038531,102.89750000000001,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,0.5543,0.1218,4238793.0,4802759.7,0.715,0.631,50.9749,50.9501,1.52,0.88,0.2,54.9762,,1.4836,,,115.72,1.5605,117.2805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,107.94,111.18,107.52,111.15,4512037,106.4315,,,105.7482,104.5491,103.6767,103.0762,50.7268,0.7885,0.5165,0.272,True,4.44,106.17137575409225,,9.65240095430071,104.385,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,0.8519,0.126,4089054.9,4658438.85,1.1034,0.9686,79.2519,59.3126,3.21,0.03,0.42,77.087,,5.1082,,,115.72,5.4018,121.1218,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,111.01,112.71,110.3,111.44,4233530,106.7535,,,106.2902,104.8193,103.8304,103.1594,53.2945,1.1455,0.6423,0.5032,True,4.3643,106.37395856001535,,11.456497225072711,105.15,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,0.8335,0.1316,4252161.9,4628434.2,0.9956,0.9147,80.9468,70.3912,0.43,1.27,0.71,78.541,,4.845,,,115.72,5.1498,120.8698,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,112.01,114.95,111.43,114.91,4077092,107.2875,,,107.1112,105.2151,104.0498,103.2763,55.216,1.689,0.8516,0.8373,True,4.2086,106.63573995026269,,11.880374808853261,106.27000000000001,,,,,117.45666666666666,119.38333333333333,121.52666666666666,123.45333333333332,115.31333333333333,113.38666666666667,111.24333333333334,123.8334,118.8183,114.765,110.71170000000001,104.9409,0.9887,0.1454,4421011.6,4658314.2,0.9222,0.8752,99.7696,86.6561,2.9,0.04,0.58,95.9388,,7.2811,,,115.72,7.7988,123.5188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
