Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,8.67,8.95,8.505,8.68,39837063,,,,8.9114,9.4808,9.7767,9.9525,34.2612,-0.4782,-0.4404,-0.0378,True,0.6796,8.748135648641426,,52.550816639690616,8.225,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,,,29380299.1,,1.3559,,40.1639,,0.01,0.27,0.165,,,-2.5972,,0.0,,-0.2314,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-23,8.49,8.92,8.36,8.81,29730317,,,,8.9018,9.4545,9.7576,9.9412,39.229,-0.4266,-0.4376,0.011,True,0.6289,8.744702184889972,,56.78849692206349,8.0875,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,,,30262888.8,,0.9824,,54.9847,45.3774,0.32,0.11,0.13,,,-1.0311,,1.4977,,-0.0918,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,8.69,8.805,8.07,8.09,34824170,,,,8.8245,9.4009,9.7246,9.9227,34.739,-0.4388,-0.4379,-0.0009,False,0.641,8.714042324063607,,55.71216865187695,8.08,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,,,31221181.2,,1.1154,,39.1424,44.7637,0.6,0.115,0.02,,,-8.3231,,-6.7972,,-0.7345,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-27,8.325,8.64,8.06,8.54,30233594,,,,8.7974,9.3672,9.7011,9.909,45.6067,-0.4074,-0.4318,0.0244,True,0.6132,8.696241202080836,,58.24315351730406,8.08,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,,,30335401.6,,0.9966,,65.5172,53.2148,0.215,0.1,0.265,,,-2.9256,,-1.6129,,-0.2574,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,8.17,8.42,7.8,8.22,27328032,,,,8.7424,9.3222,9.6718,9.8922,44.4898,-0.4037,-0.4262,0.0225,False,0.6289,8.668328089598786,,56.78591709256106,8.08,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,,,30667889.8,,0.8911,,49.7537,51.4711,0.05,0.2,0.37,,,-5.9754,,-5.2995,,-0.5224,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,7.89,8.675,7.79,8.6,34901151,8.6795,,,8.7288,9.2939,9.6506,9.8793,45.7086,-0.3659,-0.4141,0.0482,True,0.6564,8.649241968552317,,54.406964091403715,8.08,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.4691,0.2966,32103028.6,28647808.9,1.0872,1.2183,68.4729,61.2479,0.71,0.075,0.1,37.9781,,-1.4759,,-0.9217,10.87,-0.1288,10.7412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,8.875,9.01,8.385,8.42,38746597,8.593,,,8.6994,9.2596,9.6262,9.8648,44.0154,-0.3464,-0.4006,0.0541,True,0.6671,8.646439585113756,,53.53319057815846,8.2925,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.4205,0.2533,33088725.8,29428064.95,1.171,1.3167,67.2222,61.8163,0.455,0.135,0.035,33.0601,,-3.2119,,-2.9954,10.87,-0.2794,10.5906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,8.47,9.13,8.29,9.01,27663245,8.5555,,,8.729,9.2498,9.614,9.8563,56.4961,-0.2802,-0.3765,0.0963,True,0.6721,8.653516301247809,,63.76195536663124,8.46,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.7358,0.2253,33600748.6,29401775.5,0.8233,0.9409,93.75,76.4817,0.54,0.12,0.18,49.1803,,3.2192,,3.8018,10.1199,0.281,10.4009,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-08-04,9.19,9.71,9.19,9.49,25418902,8.5495,,,8.8015,9.2592,9.6115,9.8526,58.3804,-0.1868,-0.3386,0.1518,True,0.6979,8.684480691526975,,71.64790174002044,8.75,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,1.0018,0.2192,32509392.1,29537156.9,0.7819,0.8606,91.2,84.0574,0.3,0.22,0.0,62.2951,,7.8229,,9.3318,9.71,0.6885,10.3985,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,9.42,9.505,9.09,9.38,31997774,8.5705,,,8.8566,9.264,9.6069,9.8479,59.8456,-0.1203,-0.2949,0.1746,True,0.6675,8.713894728633253,,74.90636704119848,8.75,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.9076,0.2317,32068084.5,29635014.35,0.9978,1.0797,86.8,90.5833,0.04,0.085,0.29,59.2896,,5.9101,,8.0645,9.71,0.5234,10.2334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-06,9.335,9.865,9.15,9.47,33327635,8.606,,,8.915,9.2721,9.6042,9.8442,70.1099,-0.0596,-0.2478,0.1882,True,0.6586,8.749550149842033,,86.76789587852493,8.8275,,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.904,0.2485,31417141.7,30398720.4,1.0608,1.0963,85.1224,87.7075,0.135,0.395,0.185,61.7486,,6.2256,,9.1014,9.865,0.555,10.42,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-07,9.685,10.025,9.365,9.82,30240900,8.6455,,,9.0012,9.2935,9.6085,9.8439,71.7842,0.0165,-0.195,0.2115,True,0.6564,8.788810021670454,,97.93253536452666,8.9075,9.04,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.9946,0.2746,31468200.0,30865544.4,0.961,0.9798,91.6327,87.8517,0.135,0.205,0.32,71.3115,,9.0968,,13.1336,10.025,0.8188,10.8438,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-10,9.79,9.87,9.18,9.18,21630280,8.6525,,,9.0182,9.2891,9.6,9.8373,61.6858,0.0249,-0.151,0.1759,False,0.6696,8.805992669821917,,85.33333333333329,8.9075,9.04,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.72,0.2771,30148811.0,30684996.1,0.7175,0.7049,62.1924,79.6492,0.61,0.08,0.0,53.8251,,1.794,,5.7604,10.025,0.1618,10.1868,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-11,9.36,9.95,9.17,9.89,26010474,8.7295,,,9.1012,9.3127,9.6058,9.8379,61.39,0.0879,-0.1032,0.1911,True,0.6696,8.833806361807248,31.693935645006036,85.33333333333333,8.9075,8.66495,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.9431,0.3,29726499.0,30030950.3,0.875,0.8661,93.9597,82.5949,0.53,0.06,0.19,73.224,,8.6665,,13.9401,10.025,0.7888,10.8138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-12,9.835,9.94,9.37,9.59,28945273,8.779,,,9.1478,9.3235,9.6055,9.8354,58.3486,0.1122,-0.0601,0.1724,False,0.6786,8.861457809081788,30.799298836668388,73.68421052631577,9.157499999999999,8.6175,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.7976,0.3104,29888223.1,30278056.45,0.9685,0.956,80.5369,78.8963,0.245,0.105,0.22,65.0273,,4.8341,,10.4839,10.025,0.4422,10.4672,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-13,9.49,10.135,9.41,9.85,35008224,8.8535,,,9.2147,9.3442,9.6103,9.8355,59.319,0.1508,-0.018,0.1687,False,0.6904,8.899072945452339,30.956622279204474,82.77289187790996,9.212499999999999,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.849,0.3225,29898930.4,31000979.5,1.1709,1.1293,87.8465,87.4477,0.36,0.285,0.08,72.1311,,6.8948,,13.4793,10.135,0.6353,10.7703,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-14,9.77,9.955,9.2,9.39,35613341,8.941,,,9.2314,9.346,9.6059,9.8311,62.218,0.1426,0.0142,0.1284,False,0.6914,8.923242420387554,31.16138302804158,82.64462809917353,9.6125,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.6694,0.2964,29585604.8,31337165.3,1.2037,1.1365,68.2303,78.8712,0.38,0.185,0.19,59.5628,,1.7184,,8.1797,10.135,0.1586,10.2936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-17,9.49,9.61,9.13,9.19,23380764,9.0145,,,9.2274,9.3399,9.5977,9.8247,56.4103,0.1186,0.035,0.0835,False,0.6843,8.932955926849633,32.21529258903045,83.5073068893528,9.6125,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.5733,0.2656,29157356.7,31379052.65,0.8019,0.7451,59.7015,71.9261,0.3,0.12,0.06,54.0984,,-0.4056,,5.8756,10.135,-0.0374,10.0976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-18,8.89,9.185,8.58,8.64,30300396,9.0485,,,9.1715,9.3124,9.5787,9.8129,53.9623,0.0545,0.0389,0.0156,False,0.675,8.928817400940968,32.099140218040205,84.65608465608463,9.3575,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.3153,0.2445,29645506.1,31077449.1,1.0221,0.975,36.2473,54.7264,0.25,0.295,0.06,39.071,,-5.7949,,-0.4608,10.135,-0.5315,9.6035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-19,8.675,9.345,8.53,9.29,36117051,9.0775,,,9.1828,9.3115,9.573,9.8077,56.1939,0.0556,0.0423,0.0133,False,0.67,8.93338682112869,32.17269854896179,85.2878464818763,9.3325,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.5967,0.2422,30057433.8,31062759.15,1.2016,1.1627,54.2005,50.0498,0.615,0.055,0.145,56.8306,,1.1678,,7.0276,10.135,0.1072,10.2422,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-08-20,9.17,9.2,8.77,9.07,31910312,9.097,,,9.172,9.3021,9.5631,9.8004,55.7932,0.0383,0.0415,-0.0032,False,0.6625,8.935865397912144,32.27214232057527,75.47169811320752,9.3325,8.6725,,,,9.013333333333334,9.256666666666668,9.443333333333333,9.686666666666667,8.826666666666668,8.583333333333334,8.396666666666668,9.58158,9.23921,8.9625,8.68579,8.29183,0.4875,0.2381,29915701.5,30666421.6,1.0667,1.0406,42.2764,44.2414,0.1,0.03,0.3,50.8197,,-1.1124,,4.4931,10.135,-0.102,10.033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
