Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,69.19,71.015,68.7805,69.21,836686,,,,71.4984,72.8735,73.4925,73.8413,37.9161,-1.4212,-0.9394,-0.4818,True,2.7636,71.23592459731101,,10.338455176335279,69.84,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,,,1039267.3,,0.8051,,36.6829,,0.02,1.805,0.4095,,,-3.2006,,0.0,,-2.2884,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-23,69.82,71.33,69.1,69.32,586828,,,,71.2909,72.7341,73.4098,73.7963,41.2526,-1.4128,-1.0341,-0.3787,True,2.6443,71.18407591969003,,13.506030442592625,69.83,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,,,1029218.0,,0.5702,,39.4898,36.4153,0.5,1.51,0.22,,,-2.7646,,0.1589,,-1.9709,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,69.5,70.74,68.61,68.73,454712,,,,71.047,72.5771,73.3172,73.7459,37.4542,-1.4372,-1.1147,-0.3225,True,2.715,71.13016854549413,,13.154260007103309,69.83,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,,,1006030.1,,0.452,,33.4694,36.5474,0.77,1.24,0.12,,,-3.2613,,-0.6935,,-2.317,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,70.09,70.09,67.0468,68.79,708370,,,,70.8321,72.4286,73.2275,73.6966,37.8875,-1.4351,-1.1788,-0.2563,True,2.7881,71.02066851350163,,12.809444146980693,69.23,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,,,1007526.3,,0.7031,,34.0816,35.6803,1.3,0.0,1.7432,,,-2.883,,0.0,,-2.0421,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,
2026-07-28,67.86,68.0,65.66,66.87,1346253,,,,70.4547,72.2106,73.1016,73.6287,31.0241,-1.5703,-1.2571,-0.3132,False,2.7995,70.69822085160584,,10.205721837948447,68.39,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,,,1049523.5,,1.2827,,14.4898,27.3469,0.99,0.14,1.21,,,-5.088,,-2.7911,,-3.5847,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,68.16,69.39,67.33,68.43,1855113,70.799,,,70.2619,72.0623,73.0091,73.577,36.6131,-1.5339,-1.3125,-0.2214,True,2.8253,70.47566726782978,,10.11283394473842,68.39,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,0.2772,0.1502,1053571.9,964796.4,1.7608,1.9228,33.9408,27.5041,0.27,0.96,0.83,29.0732,,-2.6073,,0.0,75.7,-1.8319,73.8681,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-07-31,67.73,68.23,66.24,67.06,1091556,70.441,,,69.957,71.8662,72.8913,73.5121,35.8168,-1.5972,-1.3694,-0.2278,False,2.8442,70.2990371402376,,10.045531370938777,68.495,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,0.1816,0.1508,1063153.4,978664.15,1.0267,1.1154,18.379,22.2699,0.67,0.5,0.82,15.7073,,-4.1411,,-2.002,75.7,-2.897,72.803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,67.48,67.56,66.07,67.03,648517,70.1575,,,69.6782,71.6765,72.7753,73.4476,37.9598,-1.6309,-1.4217,-0.2092,True,2.8334,70.19383747503467,,10.083770926975848,68.495,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,0.2108,0.1541,932811.1,964302.1,0.6952,0.6725,18.0365,23.4521,0.45,0.08,0.96,15.4146,,-3.8006,,0.0,75.25,-2.6482,72.6018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-08-04,68.81,68.83,67.29,68.58,1217789,69.9105,,,69.5736,71.5551,72.6922,73.3992,39.5604,-1.5151,-1.4404,-0.0747,True,2.7998,70.08655326060564,,10.204680376654748,68.495,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,0.3722,0.149,942631.8,999526.2,1.2919,1.2184,41.4021,25.9392,0.23,0.02,1.29,30.5366,,-1.4282,,0.0,75.25,-0.9936,74.2564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
2026-08-05,69.43,70.4,68.775,70.05,833259,69.743,,,69.619,71.4961,72.6399,73.3658,46.495,-1.2899,-1.4103,0.1204,True,2.7313,70.07410559532028,,13.076100288458768,68.495,,,,,77.05666666666667,79.93333333333334,81.41666666666667,84.29333333333334,75.57333333333334,72.69666666666667,71.21333333333334,75.50032,73.61984,72.1,70.58016,68.41632,0.5311,0.1418,957908.3,1001548.25,0.8699,0.832,78.2313,45.89,0.62,0.35,0.655,44.878,,0.6191,,2.1435,75.25,0.431,75.681,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
