Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,11.31,11.43,11.095,11.36,3132993,,,,11.1089,11.0439,11.018,11.0042,58.6047,0.0746,0.0428,0.0318,True,0.4029,11.056396045706576,,106.36789107927966,11.1625,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,,,3795693.5,,0.8254,,92.8205,,0.05,0.07,0.215,,,2.2604,,,,0.2511,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-23,11.12,11.22,10.85,10.98,2546433,,,,11.0966,11.0414,11.0172,11.004,45.9574,0.0546,0.0451,0.0095,False,0.4122,11.05480939482248,,86.64309974353652,11.14,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,,,3691247.6,,0.6899,,53.8462,78.0328,0.14,0.1,0.13,,,-1.0509,,,,-0.1166,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,11.06,11.135,10.68,10.76,2981544,,,,11.0646,11.0303,11.0121,11.0016,45.9574,0.0208,0.0403,-0.0194,False,0.3876,11.04603249960808,,92.15230933687207,11.055,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,,,3716182.0,,0.8023,,31.2821,59.3162,0.3,0.075,0.08,,,-2.7526,,,,-0.3046,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,10.85,11.035,10.82,10.89,2398827,,,,11.0479,11.0248,11.0097,11.0004,54.7511,0.0045,0.0331,-0.0286,False,0.3563,11.041486462040792,,100.24057738572583,11.055,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,,,3540763.3,,0.6775,,44.6154,43.2479,0.04,0.145,0.03,,,-1.4295,,,,-0.1579,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,10.94,11.22,10.76,11.16,3100448,,,,11.0586,11.0301,11.0127,11.002,63.7931,0.0132,0.0291,-0.016,True,0.3663,11.041708780767117,,117.00468018720753,11.055,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,,,3324698.7,,0.9326,,72.3077,49.4017,0.22,0.06,0.18,,,0.9169,,,,0.1014,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,11.06,11.47,10.815,11.43,2938039,11.0758,,,11.094,11.0458,11.0209,11.0063,60.9302,0.0414,0.0316,0.0098,True,0.3745,11.049392781783611,,114.43829868395956,11.075,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.8789,0.0844,3100015.6,3759048.2,0.9477,0.7816,94.9367,70.6199,0.37,0.04,0.245,96.0591,,3.0289,,,11.47,0.336,11.806,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,11.33,11.395,10.97,11.375,3775824,11.095,,,11.1207,11.0587,11.0279,11.01,54.2199,0.0586,0.037,0.0216,True,0.3802,11.05882669478821,,93.93199323689649,11.075,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.7892,0.0873,3197277.2,3785787.4,1.1809,0.9974,87.9747,85.073,0.045,0.02,0.36,90.6404,,2.2863,,,11.47,0.2543,11.7243,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,11.45,11.5499,11.2,11.35,2818163,11.104,,,11.1426,11.0702,11.0343,11.0133,55.2083,0.0694,0.0435,0.026,True,0.3877,11.069434457548011,,110.53998784060131,11.11495,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.7477,0.0894,3129234.3,3757635.7,0.9006,0.75,77.0203,86.6439,0.1,0.0999,0.15,81.7426,,1.8615,,,11.5499,0.2074,11.7573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,11.4,11.4514,11.12,11.23,2252052,11.118,,,11.1509,11.0764,11.0382,11.0155,48.1481,0.0676,0.0483,0.0193,False,0.3917,11.074733089329632,,91.16933792826795,11.11495,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.6134,0.0889,2960122.1,3584006.75,0.7608,0.6284,63.2257,76.0736,0.17,0.0514,0.11,70.7827,,0.7093,,,11.5499,0.0791,11.629,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,11.395,11.47,11.14,11.17,3148016,11.1425,,,11.1527,11.0801,11.0408,11.017,47.1503,0.0605,0.0507,0.0098,False,0.3837,11.081423345388663,,111.70480144471539,11.11495,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.5306,0.0806,2909233.9,3423399.65,1.0821,0.9196,56.3283,65.5248,0.225,0.075,0.03,65.3028,,0.1549,,,11.5499,0.0173,11.5672,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-06,11.16,11.195,10.975,11.08,2894825,11.1705,,,11.1458,11.0801,11.0416,11.0177,46.9072,0.0472,0.05,-0.0029,False,0.3862,11.081484731981625,,110.98163253981461,11.11495,,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.3681,0.0614,2885417.1,3340555.3,1.0033,0.8666,45.9823,55.1788,0.08,0.035,0.105,57.0828,,-0.5903,,,11.5499,-0.0658,11.4841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,11.12,11.12,10.555,10.6,3432434,11.1525,,,11.0938,11.0613,11.0328,11.0135,38.3966,-0.0021,0.0396,-0.0417,False,0.4037,11.069621963805346,,106.1702617096951,11.05245,11.00245,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,-0.1595,0.0751,2974017.2,3332632.4,1.1541,1.0299,4.5231,35.6112,0.52,0.0,0.045,13.2432,,-4.4513,,,11.5499,-0.4938,11.0561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,10.61,10.63,10.35,10.37,2519550,11.1105,,,11.0249,11.0342,11.0197,11.0071,35.4086,-0.0591,0.0199,-0.079,False,0.4051,11.053363488504234,,88.16320773015002,10.94995,10.94995,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,-0.1803,0.098,2927817.8,3321999.9,0.8606,0.7584,1.6668,17.3907,0.24,0.02,0.02,1.6668,,-5.94,,,11.5499,-0.6549,10.895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-11,10.37,10.39,9.95,9.96,3969357,11.051,,,10.9235,10.992,10.9987,10.9967,27.2408,-0.1358,-0.0113,-0.1245,False,0.4047,11.015517752036176,17.4336729493842,88.24100382965952,10.749949999999998,10.749949999999998,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,-0.2292,0.1354,3084870.8,3312817.05,1.2867,1.1982,0.625,2.2716,0.41,0.02,0.01,0.625,,-8.8201,,,11.5499,-0.9635,10.5864,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-12,9.95,10.02,9.785,10.0,5040080,10.986,,,10.8355,10.9531,10.979,10.9868,25.5396,-0.1911,-0.0472,-0.1438,False,0.3976,10.96366751571195,19.490676348669474,71.8610207858002,10.667449999999999,10.667449999999999,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,-0.065,0.1588,3278834.0,3301766.35,1.5372,1.5265,12.182,4.8246,0.05,0.02,0.165,12.182,,-7.7109,,,11.5499,-0.8355,10.7144,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-13,10.09,10.33,9.94,10.23,7896283,10.9335,,,10.7778,10.9248,10.9641,10.9792,35.7414,-0.2139,-0.0806,-0.1333,True,0.389,10.907938472030759,19.062766278903222,91.80544589905065,10.667449999999999,10.667449999999999,,,,9.27,9.389999999999999,9.62,9.739999999999998,9.04,8.92,8.69,10.9670036,10.6063982,10.31495,10.0235018,9.6085586,0.1189,0.1688,3774658.4,3437337.0,2.0919,2.2972,25.2139,12.6736,0.14,0.1,0.15,25.2139,,-5.0831,,,11.5499,-0.5478,11.0021,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
