Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,90.54,90.6,84.71,85.4,3027058,,,,88.6411,86.1527,84.8364,84.0521,52.3234,1.9877,2.0408,-0.0531,False,6.4007,89.48021698442548,,8.927575047427744,90.97999999999999,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,,,3359005.0,,0.9012,,28.5714,,5.14,0.06,0.69,,,-3.6564,,,,-3.2411,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-23,87.69,87.7,80.0,80.15,4098524,,,,87.8324,85.9173,84.7436,84.0132,46.4904,1.0643,1.8455,-0.7812,False,6.6871,88.95639522937874,,7.4770348216193145,88.625,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,,,3486821.1,,1.1754,,0.8696,30.1764,7.54,0.01,0.15,,,-8.7466,,,,-7.6824,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-24,81.43,87.09,81.43,86.88,4165689,,,,87.7417,85.955,84.7859,84.0418,51.1971,0.8656,1.6495,-0.7839,False,6.8021,88.68118796859804,,6.30053554552137,88.625,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,,,3657373.4,,1.139,,39.8841,23.1084,5.45,0.21,0.0,,,-0.9821,,,,-0.8617,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,90.13,97.73,89.3525,95.87,6121925,,,,88.5158,86.3438,85.0054,84.1595,55.8676,1.4172,1.6031,-0.1859,True,7.165,89.220414933054,,5.981457481806401,88.86500000000001,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,,,3724646.1,,1.6436,,89.5093,43.421,5.74,1.86,0.7775,,,8.3083,,,,7.3542,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,98.626,102.65,96.61,99.98,6034115,,,,89.6076,86.8786,85.3019,84.3169,61.1736,2.1611,1.7147,0.4464,True,7.3343,90.12748393616056,,6.817296455005844,91.325,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,,,3896252.5,,1.5487,,88.2119,72.5351,1.354,2.67,2.016,,,11.5753,,,,10.3724,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,97.735,99.1768,95.18,98.12,3941324,90.1015,,,90.4183,87.3194,85.5557,84.4542,56.0195,2.5709,1.8859,0.685,True,6.9486,90.51992444036118,,6.167763157894737,91.325,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,0.8701,0.2405,3946393.8,3698266.95,0.9987,1.0657,80.0,85.9071,0.385,1.0568,2.555,80.0,,8.5178,,,102.65,7.7017,110.3517,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,95.68,101.62,95.35,101.015,2730271,90.9938,,,91.4275,87.8565,85.8618,84.619,59.7092,3.0936,2.1275,0.9662,True,6.9136,90.8334931486174,,6.1989874987085445,91.325,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,0.9412,0.2496,3943102.4,3651051.1,0.6924,0.7478,92.7815,86.9978,5.335,0.605,0.33,92.7815,,10.4864,,,102.65,9.5875,112.2375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,105.07,108.94,102.35,103.71,3450825,91.9872,,,92.5973,88.4782,86.2153,84.809,56.5097,3.6829,2.4385,1.2443,True,6.9339,91.44345335465056,,6.180788050476436,94.47,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,0.9817,0.2646,3965591.6,3668409.0,0.8702,0.9407,81.9281,84.9032,1.36,3.87,1.36,81.9281,,12.0011,,,108.94,11.1127,120.0527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,103.84,110.57,103.32,110.31,4584044,93.2278,,,94.2842,89.3344,86.6924,85.0627,68.4577,4.6291,2.8766,1.7524,True,6.9125,92.34279373538496,,7.233273056057866,95.285,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,1.0988,0.306,4141710.7,3775897.7,1.1068,1.214,99.1495,91.2864,6.47,0.26,0.52,99.1495,,16.9973,,,110.57,16.0258,126.5958,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,112.94,113.55,109.08,113.32,4590081,94.4742,,,96.0972,90.275,87.2197,85.3439,68.6322,5.5578,3.4129,2.1449,True,6.7482,93.35209850954098,,7.409367557554909,96.775,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,1.0662,0.3523,4274385.6,3817266.05,1.0739,1.2025,99.3145,93.464,0.38,0.23,3.86,99.3145,,17.9223,,,113.55,17.2228,130.7728,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-06,108.73,110.88,107.4201,110.17,7803774,95.7092,,,97.4374,91.0552,87.6741,85.5909,64.7458,5.9707,3.9244,2.0463,False,6.6904,94.6487539511279,,7.473450566861226,97.49000000000001,,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,0.9138,0.3651,4752057.2,4055531.1,1.6422,1.9242,89.9255,96.1298,1.44,0.71,1.3099,89.9255,,13.0674,,,113.55,12.7326,126.2826,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-07,145.135,153.2,141.51,149.07,20077447,98.6272,,,102.3548,93.3303,88.8899,86.2225,78.355,9.3294,5.0054,4.324,True,9.4539,103.77561584426633,,6.044354987990622,121.27625,116.6,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,1.3582,0.5959,6349949.5,4918385.3,3.1618,4.0821,94.3579,94.5326,3.935,4.13,3.625,94.3579,,45.6404,,,153.2,46.7152,199.9152,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-10,149.325,153.99,145.0,151.87,8646417,101.7778,,,107.0705,95.6259,90.137,86.8757,78.2799,12.0779,6.4199,5.6579,True,9.5732,106.97116370994706,,5.969040081358016,124.58500000000001,116.995,,,,174.67,178.11999999999998,181.32999999999998,184.77999999999997,171.45999999999998,168.01,164.79999999999998,154.78032,140.48984,128.94,117.39016000000001,100.94632,1.1697,0.7349,6798022.3,5227697.85,1.2719,1.654,97.1347,93.8061,2.545,2.12,4.325,97.1347,,41.8411,,,153.99,44.7995,198.7895,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
