Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,53.7,56.34,52.98,54.26,310628,,,,53.1037,52.4745,52.204,52.0563,56.8605,0.6552,0.4683,0.187,False,2.5364,52.85779388951913,,16.896648831315122,53.19,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,228786.2,,1.3577,,68.9008,,0.56,2.08,0.72,,,2.1774,,,,1.1563,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,54.5,55.18,53.78,54.36,189932,,,,53.2234,52.5484,52.2467,52.0792,57.1098,0.6716,0.5089,0.1626,False,2.4893,52.941463136415166,,17.21664275466284,54.09,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,228516.1,,0.8312,,70.2413,,0.14,0.68,0.58,,,2.1356,,,,1.1366,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,54.2,56.94,54.2,56.32,203752,,,,53.5183,52.6963,52.3274,52.1214,65.9243,0.8331,0.5738,0.2593,True,2.5264,53.09599378776435,,16.963528413910094,54.269999999999996,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,228534.8,,0.8916,,92.0716,77.0712,2.12,0.62,0.0,,,5.2351,,,,2.8017,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-27,56.08,57.92,55.8,57.28,166195,,,,53.8765,52.8761,52.4255,52.1727,65.2667,1.0267,0.6643,0.3623,True,2.565,53.25977231215205,,19.493177387914226,54.760000000000005,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,218865.6,,0.7593,,92.7273,85.0134,1.2,0.64,0.28,,,6.3172,,,,3.4035,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,57.44,60.0,56.8,60.0,344906,,,,54.4597,53.1555,52.5755,52.2506,74.3724,1.3836,0.8082,0.5754,True,2.6864,53.71416424901132,,21.270938580164845,55.8,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,232203.1,,1.4854,,100.0,94.933,2.56,0.0,0.64,,,10.1732,,,,5.5403,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-29,60.0,63.0,59.06,63.0,373102,,,,55.2731,53.5415,52.7819,52.3576,79.3548,1.8869,1.0239,0.8629,True,2.8307,54.349805420644216,,22.71006813020439,57.86,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,,,243649.9,,1.5313,,100.0,97.5758,3.0,0.0,0.94,,,13.9795,,,,7.7269,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,62.0,62.48,60.52,60.98,297269,54.73,,,55.8166,53.8332,52.9442,52.4434,70.2653,2.0985,1.2388,0.8596,False,2.815,54.766532864767164,,20.299416391778735,57.86,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,0.9533,0.2519,243253.3,248844.25,1.2221,1.1946,82.2807,94.0936,1.02,0.48,0.46,85.4467,,9.2507,,,63.0,5.1634,68.1634,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,56.6,72.0,55.5,69.0,1260361,55.585,,,57.0722,54.428,53.2622,52.6081,75.4532,2.8802,1.5671,1.313,True,3.7236,56.93544577473243,,15.346249760214848,62.36,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,1.2248,0.333,347133.5,301990.75,3.6308,4.1735,85.2941,89.1916,12.4,3.0,1.1,86.8881,,20.8996,,,72.0,11.9278,83.9278,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,66.4,68.84,63.76,64.96,506836,56.303,,,57.8234,54.841,53.4938,52.731,70.2532,3.1375,1.8812,1.2563,False,3.8671,57.60564914098021,,14.776505356483192,62.489999999999995,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,0.9401,0.3494,379720.2,302688.05,1.3348,1.6744,65.4902,77.6883,1.44,2.44,1.2,69.2308,,12.3421,,,72.0,7.1366,79.1366,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,,,,,,,,
2026-08-04,65.02,68.4,64.8,67.04,326268,57.06,,,58.7012,55.3194,53.762,52.8734,70.5841,3.4692,2.1988,1.2704,True,3.8243,58.02747005593784,,13.074336944340677,62.89,,,,,69.95333333333333,70.38666666666667,71.03333333333333,71.46666666666667,69.30666666666667,68.87333333333333,68.22666666666667,67.7992,65.2004,63.1,60.9996,58.0092,0.9663,0.3751,397924.9,307754.55,0.8199,1.0602,75.6863,75.4902,2.02,1.36,0.22,78.3217,,14.2056,,,72.0,8.3388,80.3388,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
