Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,139.22,139.69,137.18,137.92,2283384,,,,134.7543,132.4694,131.4567,130.8937,66.4653,2.3387,1.6525,0.6862,False,3.8592,134.29240336205166,,14.806808170396751,138.66125,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,,,3740527.3,,0.6104,,67.1066,,1.3,0.47,0.74,,,2.3492,,,,3.1657,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,135.09,135.585,132.55,134.48,3201863,,,,134.7282,132.5482,131.5165,130.9294,58.0475,2.0177,1.7255,0.2922,False,4.0499,134.2880166032903,,12.34585320427802,138.47500000000002,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,,,3614721.9,,0.8858,,49.6447,62.2335,0.61,0.495,1.93,,,-0.1842,,,,-0.2482,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,134.51,137.575,134.23,136.78,2485390,,,,134.9236,132.7142,131.6208,130.9876,71.6019,1.9267,1.7658,0.161,False,3.8953,134.3595248173451,,14.669693513428276,138.47500000000002,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,,,3522907.3,,0.7055,,57.8304,58.1939,2.27,0.795,0.28,,,1.3759,,,,1.8564,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,138.18,140.91,137.445,140.34,3039321,,,,135.4395,133.0132,131.7934,131.0807,73.8353,2.1175,1.8361,0.2814,True,4.0624,134.58775850984847,,15.824398409120493,138.47500000000002,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,,,3402472.9,,0.8933,,74.7512,60.7421,2.16,0.57,0.735,,,3.6182,,,,4.9005,,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,141.91,145.85,141.29,144.2,4621711,,,,136.2738,133.4519,132.0391,131.2112,72.8118,2.5507,1.979,0.5717,True,4.0282,135.16231930530236,,15.95908799131827,139.2,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,,,3613961.5,,1.2788,,88.6909,73.7575,2.29,1.65,0.62,,,5.8164,,,,7.9262,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,144.1,145.29,143.07,144.51,2627557,135.8575,,,137.0582,133.8856,132.286,131.3435,73.5566,2.8858,2.1604,0.7254,True,3.9274,135.4755463988851,,14.549634258568835,139.2,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,0.9267,0.1492,3354312.9,3828452.55,0.7833,0.6863,89.9248,84.4556,0.41,0.78,1.03,93.6643,,5.437,,,145.85,7.4518,153.3018,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,145.03,145.14,141.05,144.49,3310975,136.5675,,,137.766,134.3014,132.5277,131.4744,70.2118,3.1138,2.3511,0.7628,True,3.9496,135.81064173000019,,12.659555613427825,139.2,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,0.878,0.1535,3255938.0,3747558.95,1.0169,0.8835,89.7744,89.4634,0.54,0.11,3.44,93.5697,,4.8807,,,145.85,6.724,152.574,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,147.52,150.07,147.52,149.35,4856477,137.5245,,,138.8692,134.8916,132.8608,131.6522,76.3939,3.6447,2.6098,1.0349,True,4.1589,136.56541308919842,,12.022471717135303,141.31,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,1.0149,0.167,3222805.7,3826761.3,1.5069,1.2691,95.8904,91.8632,1.83,0.72,0.0,97.162,,7.5472,,,150.07,10.4808,160.5508,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-04,147.37,149.89,146.47,148.11,3181099,138.625,,,139.7493,135.4099,133.1628,131.816,75.1157,3.9202,2.8719,1.0483,True,4.1718,136.98481630681607,,11.985213670677169,141.31,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,0.9279,0.1599,3202098.3,3725320.45,0.9934,0.8539,88.8128,91.4925,0.74,1.78,0.9,92.2743,,5.9826,,,150.07,8.3607,158.4307,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-05,148.65,148.95,146.91,147.7,3554077,139.6325,,,140.5065,135.8919,133.4506,131.974,69.4341,4.0586,3.1092,0.9494,False,3.8691,137.40710599046835,,11.076793563644507,141.31,,,,,158.01,161.51999999999998,164.79,168.29999999999998,154.73999999999998,151.23,147.95999999999998,155.0344436,150.7376782,147.26495,143.7922218,138.8479986,0.8844,0.1503,3316185.4,3753200.0,1.0717,0.9469,86.4726,90.3919,0.95,0.3,0.79,90.6583,,5.1197,,,150.07,7.1935,157.2635,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
