Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,375.53,380.17,372.9,374.01,29935261,,,,397.7452,410.764,417.2383,421.0449,33.2265,-12.106,-8.9683,-3.1377,True,16.6243,398.23404353942885,,1.2889909005835687,391.2925,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,,,31572045.9,,0.9482,,7.2865,,1.52,4.64,1.11,,,-5.9674,,,,-23.7352,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-23,341.0,342.11,315.735,319.69,115242260,,,,390.3114,407.1925,415.3067,420.0364,28.969,-16.7983,-10.5343,-6.264,False,17.7119,385.81493353621687,,1.2098418212474837,361.16225,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,,,39312773.1,,2.9314,,3.7932,8.6878,21.31,1.11,3.955,,,-18.0936,,,,-70.6214,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-24,320.72,322.96,306.51,313.03,62589131,,,,382.9513,403.4998,413.2814,418.9717,15.7225,-20.8144,-12.5903,-8.2241,False,16.7797,379.7080402698573,,1.2770505920619384,356.54975,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,,,42230686.7,,1.4821,,5.7674,5.6157,7.69,2.24,6.52,,,-18.2585,,,,-69.9213,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,313.24,317.0,304.28,309.22,44770502,,,,375.9292,399.8026,411.2208,417.8796,17.1621,-24.0276,-14.8778,-9.1499,False,16.4105,375.71182999248606,,1.3057881672087859,355.43475,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,,,43426819.8,,1.0309,,4.5371,4.6992,4.02,3.76,4.94,,,-17.7452,,,,-66.7092,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,305.925,311.16,300.69,307.44,39558483,,,,369.4065,396.1805,409.1657,416.7807,18.0558,-26.4133,-17.1849,-9.2285,False,16.2733,372.3640090942472,,1.3167926617778536,348.0,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,,,45050456.5,,0.8781,,6.0016,5.4354,1.515,3.72,5.235,,,-16.7746,,,,-61.9665,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,302.7,310.87,301.33,308.85,37862379,374.3915,,,363.6392,392.7558,407.1792,415.7068,10.7631,-27.869,-19.3217,-8.5473,True,15.7407,369.4753012483269,,0.9075670215556239,343.65,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.0863,0.4231,45689218.1,42825477.3,0.8287,0.8841,7.2553,5.9313,6.15,2.02,1.37,6.1739,,-15.0669,,,432.8599,-54.7892,378.0707,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,309.69,315.5,301.97,311.21,36532996,368.687,,,358.6459,389.5579,405.2789,414.667,11.5798,-28.5036,-21.1581,-7.3455,True,15.9678,367.02425848395666,,0.8946564407435489,343.65,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.1416,0.435,46429188.5,42645732.0,0.7869,0.8567,9.9339,7.7303,1.52,4.29,7.72,7.9595,,-13.2264,,0.0,432.35,-47.4359,384.9141,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
2026-08-03,310.96,324.65,310.425,322.08,38193900,365.1185,,,355.1635,386.9117,403.6314,413.7457,20.5797,-27.8088,-22.4882,-5.3206,True,15.8132,365.0567019194012,,1.3551084199661674,342.38,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.2372,0.4486,47115277.6,40859638.9,0.8106,0.9348,20.1984,12.4625,11.12,2.57,0.535,16.1837,,-9.315,,3.4928,420.0,-33.0835,386.9165,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,324.0,329.57,320.7901,327.35,33205888,360.4975,,,352.5146,384.576,402.1208,412.8861,22.9803,-26.5272,-23.296,-3.2312,True,15.9075,363.7086469608131,,1.7961028161096055,340.43,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.291,0.4399,47055079.7,39783540.25,0.7057,0.8347,25.1748,18.4357,3.35,2.22,3.2099,20.171,,-7.1386,,5.1862,419.56,-25.1646,394.3954,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,323.42,327.14,320.28,321.55,27725948,356.43,,,349.5655,382.1043,400.5254,411.9773,22.267,-25.6834,-23.7735,-1.9099,True,15.2746,362.57077235496337,,1.4028859233958813,321.4,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.2778,0.4404,46561674.8,39262342.6,0.5955,0.7062,22.0461,22.4731,1.87,3.72,1.27,15.7827,,-8.0144,,3.3225,413.16,-28.0155,385.1445,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-06,317.05,323.0,315.5205,319.53,25973123,352.7035,,,346.705,379.6505,398.9215,411.0574,22.5033,-24.8908,-23.997,-0.8939,True,15.0953,361.4682004464111,,1.4195511946942854,315.13,,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.2874,0.4425,46165461.0,38868753.45,0.5626,0.6682,21.9274,23.0494,2.48,3.47,1.5295,14.2544,,-7.8381,,2.6734,413.16,-27.175,385.985,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-07,322.34,333.73,321.2508,328.58,39374913,348.805,,,344.9788,377.6477,397.5286,410.2367,29.7285,-23.2643,-23.8504,0.5862,True,15.121,360.21661505658307,,1.8895162082700336,317.21000000000004,366.77495,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.3641,0.4267,38578726.3,38945749.7,1.0206,1.011,32.4604,25.478,6.24,5.15,1.0892,21.1016,,-4.7536,,5.5814,413.16,-16.3988,396.7612,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,326.595,332.05,326.15,330.88,24955948,344.961,,,343.6361,375.8137,396.2088,409.4471,33.8698,-21.5413,-23.3886,1.8473,True,14.315,359.51291348545243,,1.995914363298327,317.21000000000004,366.52,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.3985,0.4021,34815408.0,38523047.35,0.7168,0.6478,36.2077,30.1985,4.285,1.17,0.445,22.8418,,-3.7121,,6.3205,406.5895,-12.7561,393.8334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-11,332.8,336.2,329.53,332.81,23303902,341.8635,,,342.605,374.1272,394.9534,408.6845,29.5022,-19.7919,-22.6693,2.8773,True,13.7557,358.9509303076591,64.84248246229069,2.5963316948749435,318.765,360.345,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.4308,0.3827,32668748.0,38047783.9,0.7133,0.6125,40.4127,36.3603,0.01,3.39,3.27,24.3021,,-2.859,,0.0,406.5895,-9.795,396.7945,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,,,,,,,
2026-08-12,335.0,335.5,323.64,327.51,28624958,338.43,,,341.1674,372.2991,393.6179,407.8768,29.4029,-18.6186,-21.8591,3.2406,True,14.0835,358.1922183460264,63.55881225568826,2.5358904576470778,319.08500000000004,360.125,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.4096,0.3571,31575395.5,38312926.0,0.9066,0.7471,64.7513,47.1239,7.49,0.5,3.87,20.2921,,-4.0031,,-1.5925,406.5895,-13.6574,392.9321,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-13,327.2,341.64,325.24,339.96,34592606,335.705,,,341.0524,371.0309,392.5554,407.201,64.2726,-16.4939,-20.7861,4.2921,True,11.0925,357.5240689330268,60.02715596056333,3.8636293388557443,326.0325,356.925,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.5391,0.3241,31248418.2,38468818.15,1.107,0.8992,95.8974,67.0205,12.76,1.68,1.96,29.7118,,-0.3203,,2.1484,395.31,-1.0924,394.2176,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
2026-08-14,342.33,351.26,335.3306,342.27,45380612,333.2655,,,341.1684,369.903,391.5596,406.555,71.9322,-14.4571,-19.5203,5.0632,True,11.0553,356.97957470179836,58.36213268658913,4.522729299144943,333.39025000000004,356.925,,,,343.8633333333334,348.7666666666668,352.4033333333334,357.30666666666684,340.2266666666668,335.3233333333334,331.6866666666668,339.60052,332.16474,326.155,320.14526,311.58902,0.5939,0.2878,32133179.8,39281184.15,1.4123,1.1553,82.2227,80.9571,0.06,8.93,6.9394,31.4595,,0.3229,,2.8425,386.61,1.1016,387.7116,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,,,,,,,,
