Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,414.905,424.81,414.21,421.21,10237454,,,,426.5155,435.0978,439.228,441.6088,40.3746,-7.9885,-6.5002,-1.4882,True,17.7907,426.04004595026834,,1.6059742241137034,412.8375,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,,,15233077.4,,0.6721,,46.6402,,6.305,3.6,0.695,,,-1.2439,,,,-5.3055,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,415.84,420.84,411.8,415.58,11028595,,,,425.474,434.3324,438.7597,441.3498,41.9316,-7.8505,-6.7703,-1.0802,True,16.1793,425.5809358129768,,1.7659264491633933,412.005,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,,,15190380.8,,0.726,,39.9405,44.454,0.26,5.0,3.78,,,-2.3254,,,,-9.894,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,411.345,412.92,400.8,403.41,11502778,,,,423.3727,433.1198,438.0597,440.9723,27.9449,-8.6238,-7.141,-1.4828,False,15.3871,424.6700038976912,,1.856837805217715,408.5375,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,,,15381146.3,,0.7478,,28.1985,38.2597,7.935,1.575,2.61,,,-4.7151,,,,-19.9627,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,406.075,407.43,388.8,399.09,17910061,,,,421.06,431.7853,437.288,440.5556,32.338,-9.4759,-7.608,-1.868,False,15.0264,422.9225017474831,,1.901411798260209,407.455,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,,,15739170.4,,1.1379,,21.1934,29.7775,6.985,1.355,10.29,,,-5.2178,,,,-21.97,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,385.0,395.36,381.3,392.31,18198378,,,,418.3219,430.2372,436.3974,440.0755,27.0098,-10.5765,-8.2017,-2.3748,False,15.4586,420.8133573988358,,1.3861935126143619,403.35,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,,,16135950.8,,1.1278,,16.5838,21.9919,7.31,3.05,3.7,,,-6.2182,,,,-26.0119,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,392.49,406.77,387.6,403.31,17401285,420.109,,,416.8922,429.1812,435.7422,439.7097,34.44,-10.4407,-8.6495,-1.7912,True,16.0207,419.57945601951633,,1.3375540594765718,403.35,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,0.2514,0.1608,16186302.2,15221482.2,1.0751,1.1432,37.7174,25.1649,10.82,3.46,4.89,25.2379,,-3.258,,,468.51,-13.5822,454.9278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,419.5,420.35,398.8,404.25,11927661,418.11,,,415.6882,428.2036,435.1186,439.3569,35.9443,-10.1403,-8.9476,-1.1927,True,16.7346,419.13533364287264,,1.7073222784215814,403.35,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,0.2866,0.1554,14896372.2,14891123.35,0.8007,0.801,40.4833,31.5949,15.25,0.85,5.45,26.3158,,-2.7516,,,461.47,-11.4382,450.0318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,400.585,407.44,398.2001,406.11,12630545,416.7075,,,414.776,427.3371,434.5442,439.026,41.9048,-9.6411,-9.0863,-0.5547,True,16.1303,418.5510578495118,,1.7712838575374117,403.35,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,0.3343,0.1535,14064334.0,14601409.85,0.8981,0.865,49.8643,42.6884,5.525,1.33,2.3849,28.4486,,-2.0893,,,460.03,-8.666,451.364,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,418.0,420.25,412.11,417.17,13902026,414.9765,,,415.004,426.9384,434.2001,438.8086,48.4728,-8.2578,-8.9206,0.6629,True,16.2693,418.46830580205443,,2.1951978729410704,403.055,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,0.54,0.1321,14291361.6,14657088.45,0.9728,0.9485,75.373,55.2402,0.83,2.25,5.06,41.1306,,0.5219,,,447.69,2.166,449.856,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,,,,,
2026-08-05,419.32,426.3,413.0701,414.0,12766671,414.048,,,414.9084,426.431,433.8001,438.5617,47.4554,-7.3327,-8.603,1.2703,True,15.9186,418.4439584885308,,2.6922755920987114,403.8,,,,,413.89276666666666,420.0672333333333,424.13446666666664,430.3089333333333,409.82553333333334,403.6510666666667,399.58383333333336,423.12136000000004,415.12932,408.67,402.21068,393.01436,0.4991,0.1262,13750545.4,14550501.1,0.9284,0.8774,72.6667,65.968,5.32,6.98,0.9299,37.4957,,-0.2189,,,447.69,-0.9084,446.7816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
