Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,71.47,71.47,69.96,70.33,14982695,,,,72.6947,72.7802,72.7468,72.7112,42.479,-0.2848,0.0391,-0.3239,False,2.2009,73.11642833694515,,12.981491638296694,73.13,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,,,14254704.8,,1.0511,,5.836,,1.14,0.0,0.37,,,-3.2529,,,,-2.3647,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,70.17,71.08,68.35,68.91,23617658,,,,72.3343,72.6284,72.6708,72.6734,31.7701,-0.5474,-0.0782,-0.4692,False,2.2402,72.75066571008118,,9.56538097318186,72.32499999999999,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,,,15626924.1,,1.5113,,7.044,6.3355,1.26,0.91,0.56,,,-4.7339,,,,-3.4243,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,69.39,70.07,65.56,65.94,27923969,,,,71.7253,72.3661,72.5375,72.6064,29.8758,-0.9837,-0.2593,-0.7244,False,2.3695,72.16446279675138,,9.043471969758631,70.48,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,,,17442644.9,,1.6009,,3.5382,5.4727,3.45,0.68,0.38,,,-8.0659,,,,-5.7853,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,66.38,68.34,65.41,68.18,25706543,,,,71.3876,72.2019,72.4512,72.5623,31.2842,-1.1357,-0.4346,-0.7011,True,2.4052,71.73502213602372,,5.939459093460357,70.405,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,,,18767447.1,,1.3697,,25.4362,12.0061,1.8,0.16,0.97,,,-4.4933,,,,-3.2076,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,69.11,70.9,68.76,70.74,20936286,,,,71.326,72.1446,72.4173,72.5442,42.1687,-1.0377,-0.5552,-0.4824,True,2.4431,71.62738004476851,,8.771109135987276,70.405,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,,,18991897.0,,1.1024,,48.944,25.9728,1.63,0.16,0.35,,,-0.8215,,,,-0.586,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,70.6,70.6,68.69,70.37,14163717,72.0015,,,71.2349,72.075,72.3768,72.5226,38.8702,-0.9785,-0.6399,-0.3386,True,2.4431,71.55167947234641,,8.771109135987276,69.435,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,0.3261,0.1303,19021264.0,16284534.5,0.7446,0.8698,45.5464,39.9755,0.23,0.0,1.68,45.5464,,-1.2142,,0.0,76.3,-0.8649,75.4351,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,
2026-07-31,69.96,70.5,69.5,70.36,11981557,71.8865,,,71.1516,72.0078,72.3369,72.5011,38.1921,-0.9218,-0.6963,-0.2256,True,2.3817,71.50087947514189,,5.99822452554044,69.41,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,0.3388,0.1318,18430736.2,16251210.65,0.6501,0.7373,45.4545,46.6483,0.4,0.14,0.46,45.4545,,-1.1125,,-0.0142,76.3,-0.7916,75.5084,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,71.23,71.949,71.015,71.61,12934437,71.7455,,,71.1952,71.9922,72.3225,72.4922,42.9031,-0.7672,-0.7104,-0.0567,True,2.3216,71.50175702238847,,9.230144420993039,69.19999999999999,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,0.4852,0.1277,17893456.8,16193061.15,0.7229,0.7988,62.0621,51.021,0.38,0.339,0.215,56.933,,0.5826,,1.7621,76.3,0.4148,76.7148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,71.31,72.29,71.1395,71.99,19882593,71.724,,,71.2709,71.9921,72.3159,72.4872,49.7333,-0.607,-0.6897,0.0828,True,2.188,71.5181112894877,,13.057941350256424,68.85,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,0.5291,0.1275,18388058.5,16396114.1,1.0813,1.2126,65.8659,57.7942,0.68,0.3,0.1705,60.4224,,1.0089,,2.3021,76.3,0.7191,77.0191,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,
2026-08-05,69.0,69.42,66.735,68.18,50068079,71.4165,,,70.9766,71.8426,72.234,72.4443,38.8253,-0.7784,-0.7075,-0.071,False,2.4289,71.11256817853918,,11.76314899498596,68.85,,,,,78.93,79.77000000000001,80.99000000000001,81.83000000000001,77.71000000000001,76.87,75.65,76.67136,74.51932000000001,72.78,71.04068,68.56436,0.1529,0.1305,22219753.4,18118738.55,2.2533,2.7633,27.7277,51.8852,0.82,0.42,1.445,25.4362,,-3.9401,,-3.1121,76.3,-2.7966,73.5034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
