Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,491.4,493.035,479.53,483.52,551913,,,,469.5816,462.0839,458.7206,456.8293,69.7662,7.7857,5.0461,2.7396,False,13.1798,469.05050771806884,,4.335655618874189,477.86,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,,,563075.2,,0.9802,,77.5987,,7.88,1.635,3.99,,,2.9683,,,,13.9384,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-23,479.81,483.5,473.675,477.955,519550,,,,470.3791,462.7062,459.1015,457.0395,61.591,7.455,5.5279,1.9271,False,13.1558,469.57843960909145,,3.8005988657927086,477.86,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,,,575525.0,,0.9027,,66.388,77.8572,1.855,3.69,4.28,,,1.6106,,,,7.5759,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-24,476.18,481.01,471.76,475.36,545375,,,,470.8535,463.2025,459.4234,457.2218,67.466,6.9039,5.8031,1.1008,False,12.9494,469.9410461261577,,3.8611848873223487,477.86,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,,,587462.8,,0.9284,,61.1604,68.3824,0.82,4.83,3.6,,,0.9571,,,,4.5065,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,480.2,484.6,474.46,480.51,425091,,,,471.7731,463.8812,459.841,457.4535,69.2774,6.8043,6.0033,0.801,False,12.9505,470.3563802354161,,3.8608654405661103,478.7,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,,,574508.6,,0.7399,,71.5351,66.3611,0.31,4.09,5.74,,,1.8519,,,,8.7369,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-28,488.09,503.42,486.255,501.52,517637,,,,474.6062,465.3572,460.6663,457.892,76.0701,8.3247,6.4676,1.8571,True,13.6305,471.6525663352988,,4.192287658009938,484.6,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,,,581423.7,,0.8903,,96.552,76.4158,13.43,1.9,1.835,,,5.6708,,,,26.9138,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,507.19,517.27,505.0,516.73,535695,474.3548,,,478.618,467.3719,461.7765,458.4774,78.5044,10.6344,7.301,3.3335,True,13.7787,473.6298772541656,,4.1471921435592,494.515,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,1.1355,0.1406,577273.7,560094.35,0.928,0.9564,99.039,89.042,9.54,0.54,2.19,99.2528,,7.9629,,,517.27,38.112,555.382,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-31,516.37,516.37,506.21,512.83,511281,477.2572,,,481.8763,469.1545,462.7875,459.0182,73.2,12.0117,8.2431,3.7686,True,13.783,475.2961525775975,,3.6276647788990104,494.515,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,0.992,0.1515,576021.8,546936.05,0.8876,0.9348,92.0982,95.8964,3.54,0.0,6.62,93.8564,,6.4236,,,517.27,30.9537,548.2237,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,519.31,535.26,516.425,534.41,977516,480.9112,,,486.8795,471.7136,464.2057,459.7684,77.395,14.6753,9.5296,5.1458,True,14.4008,479.4095231511319,,3.4720224431530706,503.51,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,1.1161,0.1806,596412.5,567437.55,1.639,1.7227,98.8541,96.6638,15.1,0.85,2.885,99.0583,,9.7623,,,535.26,47.5305,582.7905,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-04,526.39,546.13,526.39,543.86,494675,485.4798,,,492.3062,474.5428,465.783,460.6051,82.0168,17.3489,11.0934,6.2555,True,14.6737,481.6374250460959,,3.8942402239966953,508.945,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,1.0884,0.2044,582367.9,557197.6,0.8494,0.8878,97.2772,96.0765,17.47,2.27,0.0,97.7554,,10.4719,,,546.13,51.5538,597.6838,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,547.13,550.77,535.29,539.47,459322,489.7642,,,496.798,477.089,467.2422,461.3898,81.0378,18.8956,12.6539,6.2417,False,14.9423,483.66414140584885,,4.302275999609925,511.265,,,,,518.4996666666666,523.4193333333332,531.6986666666666,536.6183333333331,510.2203333333332,505.30066666666664,497.02133333333325,544.31708,530.45146,519.245,508.03854,492.08358,0.9708,0.2156,553805.5,552547.45,0.8294,0.8313,86.7043,94.2786,7.66,3.64,4.18,89.3164,,8.5894,,,550.77,42.672,593.442,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
