Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,434.95,436.32,429.7,431.31,4231965,,,,426.6646,426.4392,426.4527,426.4856,52.9275,0.5902,-0.1152,0.7054,True,12.8285,427.5823049881742,,3.340777699640699,437.995,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,,,6498104.9,,0.6513,,35.8519,,3.64,1.37,1.61,,,1.0888,,,,4.6454,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,428.265,430.485,420.4001,423.56,4864775,,,,426.3689,426.3263,426.3954,426.4565,48.9777,0.2614,-0.0399,0.3013,False,12.9178,427.4403021060541,,2.7647404903986086,437.995,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,,,6427984.5,,0.7568,,19.4497,34.1783,4.705,2.22,3.1599,,,-0.6588,,,,-2.8089,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,425.24,429.0,418.92,420.74,3750443,,,,425.8328,426.1072,426.2834,426.3996,51.6469,-0.2242,-0.0767,-0.1474,False,12.9013,427.2670120928997,,2.768261111246448,437.995,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,,,6423166.4,,0.5839,,13.4815,22.9277,4.5,3.76,1.82,,,-1.196,,,,-5.0928,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,422.51,422.88,412.54,417.64,4615762,,,,425.0526,425.7751,426.1122,426.3124,43.0946,-0.8493,-0.2313,-0.6181,False,12.8821,426.83838580998935,,2.21792437765042,437.08000000000004,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,,,6498366.6,,0.7103,,10.3912,14.4408,4.87,0.37,5.1,,,-1.7439,,,,-7.4126,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-28,419.93,430.46,415.11,428.79,5917412,,,,425.4085,425.8934,426.1653,426.3371,51.8776,-0.44,-0.273,-0.167,True,13.4828,426.7270891022011,,2.1191064999353677,437.08000000000004,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,,,6576705.7,,0.8998,,33.1092,18.994,8.86,1.67,4.82,,,0.7949,,,,3.3815,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-30,415.19,427.34,411.29,421.47,3647560,425.183,,,425.0334,425.7199,426.0723,426.2886,44.077,-0.6982,-0.358,-0.3402,False,13.9625,426.51050795525396,,1.5347238954975804,424.38,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.3094,0.0458,6265723.0,5636657.7,0.5821,0.6471,20.2265,21.2423,6.28,5.87,3.9,20.2265,,-0.8384,,,461.62,-3.5634,458.0566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,422.0,422.81,414.06,414.4,3915838,424.576,,,424.0207,425.276,425.8412,426.1703,44.0719,-1.4565,-0.5777,-0.8788,False,13.93,426.1942670482559,,1.5383045525097698,424.145,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.0304,0.051,5330367.0,5583156.6,0.7346,0.7014,6.1792,19.8383,7.6,0.81,0.34,6.1792,,-2.2689,,,461.62,-9.6207,451.9993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,417.43,419.34,413.315,415.36,3208100,424.076,,,423.1959,424.8871,425.6336,426.0628,41.6979,-1.9575,-0.8537,-1.1038,False,13.8653,425.9215406949625,,1.5454764162874675,424.145,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.1237,0.0546,4579971.0,5546981.8,0.7005,0.5784,8.0866,11.4975,2.07,1.91,2.045,8.0866,,-1.8516,,,461.62,-7.8359,453.7841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-04,415.555,416.0,406.67,407.71,5259726,423.562,,,421.721,424.2135,425.2787,425.8802,39.8889,-2.9379,-1.2705,-1.6674,False,13.7914,425.25754754902624,,1.5537609041645457,421.495,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,-0.0882,0.0636,4624198.5,5491016.15,1.1374,0.9579,1.8926,5.3862,7.845,0.445,1.04,1.8926,,-3.3223,,,461.62,-14.011,447.609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,403.19,416.36,397.8,412.75,5397159,422.79,,,420.8666,423.764,425.0306,425.7495,46.5983,-3.2706,-1.6705,-1.6,True,14.3443,424.5840067845597,,1.4938758559286207,414.14250000000004,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.1443,0.0668,4480874.0,5470851.6,1.2045,0.9865,23.4253,11.1348,9.56,3.61,5.39,23.4253,,-1.9286,,,461.62,-8.1166,453.5034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-06,415.27,416.97,402.4,403.97,4709342,421.7085,,,419.2574,422.9877,424.6136,425.5328,39.0623,-4.1943,-2.1753,-2.019,False,12.3064,423.9987836477218,,1.7412512283076373,414.13,,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,-0.0426,0.0775,4528611.7,5513358.3,1.0399,0.8542,15.5533,13.6237,11.3,1.7,1.57,9.6678,,-3.6463,,,461.62,-15.2874,446.3326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-07,401.585,410.64,400.66,407.08,4093849,420.4785,,,418.0977,422.3639,424.2664,425.3492,39.3358,-4.6221,-2.6647,-1.9575,True,12.0128,423.47360969191203,,1.783804128793037,414.13,429.71000000000004,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.1031,0.0803,4451519.1,5439751.8,0.9197,0.7526,23.6735,20.884,5.495,3.56,0.925,14.5409,,-2.6352,,,461.62,-11.0177,450.6023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,408.6,413.07,407.99,408.74,3180339,419.6845,,,417.2065,421.8296,423.9589,425.1839,42.5739,-4.7722,-3.0862,-1.686,True,11.4668,423.17141023677374,,2.491670035612195,414.13,429.71000000000004,,,,387.12983333333335,390.4296666666667,396.00933333333336,399.3091666666667,381.5501666666667,378.25033333333334,372.6706666666667,419.47442,412.66279,407.1575,401.65220999999997,393.81417,0.188,0.0836,4394508.7,5408837.55,0.7237,0.588,27.9082,22.3783,0.14,4.33,0.61,17.142,,-2.0293,,,461.62,-8.4665,453.1535,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
