Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,189.83,189.83,182.1,184.55,1225034,,,,190.2455,187.6908,186.1993,185.279,50.3497,1.7106,2.2016,-0.491,False,7.3,191.55560552908017,,6.849315068493149,191.215,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,,,1396880.6,,0.877,,13.4868,,5.28,0.0,2.45,,,-2.9938,,,,-5.6955,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,187.19,187.3,179.25,179.58,1036975,,,,189.2297,187.3727,186.0682,185.2223,34.9221,0.654,1.8921,-1.238,False,7.255,191.19135228325888,,5.907256079551047,189.79000000000002,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,,,1372104.7,,0.7558,,1.5655,19.1772,7.61,0.11,0.33,,,-5.0995,,,,-9.6497,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,182.28,187.19,181.995,186.24,1056798,,,,188.945,187.3283,186.0716,185.2324,44.1799,0.3501,1.5837,-1.2336,True,7.3864,190.96413065445748,,4.835122328594913,189.79000000000002,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,,,1351084.8,,0.7822,,33.1594,16.0706,3.96,0.95,0.285,,,-1.4316,,,,-2.705,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,190.75,197.88,189.11,194.46,1708854,,,,189.4702,187.6079,186.2377,185.3243,51.8783,0.7636,1.4197,-0.656,True,7.6236,191.12745638237797,,4.6847184484212505,189.79000000000002,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,,,1336230.6,,1.2789,,72.1537,35.6262,3.71,3.42,1.64,,,2.6335,,,,4.9898,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,198.28,203.19,197.37,201.2,1691437,,,,190.5874,188.141,186.534,185.4822,60.8385,1.6166,1.4591,0.1576,True,7.9186,191.63478423223498,,5.4122316435143425,191.22,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,,,1336195.3,,1.2659,,91.6876,65.6669,2.92,1.99,0.91,,,5.5684,,,,10.6126,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,201.765,203.11,196.67,201.56,1441556,191.991,,,191.6324,188.6672,186.8316,185.6422,60.0611,2.2952,1.6263,0.669,True,7.8071,192.01996715361776,,5.4894784995425425,191.22,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,0.9208,0.1184,1341245.4,1648933.7,1.0748,0.8742,93.1913,85.6775,0.205,1.345,4.89,93.1913,,5.1806,,,203.19,9.9276,213.1176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,200.69,206.005,199.005,203.78,1884495,192.969,,,192.7893,189.2599,187.1672,185.8227,61.2446,2.9778,1.8966,1.0812,True,7.905,192.6096984642982,,5.421523448088911,192.6275,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,0.954,0.1234,1373120.1,1585619.6,1.3724,1.1885,91.6838,92.1876,3.09,2.225,1.685,91.6838,,5.7009,,,206.005,10.9907,216.9957,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,209.99,211.56,205.635,206.25,2608446,193.6445,,,194.0713,189.9261,187.5451,186.0259,58.351,3.6757,2.2524,1.4233,True,7.8457,193.668158527191,,5.4624908958485054,195.405,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,0.9738,0.1374,1508747.8,1587307.3,1.7289,1.6433,83.5655,89.4802,3.74,1.57,0.615,83.5655,,6.2754,,,211.56,12.1787,223.7387,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,205.0,212.34,204.68,211.86,1476150,194.637,,,195.7654,190.7863,188.0265,186.283,66.0675,4.6282,2.7276,1.9006,True,7.7943,194.27299815765724,,5.498533724340174,195.79500000000002,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,1.0534,0.1599,1531820.2,1547194.2,0.9637,0.9541,98.5494,91.2662,6.86,0.48,0.32,98.5494,,8.2214,,,212.34,16.0946,228.4346,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,212.85,214.245,210.4401,213.51,1548541,195.6975,,,197.4554,191.6774,188.5312,186.5539,66.6779,5.4532,3.2727,2.1805,True,7.5946,194.97884171310756,,5.643080783522954,196.7475,,,,,250.00663333333333,254.01326666666665,257.49653333333333,261.50316666666663,246.52336666666665,242.51673333333332,239.03346666666664,235.9692836,225.13025820000001,216.36995000000002,207.60964180000002,195.1373386,1.0049,0.1803,1567828.6,1505014.95,0.9877,1.0289,97.8997,93.3382,0.66,0.735,2.4099,97.8997,,8.1308,,,214.245,16.0546,230.2996,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
