Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,142.18,142.18,131.93,132.42,4278990,,,,138.3096,134.8005,132.8347,131.6371,51.9649,2.5767,2.8936,-0.3169,False,8.1978,139.6304899015647,,6.970468737883367,140.905,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,,,3995369.2,,1.071,,15.5702,,9.76,0.0,0.49,,,-4.2583,,,,-5.8896,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-07-23,135.86,136.33,127.11,127.87,4442975,,,,137.3154,134.5287,132.7364,131.5997,43.0445,1.4288,2.6006,-1.1718,False,8.3636,139.01617817237693,,5.978312390735667,138.495,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,,,3796942.3,,1.1701,,3.3377,27.4371,7.99,0.47,0.76,,,-6.8786,,,,-9.4454,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,130.49,136.0,130.49,135.34,3457761,,,,137.1273,134.5605,132.7879,131.6369,47.7546,1.1091,2.3023,-1.1932,False,8.2871,138.76542347103864,,5.171522151353216,138.495,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,,,3951927.1,,0.875,,36.144,18.3507,4.85,0.66,0.0,,,-1.3034,,,,-1.7873,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,141.55,150.24,140.19,147.54,6866830,,,,138.119,135.0695,133.0801,131.7951,52.9672,1.8192,2.2057,-0.3865,True,8.7929,139.4112314915958,,4.87408610885459,138.675,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,,,4312256.6,,1.5924,,88.3268,42.6029,5.99,2.7,1.36,,,6.821,,,,9.421,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,151.525,160.55,151.06,159.69,7406879,,,,140.1733,136.035,133.607,132.0727,65.1606,3.324,2.4294,0.8947,True,9.26,140.96680446869166,,5.399568034557236,143.83,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,,,4588495.8,,1.6142,,97.4282,73.9664,8.165,0.86,0.465,,,13.9232,,,,19.5167,,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-30,158.02,160.99,149.54,158.11,6819372,141.4275,,,141.8816,136.9007,134.0922,132.3318,63.5318,4.3391,2.8113,1.5278,True,9.4471,142.1087908555331,,5.292605474066231,144.05,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,1.0178,0.2278,4916928.8,4552232.55,1.3869,1.498,91.4994,92.4182,0.09,2.88,8.48,91.7502,,11.438,,,160.99,16.2284,177.2184,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-31,155.48,160.89,152.1,160.34,4086687,142.931,,,143.6395,137.8199,134.612,132.6104,64.323,5.2629,3.3016,1.9612,True,9.6857,142.7818572261015,,4.424778761061946,144.05,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,1.0033,0.242,4962140.2,4578368.15,0.8236,0.8926,98.0815,95.6697,4.86,0.55,3.38,98.1381,,11.6266,,,160.99,16.7005,177.6905,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-03,165.84,169.67,161.6401,165.05,3968769,144.4135,,,145.6786,138.8877,135.2147,132.9332,63.7354,6.3024,3.9018,2.4006,True,9.7614,143.68980764689087,,4.39045807112542,148.39,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,1.0287,0.2703,4798621.1,4561816.7,0.8271,0.87,89.1447,92.9085,0.79,3.83,3.4099,89.4012,,13.2973,,,169.67,19.3714,189.0414,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,162.93,172.15,162.28,171.28,3363359,146.078,,,148.1169,140.158,135.9289,133.3148,71.084,7.5419,4.6298,2.9121,True,9.5657,144.50649892368762,,5.22700119474313,149.63,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,1.0566,0.3099,4871864.8,4535587.65,0.6904,0.7415,98.0684,95.0982,8.35,0.87,0.65,98.1116,,15.6384,,,172.15,23.1631,195.3131,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-05,173.64,174.0,168.87,170.635,2259219,147.4273,,,150.2614,141.3532,136.6161,133.6861,69.6649,8.3757,5.379,2.9967,True,9.3907,145.08168397431086,,5.324408610329352,150.555,,,,,197.49,200.20000000000002,203.08,205.79000000000002,194.61,191.9,189.02,203.80032,189.14484,177.3,165.45516,148.59132,0.9621,0.3406,4695084.1,4352987.45,0.4812,0.519,92.8236,93.3456,3.005,0.36,1.765,92.9779,,13.5587,,,174.0,20.3736,194.3736,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
