Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,51.46,51.46,48.3,48.66,1097794,,,,50.576,49.7973,49.3902,49.1494,49.3868,0.6164,0.6763,-0.0599,False,2.7804,50.67547847331327,,12.845248157349149,51.425,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,,,1196134.0,,0.9178,,34.0426,,2.8,0.0,0.36,,,-3.7884,,,,-1.916,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,49.2,49.67,47.59,48.83,1289026,,,,50.4097,49.7594,49.3791,49.1462,48.5261,0.4011,0.6213,-0.2202,False,2.7982,50.54106276264699,,10.210619554868037,51.07,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,,,1183954.6,,1.0887,,35.9462,43.8596,0.37,0.47,1.24,,,-3.1338,,,,-1.5797,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,49.45,52.105,49.35,51.41,1211950,,,,50.505,49.8241,49.4193,49.1687,53.0992,0.4336,0.5837,-0.1502,True,2.8329,50.565912179514584,,12.607160867372665,51.07,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,,,1177070.8,,1.0296,,64.8376,44.9421,1.96,0.695,0.1,,,1.7919,,,,0.905,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,52.92,57.5,52.432,56.34,1598679,,,,51.0607,50.0796,49.5564,49.2401,62.3861,0.8474,0.6365,0.2109,True,3.1043,50.922385151345466,,11.504832029452366,52.545,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,,,1197580.6,,1.3349,,90.2357,63.6732,3.42,1.16,0.488,,,10.3392,,,,5.2793,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,56.84,59.5,56.69,58.55,1790369,,,,51.774,50.4118,49.7345,49.3327,72.7158,1.3383,0.7768,0.5614,True,3.1068,51.47855807589119,,13.79468904471778,53.545,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,,,1281714.3,,1.3969,,93.1556,82.743,1.71,0.95,0.15,,,13.0877,,,,6.776,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-30,59.0,59.36,55.345,56.68,1851816,51.674,,,52.2412,50.6576,49.872,49.4058,65.4101,1.5584,0.9331,0.6253,True,3.13,51.889986548035864,,13.692377909630304,53.545,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.9306,0.225,1351751.9,1271465.75,1.3699,1.4564,76.3224,86.5712,2.32,0.36,1.335,79.683,,8.4967,,,59.5,4.4388,63.9388,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,52.305,55.34,51.62,55.03,2539576,51.9815,,,52.5068,50.8291,49.9741,49.4618,59.8232,1.5815,1.0628,0.5187,False,3.3143,52.08127315532222,,10.775862068965514,53.545,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.7609,0.2247,1475202.3,1335975.05,1.7215,1.9009,62.4685,77.3155,2.725,0.31,0.685,67.7954,,4.8054,,,59.5,2.5232,62.0232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,55.4,58.96,55.4,56.84,2465199,52.356,,,52.9195,51.0648,50.1101,49.5352,59.0667,1.726,1.1954,0.5305,True,3.3729,52.485096206997916,,10.588733587462936,53.545,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.8684,0.2325,1589350.3,1391599.1,1.5511,1.7715,77.6658,72.1523,1.44,2.12,0.0,80.8357,,7.4084,,,59.5,3.9205,63.4205,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-04,56.455,68.32,56.0,66.78,3586016,53.1845,,,54.2396,51.6811,50.4402,49.7068,70.6487,2.6124,1.4788,1.1336,True,4.03,53.66724491753298,,10.63452676355902,57.955,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,1.2748,0.3299,1845736.8,1532762.75,1.9429,2.3396,92.5712,77.5685,10.325,1.54,0.455,93.2159,,23.1205,,,68.32,12.5404,80.8604,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,67.0,67.58,64.53,64.57,2112455,53.895,,,55.2234,52.1865,50.72,49.8547,65.8557,3.1008,1.8032,1.2976,True,4.1471,54.36254326457605,,8.611780916293489,57.955,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,1.0325,0.372,1954288.0,1584076.45,1.0809,1.3336,81.9103,84.0491,2.43,0.58,0.04,83.4802,,16.9251,,,68.32,9.3466,77.6666,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-06,62.79,63.535,60.64,60.88,1088866,54.551,,,55.7621,52.5275,50.9212,49.9644,60.3691,3.1538,2.0734,1.0805,False,4.2543,54.576752520327425,,8.3948959032908,58.834999999999994,,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.8149,0.3685,1953395.2,1574764.6,0.5574,0.6914,64.11,79.5305,1.91,0.745,0.24,67.2247,,9.178,,,68.32,5.1179,73.4379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,,,
2026-08-07,63.43,63.5,59.195,60.2,838664,55.099,,,56.1848,52.8283,51.1049,50.0662,61.4081,3.1052,2.2797,0.8254,False,4.3675,54.717519214350624,,8.17728350641917,59.97,56.97,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.7544,0.3639,1908359.0,1546156.8,0.4395,0.5424,60.8297,68.95,3.23,0.07,1.005,64.2291,,7.1465,,,68.32,4.0152,72.3352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-10,59.8,62.515,59.66,62.425,907634,55.7132,,,56.7791,53.2047,51.3291,50.1892,61.7225,3.2091,2.4656,0.7435,False,4.285,54.876272763141806,,8.334722453742293,59.97,56.97,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.8274,0.3679,1877927.4,1527499.1,0.4833,0.5942,71.563,65.5009,2.625,0.09,0.14,74.0308,,9.9436,,,68.32,5.6459,73.9659,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-11,61.67,67.38,61.27,66.71,1261775,56.4282,,,57.7249,53.7343,51.6336,50.3536,69.1476,3.5958,2.6916,0.9042,True,4.5243,55.197561343270486,22.307431068033424,9.472687085569941,59.97,56.97,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.9579,0.3979,1844237.0,1520908.8,0.6842,0.8296,92.2335,74.8754,5.04,0.67,0.4,92.9075,,15.5654,,,68.32,8.9851,77.3051,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-12,65.34,69.575,64.7,68.75,1444470,57.2302,,,58.7749,54.3232,51.9726,50.5366,74.9317,4.0206,2.9574,1.0631,True,4.6468,55.63004439723645,23.895182928121226,10.760126047190843,60.5975,57.5975,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.9666,0.4314,1809647.1,1545680.7,0.7982,0.9345,96.2474,86.6813,3.41,0.825,0.64,96.556,,16.9717,,,69.575,9.9751,79.5501,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-13,69.14,80.66,69.12,80.06,4631159,58.5718,,,60.8021,55.3324,52.5288,50.8304,80.3617,5.2097,3.4079,1.8019,True,5.3489,57.72866607273174,26.223807298748092,10.683047339253523,68.03,63.14,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,1.1779,0.5412,2087581.4,1719666.65,2.2184,2.6931,98.0837,95.5215,10.92,0.6,0.02,98.2877,,31.6732,,,80.66,19.2579,99.9179,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-08-14,78.0,78.6,73.1701,74.13,2080954,59.6388,,,62.0714,56.0696,52.9565,51.0622,70.7375,5.609,3.8481,1.7609,False,5.6071,58.48436284997278,29.676054681188567,8.917208811730973,68.33,63.14,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.9252,0.5714,2041719.2,1758460.75,1.0192,1.1834,77.5138,90.615,3.87,0.6,0.9599,81.3642,,19.427,,,80.66,12.0586,92.7186,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,,,,,,,,
2026-08-17,73.74,75.33,72.5,73.72,1491329,60.7522,,,63.1808,56.7618,53.3677,51.2877,67.2901,5.8252,4.2435,1.5817,False,5.3743,58.94379366978583,32.83783130515089,7.974492257432562,69.9275,64.125,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.8667,0.5822,1944332.2,1766841.25,0.767,0.8441,76.1019,83.8998,0.02,1.59,1.22,80.1941,,16.6811,,,80.66,10.5392,91.1992,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-08-18,75.48,78.05,74.54,77.16,2986351,61.9422,,,64.5121,57.5617,53.8388,51.5451,68.0715,6.2026,4.6354,1.5673,False,5.4578,59.94027696806664,34.49795565322531,7.852385620187961,69.9275,64.125,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.9056,0.6057,1884365.7,1865051.25,1.5848,1.6012,87.9477,80.5211,1.68,0.89,0.94,90.0114,,19.6054,,,80.66,12.6479,93.3079,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-19,76.6,79.81,76.12,77.89,1433895,63.2808,,,65.7862,58.3589,54.3151,51.8073,71.0626,6.4859,5.0055,1.4804,False,5.4346,60.41561446525435,36.50758484954053,9.200248669578329,69.9275,64.125,,,,80.62666666666667,84.25333333333333,86.11666666666666,89.74333333333333,78.76333333333334,75.13666666666667,73.27333333333334,74.25359999999999,69.1582,65.03999999999999,60.921800000000005,55.0586,0.8781,0.6106,1816509.7,1885398.85,0.7894,0.7605,90.4614,84.837,1.29,1.92,0.48,92.0947,,18.3987,,,80.66,12.1038,92.7638,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
